Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
perumahan,perumahan,Kec. Wasile,"Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.0775041,128.133943,https://maps.google.com/?cid=0x0:0x21de040486bfe03f
perumahan,perumahan,Maba,"44GJ+3V4, Subaim, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.1251646,128.1321618,https://maps.google.com/?cid=0x0:0x452b59efdb4625
perumahan,Komplek perumahan,AgusEvi Home,"46F3+2J9, Sidomulyo, Kec. Wasile Tim., Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.1225346,128.2041236,https://maps.google.com/?cid=0x0:0x83ce7639c5e73bb5
perumahan,Komplek perumahan,Rumah Nita,"35R7+687, Bumi Restu, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.090289,128.1626476,https://maps.google.com/?cid=0x0:0x3fa0d4feae5bc01e
perumahan,Komplek perumahan,Perumahan 50 Baturaja,"Batu Raja, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.0669442,128.1464028,https://maps.google.com/?cid=0x0:0xe2439b27550cfd64
perumahan,Kantor Perusahaan,blok B desa bumirestu kec wasile kab halmahera timur,"35J5+5JV, Batu Raja, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.0795619,128.1592712,https://maps.google.com/?cid=0x0:0xc4d7b0260e2b912
perumahan,Komplek perumahan,MAS JAWA FARM,"35M8+G6X, Bumi Restu, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.0838501,128.1656207,https://maps.google.com/?cid=0x0:0x59f86cbdf526cc69
perumahan,Pembangunan Perumahan,Pertanian,"4529+W4, Gulapapo, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.102362,128.167855,https://maps.google.com/?cid=0x0:0x31e907b82764bd6a
perumahan,Komplek perumahan,Desa wasile,"3X9H+PXW, Wasile, Kec. Wasile Sel., Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.0693616,127.9799459,https://maps.google.com/?cid=0x0:0x60262e1c358eb638
perumahan,Komplek perumahan,Rumah ku,"34JR+6C, Batu Raja, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.0808031,128.1406005,https://maps.google.com/?cid=0x0:0xe4b0821cd9270381
perumahan,Pembangunan Perumahan,ambon maluku,"458F+W94, Gulapapo, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.1172603,128.1734455,https://maps.google.com/?cid=0x0:0xf8af2baefe055743
perumahan,Komplek perumahan,Indonesia Maluku Utara,"448C+MG7, Subaim, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.1166679,128.1213066,https://maps.google.com/?cid=0x0:0x115a29a169db0035
perumahan,Komplek perumahan,rumah nabila,"34QM+V2, Cemara Jaya, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.0896679,128.1325766,https://maps.google.com/?cid=0x0:0xf16c245117beb23d
perumahan,Komplek perumahan,Humam family,"35Q9+QXG, Bumi Restu, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.0886904,128.1707267,https://maps.google.com/?cid=0x0:0x5aeecfb409011a6e
perumahan,perumahan,Maba,"Maba Sangaji, Kec. Kota Maba, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.689218,128.277206,https://maps.google.com/?cid=0x0:0xadf03d8fc22db37a
perumahan,Komplek perumahan,Perumahan Pemda Haltim,"M7VG+QJC, Unnamed Road, Maba Sangaji, Kec. Kota Maba, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.6944393,128.2765156,https://maps.google.com/?cid=0x0:0x6c5abbce9c97d7a0
perumahan,Komplek perumahan,"Maba, Halmahera timur","V7PW+QRC, Unnamed Road, Geltoli, Kec. Maba, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.88695,128.2970267,https://maps.google.com/?cid=0x0:0xb18e76c50935f65d
perumahan,Tujuan Wisata,Areal berburu suku dalam Desa Baburino,"V7QX+69F, Geltoli, Kec. Maba, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.8880625,128.2984219,https://maps.google.com/?cid=0x0:0xa0fe649279a70ea0
perumahan,perumahan,Kec. Maba Sel.,"Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.6311669,128.4249841,https://maps.google.com/?cid=0x0:0x8622114f0d1a22ac
perumahan,Komplek perumahan,Rumah (Alm) Hi. Baksir Hasan,"HFXG+8J7, Waci, Kec. Maba Sel., Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.598288,128.4765354,https://maps.google.com/?cid=0x0:0xce26661317fde253
perumahan,Komplek perumahan,House Chaliem,"HFXF+97J, Peteley, Kec. Maba Sel., Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.5984708,128.4731258,https://maps.google.com/?cid=0x0:0xd7c92ad6835ea6a2
perumahan,Perhimpunan Pengembang Perumahan,Hi Salahuddin Hasan,"HFXF+RFQ, Peteley, Kec. Maba Sel., Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.5991746,128.4740859,https://maps.google.com/?cid=0x0:0x2dd401059db8ad1e
perumahan,Pembangunan Perumahan,Muhammad Hasan,"HFXF+RFQ, Peteley, Kec. Maba Sel., Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.5989602,128.4742388,https://maps.google.com/?cid=0x0:0x7ed077af006f39bd
perumahan,Perhimpunan Pengembang Perumahan,WIFI_KIOS KAIFA,"HFXF+97J, Peteley, Kec. Maba Sel., Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.598672,128.473415,https://maps.google.com/?cid=0x0:0x85c4702f3a93d727
perumahan,Gedung Apartemen,Rumah ainullahhhh,"HGQ8+Q4G, Peteley, Kec. Maba Sel., Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.5894375,128.5153281,https://maps.google.com/?cid=0x0:0x5606ee3391d0cbc6
