Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
toko bangunan,toko bangunan,Kec. Galela,"Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,,1.7991745,127.9013278,https://maps.google.com/?cid=0x0:0x6d037a5832cde2d7
toko bangunan,Toko bahan makanan,Tokoh Makka,"RRFR+RR9, Towara, Kec. Galela, Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,82187603402.0,1.8245432,127.8421085,https://maps.google.com/?cid=0x0:0xf22837f0d569e911
toko bangunan,Pemasok Bahan Bangunan,Toko Bangunan Galala Jaya,"9FCH+VVQ, Unnamed Road, Labuha, Kec. Bacan, Kabupaten Halmahera Selatan, Maluku Utara","Kabupaten Halmahera Selatan, Maluku Utara",MALUKU UTARA,,Indonesia,82144648989.0,-0.6277816,127.479737,https://maps.google.com/?cid=0x0:0x5b501b3fc834679d
toko bangunan,Pasar bahan bangunan,Toko Sumber Bangunan,"P2G6+2MM, Gamsungi, Kec. Tobelo, Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,9242621455.0,1.7250967,128.0116677,https://maps.google.com/?cid=0x0:0x14835095227102f4
toko bangunan,Toko umum,Toko Ambarak Mandiri,"RT.04/RW.02, Ori, Kec. Galela Sel., Kabupaten Halmahera Utara, Maluku Utara 97769","Ori, Kec. Galela Sel., Kabupaten Halmahera Utara",MALUKU UTARA,97769.0,Indonesia,81356438215.0,1.8191134,127.7973451,https://maps.google.com/?cid=0x0:0x69cad7e76dd458d8
toko bangunan,Toko Bahan Bangunan,Toko Bangunan SENTOSA,"P266+52G O.Sasingan, Wosia, Kec. Tobelo Tengah, Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,82144648989.0,1.7104491,128.0100684,https://maps.google.com/?cid=0x0:0xe043f9c8ba78bb16
toko bangunan,Toko Perlengkapan Rumah,Toko jaya abadi mkcm,"PXPW+56V, Mkcm, Kec. Tobelo, Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,85167702404.0,1.7354805,127.995553,https://maps.google.com/?cid=0x0:0xa4fec3e5341adca2
toko bangunan,Toko Bahan Bangunan,Toko Sejati Bangunan,"Jalan Raya Wosia, Depan Saro Nifero, Samping Dealer Honda CV.Lion, Mahia, Kec. Tobelo, Maluku Utara 97762","Depan Saro Nifero, Samping Dealer Honda CV.Lion, Mahia, Kec. Tobelo",MALUKU UTARA,97762.0,Indonesia,82195215789.0,1.7063845,128.0084905,https://maps.google.com/?cid=0x0:0xe07acc47d25781c8
toko bangunan,Toko Perlengkapan Rumah,Tk.Mulia Jaya,"P2F2+WQ7, Gamsungi, Kec. Tobelo, Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,,1.7247757,128.0019201,https://maps.google.com/?cid=0x0:0x98deffa82d6d06d5
toko bangunan,Toko Bahan Bangunan,Toko Surya Jaya - Labuha,"9FCJ+69H, Unnamed Road, Labuha, Kec. Bacan, Kabupaten Halmahera Selatan, Maluku Utara","Kabupaten Halmahera Selatan, Maluku Utara",MALUKU UTARA,,Indonesia,9272321732.0,-0.6294262,127.4809969,https://maps.google.com/?cid=0x0:0xdad7b98c88e223e3
