Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
mall,mall,Kec. Galela,"Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,,1.7991745,127.9013278,https://maps.google.com/?cid=0x0:0x6d037a5832cde2d7
mall,Pusat Perbelanjaan,KIOS GALELA JAYA,"RRV3+WRF, Bar, Ngidiho, Kec. Galela Bar., Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,85256168917.0,1.844815,127.80456,https://maps.google.com/?cid=0x0:0xb3459107b3abbdc7
mall,Toko Pakaian,As store,"jalan belakang, Barataku, Kec. Galela, Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,82211028127.0,1.8293781,127.8422688,https://maps.google.com/?cid=0x0:0xd5d70831de5e1b5e
mall,Toko,Pasar Dokulamo/ Toligoda,"RQHR+2J8, Dokulamo, Kec. Galela Bar., Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,,1.8275266,127.7915787,https://maps.google.com/?cid=0x0:0xdb70fd3d2e56869d
mall,Pusat Perbelanjaan,SRC ARJUNA,"RRW4+W5W Bar, Ngidiho, Kec. Galela Bar., Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,,1.8473731,127.8054487,https://maps.google.com/?cid=0x0:0xe31c196b49a5999d
mall,Pusat Perbelanjaan,AZ kios jaya,"RT.06/RW.02, Ngidiho, Kec. Galela Bar., Kabupaten Halmahera Utara, Maluku Utara 97761","Ngidiho, Kec. Galela Bar., Kabupaten Halmahera Utara",MALUKU UTARA,97761.0,Indonesia,,1.8482604,127.8042451,https://maps.google.com/?cid=0x0:0xec9eb51d06770989
mall,Pusat Perbelanjaan,Kios Noval Cellular,"RRW3+JXX, Ngidiho, Kec. Galela Bar., Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,81241528873.0,1.8466212,127.8049854,https://maps.google.com/?cid=0x0:0x39bf64379c674d4a
mall,Toko Ban,Bengkel Dai Ichi,"RRFV+WPV, Soa Sio, Kec. Galela, Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,85256416450.0,1.8248602,127.8442876,https://maps.google.com/?cid=0x0:0xd7607be29d71352
mall,Toko bahan makanan,Kios Hasan,"RR55+FRP, lorong mangga dua, Soakonora, Kec. Galela Sel., Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,81241132672.0,1.8087164,127.809577,https://maps.google.com/?cid=0x0:0xa073b20d710752
mall,mall,Samhana Mart,"RR9V+HV2, Unnamed Road, Pune, Kec. Galela, Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,,1.8188917,127.8446264,https://maps.google.com/?cid=0x0:0x9593042e26e5e630
mall,Toko Herbal,Bisnis arminadaily,"Barataku, Kec. Galela, Kabupaten Halmahera Utara, Maluku Utara 97761","Kec. Galela, Kabupaten Halmahera Utara",MALUKU UTARA,97761.0,Indonesia,82290396867.0,1.8290023,127.8432925,https://maps.google.com/?cid=0x0:0xf162d73d831be694
mall,Pusat Perbelanjaan,Kios Khadijah,"Ngidiho, Kec. Galela Bar., Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,82252545963.0,1.8454383,127.804683,https://maps.google.com/?cid=0x0:0xe405dc65f3c43580
mall,mall,Kec. Galela Bar.,"Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,,1.8258564,127.7917991,https://maps.google.com/?cid=0x0:0x6883a71e285c2680
mall,Pusat Perbelanjaan,KIOS GALELA JAYA,"RRV3+WRF, Bar, Ngidiho, Kec. Galela Bar., Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,85256168917.0,1.844815,127.80456,https://maps.google.com/?cid=0x0:0xb3459107b3abbdc7
mall,Toko,Pasar Dokulamo/ Toligoda,"RQHR+2J8, Dokulamo, Kec. Galela Bar., Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,,1.8275266,127.7915787,https://maps.google.com/?cid=0x0:0xdb70fd3d2e56869d
mall,Toko bahan makanan,Kios Hasan,"RR55+FRP, lorong mangga dua, Soakonora, Kec. Galela Sel., Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,81241132672.0,1.8087164,127.809577,https://maps.google.com/?cid=0x0:0xa073b20d710752
mall,Pusat Perbelanjaan,AZ kios jaya,"RT.06/RW.02, Ngidiho, Kec. Galela Bar., Kabupaten Halmahera Utara, Maluku Utara 97761","Ngidiho, Kec. Galela Bar., Kabupaten Halmahera Utara",MALUKU UTARA,97761.0,Indonesia,,1.8482604,127.8042451,https://maps.google.com/?cid=0x0:0xec9eb51d06770989
mall,Pusat Perbelanjaan,Kios Noval Cellular,"RRW3+JXX, Ngidiho, Kec. Galela Bar., Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,81241528873.0,1.8466212,127.8049854,https://maps.google.com/?cid=0x0:0x39bf64379c674d4a
mall,Otoritas Pelabuhan,Travel Pune,"RRCV+3RR, Pune, Kec. Galela, Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,81340751308.0,1.8202418,127.8445188,https://maps.google.com/?cid=0x0:0x2b876f2e4a50fbce
