Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
cafe,cafe,Kec. Morotai Jaya,"Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.5756265,128.5236947,https://maps.google.com/?cid=0x0:0xbdf281ebc27a14d0
cafe,Kedai Kopi,Cafe Boswezend,"27GP+JG, Pandanga, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.026553,128.2863058,https://maps.google.com/?cid=0x0:0x92135236b591570f
cafe,Kedai Kopi,Upland Coffee,"3842+HQ, Gotalamo, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.0563777,128.3019841,https://maps.google.com/?cid=0x0:0x6a185c34cfa95eca
cafe,Kafe,Cafe Ok Bos,"Unnamed Road, Sel., Kabupaten, Darame, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.0503298,128.2941773,https://maps.google.com/?cid=0x0:0x241f46c7a735854c
cafe,Kedai Kopi,Cafe Jangkar,"Juanga, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,82113606838.0,2.0136397,128.2805806,https://maps.google.com/?cid=0x0:0x7cb478d4d7746ae4
cafe,Kedai Kopi,Kopi dan Wi-Fi Murah,"Depan SMPN Unggulan 1, Yayasan, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,81241421827.0,2.0475856,128.2930718,https://maps.google.com/?cid=0x0:0x7987cbdc887124
cafe,Toko,Kenari,"CJH2+V67, Bere Bere, Kec. Morotai Utara, Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.429662,128.6005328,https://maps.google.com/?cid=0x0:0x2f39dc651d149dec
cafe,Otoritas Pelabuhan,Pelabuhan tobelo,"9C82+788, Tutuhu, Kec. Morotai Sel. Bar., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.3656672,128.4008357,https://maps.google.com/?cid=0x0:0x4f9c20139c7af931
cafe,Kedai Kopi,Warkop Morotia,"372V+7MC, Daruba, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,85256626778.0,2.0508197,128.2941302,https://maps.google.com/?cid=0x0:0xe8ac87b577bf5644
cafe,Restoran,Rumah Makan Bumi Moro Bere Bere Morotai,"9MV7+CGM, Bere Bere, Kec. Morotai Utara, Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,82293286629.0,2.3935867,128.6637979,https://maps.google.com/?cid=0x0:0x33978b14d8433c06
cafe,Kedai Kopi,KEDAI KOPI 86,"Kedai Kopi 86 Jl. Samping Polres, Darame, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,82246043559.0,2.0492997,128.2937952,https://maps.google.com/?cid=0x0:0x8b14f93e1d33b6c9
cafe,Toko umum,Kedai Sombar,"Desa, Bere Bere, Maba, Kabupaten Pulau Morotai, Maluku Utara 97772","Bere Bere, Maba, Kabupaten Pulau Morotai",MALUKU UTARA,97772.0,Indonesia,,2.3961262,128.6643427,https://maps.google.com/?cid=0x0:0x7bcafbcd5003865f
cafe,Warnet,Queen Home,"9MG6+WQG, Desa, Tanjung Saleh, Morotai Utara, Morotai Island Regency, North Maluku","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.3773178,128.6619527,https://maps.google.com/?cid=0x0:0x918af2710b1c5bb0
cafe,Kedai Kopi,Pikopi,"Daruba, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara 97771","Kec. Morotai Sel., Kabupaten Pulau Morotai",MALUKU UTARA,97771.0,Indonesia,85257372203.0,2.0532926,128.2929842,https://maps.google.com/?cid=0x0:0x4f71b97103420dd1
cafe,cafe,Kec. Morotai Sel.,"Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.0501311,128.2940593,https://maps.google.com/?cid=0x0:0x8cbfaede8bbbfd0d
cafe,Kedai Kopi,Upland Coffee,"3842+HQ, Gotalamo, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.0563777,128.3019841,https://maps.google.com/?cid=0x0:0x6a185c34cfa95eca
cafe,Kedai Kopi,Cafe Boswezend,"27GP+JG, Pandanga, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.026553,128.2863058,https://maps.google.com/?cid=0x0:0x92135236b591570f
cafe,Kedai Kopi,Cafe Jangkar,"Juanga, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,82113606838.0,2.0136397,128.2805806,https://maps.google.com/?cid=0x0:0x7cb478d4d7746ae4
cafe,Kafe,Cafe Ok Bos,"Unnamed Road, Sel., Kabupaten, Darame, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.0503298,128.2941773,https://maps.google.com/?cid=0x0:0x241f46c7a735854c
cafe,Kafe,Sea Cafe,"3858+PFP, Darame, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.0593331,128.316205,https://maps.google.com/?cid=0x0:0xa5979bfd9225bcff
cafe,Kedai Kopi,Mutiara Coffee and Eat,"27VR+2JF, Unnamed Road, Darame, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,81340360015.0,2.0433359,128.2921624,https://maps.google.com/?cid=0x0:0xf848fc379842efe8
cafe,Kedai Kopi,Home Coffee,"27XW+568, Darame, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,85235885518.0,2.0482374,128.2955898,https://maps.google.com/?cid=0x0:0xddcd42e6f4db8cb0
cafe,Kedai Kopi,D'teras Cafe,"27XR+WJR, Yayasan, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,82188716677.0,2.0498542,128.2915153,https://maps.google.com/?cid=0x0:0xd9b64de29ee04d52
cafe,Kedai Kopi,Pikopi,"Daruba, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara 97771","Kec. Morotai Sel., Kabupaten Pulau Morotai",MALUKU UTARA,97771.0,Indonesia,85257372203.0,2.0532926,128.2929842,https://maps.google.com/?cid=0x0:0x4f71b97103420dd1
cafe,Kedai Kopi,Kopi dan Wi-Fi Murah,"Depan SMPN Unggulan 1, Yayasan, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,81241421827.0,2.0475856,128.2930718,https://maps.google.com/?cid=0x0:0x7987cbdc887124
cafe,Kedai Kopi,Mutiara Kitchen,"3845+749, Darame, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.0556666,128.3079072,https://maps.google.com/?cid=0x0:0xb0fd673d81490ff6
cafe,Jawa,Resto Jaguar,"27JV+65Q, Wawama, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.0305874,128.2929915,https://maps.google.com/?cid=0x0:0x426654662a46ebc6
cafe,Restoran,Garden Cafe,"6J68+JX, Lifao, Kec. Morotai Tim., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.2115656,128.6174231,https://maps.google.com/?cid=0x0:0x44dfea5c9fc90a42
cafe,cafe,Kec. Morotai Sel. Bar.,"Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.2801376,128.2016017,https://maps.google.com/?cid=0x0:0x69328259284f1b6b
cafe,Kedai Kopi,Upland Coffee,"3842+HQ, Gotalamo, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.0563777,128.3019841,https://maps.google.com/?cid=0x0:0x6a185c34cfa95eca
cafe,Kedai Kopi,Cafe Boswezend,"27GP+JG, Pandanga, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.026553,128.2863058,https://maps.google.com/?cid=0x0:0x92135236b591570f
cafe,Kafe,Sea Cafe,"3858+PFP, Darame, Kec. Morotai Sel., Kabupaten Pulau Morotai, Maluku Utara","Kabupaten Pulau Morotai, Maluku Utara",MALUKU UTARA,,Indonesia,,2.0593331,128.316205,https://maps.google.com/?cid=0x0:0xa5979bfd9225bcff
