Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Namlea,"Namlea, Kec. Namlea, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,,,,-3.233398,127.085899,https://maps.google.com/?cid=0x0:0xe52ca57740e74df,
mall,Pusat Perbelanjaan,RH MART,"Namlea, Kec. Namlea, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,,,,-3.2688462,127.1039438,https://maps.google.com/?cid=0x0:0x35578fd3befce5e6,
mall,Toko Perlengkapan Rumah,Namlea,"P38X+8MF, Namlea, Kec. Namlea, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,,,,-3.2843073,127.0997045,https://maps.google.com/?cid=0x0:0x542ac4d9d83535b4,
mall,Pusat Perbelanjaan,Motoshop,"P3PR+W4M, Unnamed Road, Namlea, Kec. Namlea, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,85242119912.0,,,-3.2626723,127.0902921,https://maps.google.com/?cid=0x0:0xa52e9fe9f045b4ec,
mall,Toko Swalayan,Kios dilla,"P4M3+FQ4, Namlea, Kec. Namlea, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,85771135875.0,,,-3.2663571,127.1044412,https://maps.google.com/?cid=0x0:0xc104d390320c6d,
mall,mall,Kec. Namlea,"Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,,,,-3.2723515,127.0988246,https://maps.google.com/?cid=0x0:0xdf672102eb46af96,
mall,Toko bahan makanan,Pasar Inpres Namlea,"Pasar Inpres, Namlea, Kec. Namlea, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,81329472927.0,,,-3.2828191,127.0971125,https://maps.google.com/?cid=0x0:0xd1eb53eb08a04c0c,
mall,Perusahaan Operasi Pelabuhan,Pelabuhan Besar Namlea,"P3JM+7CG, Pelabuhan, Namlea, Kec. Namlea, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,,,,-3.2693235,127.0835795,https://maps.google.com/?cid=0x0:0xd217fc479e34c6d4,
mall,Toko,City Mart,"P3JX+J48, Jl. Jenderal Ahmad Yani, Namlea, Kec. Namlea, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,,,,-3.2684582,127.0978186,https://maps.google.com/?cid=0x0:0x44944d7152b21c2d,
mall,Bandara Regional,Bandar Udara Namlea,"Q36X+JMJ, Unnamed Road, Namlea, Kec. Namlea, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,,,,-3.2384068,127.0991434,https://maps.google.com/?cid=0x0:0x7433724aee16f61d,
mall,Bank,Bank Maluku Kantor Bupati Buru,"Jl. Jend. Ahmad Yani, Namlea, Buru Regency, Maluku 97571","Namlea, Buru Regency",MALUKU,97571.0,Indonesia,91321024.0,,,-3.233398,127.085899,https://maps.google.com/?cid=0x0:0xa785da62a85917e0,
mall,Pusat Perbelanjaan,Kios ahmad,"P3HV+PWG, Namlea, Kec. Namlea, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,82248401506.0,,,-3.2706771,127.0948359,https://maps.google.com/?cid=0x0:0xaa79639ec0a9d3ca,
mall,Toko,Kios Jihan,"P39X+QG2, Namlea, Kec. Namlea, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,82238513131.0,,,-3.2806204,127.0987523,https://maps.google.com/?cid=0x0:0x75d184515ba701be,
mall,Pusat Perbelanjaan,Kios fitri,"P493+7QJ, Namlea, Kec. Namlea, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,,,,-3.2817778,127.104387,https://maps.google.com/?cid=0x0:0x8cbe6252217f257b,
mall,Komplek perumahan,Namlea kabupaten buru,"MM9W+P75, Waegeren, Kec. Waeapo, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,,,,-3.3307379,126.6957216,https://maps.google.com/?cid=0x0:0x947dc08df4cdbafa,
mall,mall,Namlea,"Kec. Namlea, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,,,,-3.275735,127.09954,https://maps.google.com/?cid=0x0:0xc65ad713a9e31eff,
mall,Otoritas Pelabuhan,Pasar Namrole,"KOPRASI BARASEHE 6 ROLE, Labuang, Kec. Namrole, Kabupaten Buru Selatan, Maluku","Kabupaten Buru Selatan, Maluku",MALUKU,,Indonesia,,,,-3.8397116,126.7371249,https://maps.google.com/?cid=0x0:0x1eacf00fd32fc390,
mall,mall,Kec. Air Buaya,"Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,,,,-3.0855583,126.4356478,https://maps.google.com/?cid=0x0:0xfabb1de62994f5b6,
mall,Toko Pakaian,Pasar Wamlana,"WGGP+49V, Wamlana, Kec. Air Buaya, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,82293819914.0,,,-3.0746476,126.5359102,https://maps.google.com/?cid=0x0:0xfaa10ac6302faf10,
mall,Toko umum,Toko Mogi,"WC7X+MWJ, Waimangit, Kec. Air Buaya, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,,,,-3.0857768,126.4497582,https://maps.google.com/?cid=0x0:0x400cc4e86d1b0b45,
mall,Toko bahan makanan,Toko papandayan,"JXFQ+G99, Waenetat, Kec. Waeapo, Kabupaten Buru, Maluku","Kabupaten Buru, Maluku",MALUKU,,Indonesia,,,,-3.3762049,126.9884805,https://maps.google.com/?cid=0x0:0xe8225f7f845541d1,
