Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
cafe,cafe,Nusaniwe,"Kec. Nusaniwe, Kota Ambon, Maluku","Kota Ambon, Maluku",MALUKU,,Indonesia,,,,-3.758.225,1.281.424.438,https://maps.google.com/?cid=0x0:0x47869cdfaa5c2eae,
cafe,Kafe,Eyrie Cafe,"64XJ+VQP, Nusaniwe, Kec. Nusaniwe, Kota Ambon, Maluku","Kota Ambon, Maluku",MALUKU,,Indonesia,,,,-37.502.481,1.281.319.366,https://maps.google.com/?cid=0x0:0x348bba5fcf0fbd12,
cafe,Kedai Kopi,Empiren caffe,"64XM+24G, Jl. Amanhuse, Nusaniwe, Kec. Nusaniwe, Kota Ambon, Maluku","Kota Ambon, Maluku",MALUKU,,Indonesia,82199610632,,,-37.516.716,1.281.319.711,https://maps.google.com/?cid=0x0:0xf7778f14bd5863ed,
cafe,Restoran,Dua Nona Kitchen,"65J2+748, Nusaniwe, Kec. Nusaniwe, Kota Ambon, Maluku","Kota Ambon, Maluku",MALUKU,,Indonesia,,,,-37.693.451,1.281.503.346,https://maps.google.com/?cid=0x0:0x5baa93f8b17bbfdc,
cafe,Kafe,Neo Coffee  Bistro,"Jl. Sam Ratulangi No.117, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku 97126","Kel Honipopu, Kec. Sirimau, Kota Ambon",MALUKU,97126.0,Indonesia,9113823397,,,-3.695.432,128.178.478,https://maps.google.com/?cid=0x0:0x4df2a8aa64d33613,
cafe,Kedai Kopi,Prana Cafe Amahusu,"749Q+7G6, Amahusu, Kec. Nusaniwe, Kota Ambon, Maluku","Kota Ambon, Maluku",MALUKU,,Indonesia,,,,-37.318.381,1.281.387.688,https://maps.google.com/?cid=0x0:0xa74b9675f8f2817c,
cafe,Pusat Pendidikan,KOPI TUNI,"Voralle Coffee, Jl. Amanhuse, Kota Ambon, Maluku 97117","Jl. Amanhuse, Kota Ambon",MALUKU,97117.0,Indonesia,81230000964,,,-37.230.709,1.281.462.747,https://maps.google.com/?cid=0x0:0x93e13b9f0108d2a6,
cafe,Kedai Kopi,Walang Afirel,"Lorong gadis eri No.RT 03/01, Nusaniwe, Kec. Nusaniwe, Kota Ambon, Maluku","Kota Ambon, Maluku",MALUKU,,Indonesia,82198350812,,,-37.484.277,1.281.306.696,https://maps.google.com/?cid=0x0:0x63d37046fe6573f4,
cafe,Kafe,Walang Adelle,"64WJ+G93 Negeri, Eri, Kec. Nusaniwe, Kota Ambon, Maluku","Kota Ambon, Maluku",MALUKU,,Indonesia,81288090070,,,-37.537.338,1.281.309.241,https://maps.google.com/?cid=0x0:0xe0507a10f0555d12,
cafe,Brunch,"MATA ONE,A","64JC+HX8, Latuhalat, Kec. Nusaniwe, Kota Ambon, Maluku","Kota Ambon, Maluku",MALUKU,,Indonesia,82199125967,,,-37.685.947,1.281.224.525,https://maps.google.com/?cid=0x0:0x21de44706c87dca9,
