Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,komplek housing,Maluku 97611,"Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku","Kota Tual, Maluku",MALUKU,,Indonesia,,,,-5.6405597,132.7437118,https://maps.google.com/?cid=0x0:0x3f6a1cf664874ad3,
komplek housing,Komplek perumahan,Akbar Kos,"9P5V+QFG, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku 97611","Fiditan, Kec. Pulau Dullah Utara, Kota Tual",MALUKU,97611.0,Indonesia,,,,-5.6405597,132.7437118,https://maps.google.com/?cid=0x0:0xb2a8c3b661d77ef6,
komplek housing,Komplek perumahan,HK Group,"9P5V+V78, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku","Kota Tual, Maluku",MALUKU,,Indonesia,,,,-5.6403509,132.743234,https://maps.google.com/?cid=0x0:0xb40235a01bf32b52,
komplek housing,Komplek perumahan,KIOM BAWA,"9P5V+G6V, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku","Kota Tual, Maluku",MALUKU,,Indonesia,,,,-5.641144,132.7430368,https://maps.google.com/?cid=0x0:0xe6fb8980309babc1,
komplek housing,Perumahan,Anggun Rahawarin,"9P5V+WC3, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku","Kota Tual, Maluku",MALUKU,,Indonesia,,,,-5.640225,132.7435408,https://maps.google.com/?cid=0x0:0x450d5106a8cd6d86,
komplek housing,Komplek perumahan,AHMAD DIFINUBUN,"9P6V+42R, Jl. Usman Matdoan, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku","Kota Tual, Maluku",MALUKU,,Indonesia,,,,-5.639298,132.7427206,https://maps.google.com/?cid=0x0:0x10e0972e73b4a146,
komplek housing,komplek housing,Kec. Pulau Dullah Utara,"Kota Tual, Maluku","Kota Tual, Maluku",MALUKU,,Indonesia,,,,-5.5735687,132.7584878,https://maps.google.com/?cid=0x0:0xdad9147c137f38c2,
komplek housing,Komplek perumahan,RUMAH YUSRIL TAMNGE,"Jl. Fid Nang Armau, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku 97611","Fiditan, Kec. Pulau Dullah Utara, Kota Tual",MALUKU,97611.0,Indonesia,82239308272.0,,,-5.6364199,132.7424886,https://maps.google.com/?cid=0x0:0x1af9c5456c5b062f,
komplek housing,Kompleks Townhouse,Gang Pride,"9QF7+FJG, BTN MAHKOTA, Kel. Lodar El, Pulau Dullah Sel., Kota Tual, Maluku 97611","BTN MAHKOTA, Kel. Lodar El, Pulau Dullah Sel., Kota Tual",MALUKU,97611.0,Indonesia,,,,-5.6263094,132.7640806,https://maps.google.com/?cid=0x0:0x39cf71d4a52469fb,
komplek housing,Komplek perumahan,Home Fathul Alame,"9QF6+39V, Jl. ke Ohoitel, Kel. Lodar El, Pulau Dullah Sel., Kota Tual, Maluku 97611","Jl. ke Ohoitel, Kel. Lodar El, Pulau Dullah Sel., Kota Tual",MALUKU,97611.0,Indonesia,,,,-5.6273055,132.7609155,https://maps.google.com/?cid=0x0:0x898b347986339f7f,
komplek housing,Komplek perumahan,LUTER KARMOMJANAN,"9Q54+PJP, Taar, Pulau Dullah Sel., Kota Tual, Maluku 97611","Taar, Pulau Dullah Sel., Kota Tual",MALUKU,97611.0,Indonesia,,,,-5.6405779,132.7565769,https://maps.google.com/?cid=0x0:0xdd54abfd9ffab743,
komplek housing,Komplek perumahan,KOMPLEKS WARBAL,"9QR3+FXQ, Kel. Ketsoblak, Pulau Dullah Sel., Kota Tual, Maluku","Kota Tual, Maluku",MALUKU,,Indonesia,,,,-5.6087719,132.7549809,https://maps.google.com/?cid=0x0:0xa2c15711eadd203c,
komplek housing,Pembangunan Perumahan,Kompleks Pancasila,"9QF6+39V, Jl. ke Ohoitel, Kel. Lodar El, Pulau Dullah Sel., Kota Tual, Maluku 97611","Jl. ke Ohoitel, Kel. Lodar El, Pulau Dullah Sel., Kota Tual",MALUKU,97611.0,Indonesia,,,,-5.6272566,132.7609184,https://maps.google.com/?cid=0x0:0xacbaf83ebd89fdfa,
komplek housing,Komplek perumahan,rumah afifah,"9QV2+FCR, jln. baldu wahadat, Kel. Ketsoblak, Pulau Dullah Sel., Kota Tual, Maluku 97611","jln. baldu wahadat, Kel. Ketsoblak, Pulau Dullah Sel., Kota Tual",MALUKU,97611.0,Indonesia,,,,-5.6062597,132.751128,https://maps.google.com/?cid=0x0:0x852e3d6f322981f2,
komplek housing,Pembangunan Perumahan,Melki home,"Jl. Dr. Leimena depan SDN No.19, Kel. Ketsoblak, Pulau Dullah Sel., Kota Tual, Maluku 97611","Kel. Ketsoblak, Pulau Dullah Sel., Kota Tual",MALUKU,97611.0,Indonesia,,,,-5.6409864,132.7470618,https://maps.google.com/?cid=0x0:0x4d43e3b3fac0ada5,
komplek housing,Komplek perumahan,Rumah Onana,"9QF6+39V, Jl. ke Ohoitel, Kel. Lodar El, Pulau Dullah Sel., Kota Tual, Maluku 97611","Jl. ke Ohoitel, Kel. Lodar El, Pulau Dullah Sel., Kota Tual",MALUKU,97611.0,Indonesia,,,,-5.626665,132.7605046,https://maps.google.com/?cid=0x0:0x50059188c021aa38,
komplek housing,Komplek perumahan,Fatbinan_family,"Jl. Jend. Ahmad Yani No.2, Kel. Lodar El, Pulau Dullah Sel., Kota Tual, Maluku 97611","Kel. Lodar El, Pulau Dullah Sel., Kota Tual",MALUKU,97611.0,Indonesia,,,,-5.6338912,132.7456343,https://maps.google.com/?cid=0x0:0xf04572441906cf35,
komplek housing,Perhimpunan Pengembang Perumahan,DESA FIDITAN,"9QX3+73Q, Pasar Desa, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku 97611","Pasar Desa, Fiditan, Kec. Pulau Dullah Utara, Kota Tual",MALUKU,97611.0,Indonesia,,,,-5.6017733,132.752742,https://maps.google.com/?cid=0x0:0xf90ab0283e9e51b1,
komplek housing,Komplek perumahan,Rumah rahakbau,"Jl. Jend. Sudirman No.26, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku 97611","Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara",MALUKU,97611.0,Indonesia,,,,-5.6462673,132.7424259,https://maps.google.com/?cid=0x0:0xb602fb2035de38a8,
komplek housing,Perhimpunan Pengembang Perumahan,Pangkas Rambut PK,"9Q54+PJP, Taar, Pulau Dullah Sel., Kota Tual, Maluku 97611","Taar, Pulau Dullah Sel., Kota Tual",MALUKU,97611.0,Indonesia,,,,-5.6406139,132.7567362,https://maps.google.com/?cid=0x0:0xb56ac4efd93a6e73,
komplek housing,Komplek perumahan,Bett Muhklas,"9QW3+9C3, LORONG KAMPUS STIDAR, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku 97611","LORONG KAMPUS STIDAR, Fiditan, Kec. Pulau Dullah Utara, Kota Tual",MALUKU,97611.0,Indonesia,82111577709.0,,,-5.6041012,132.7535455,https://maps.google.com/?cid=0x0:0xd88fdd1ed774163f,
komplek housing,Komplek perumahan,Kos iin,"9P5V+MXJ, Kolser, Pulau Dullah Sel., Kabupaten Maluku Tenggara, Maluku 97611","Kolser, Pulau Dullah Sel., Kabupaten Maluku Tenggara",MALUKU,97611.0,Indonesia,,,,-5.6414557,132.7441264,https://maps.google.com/?cid=0x0:0x6deb61a8309f93e5,
komplek housing,Pembangunan Perumahan,Ohoi Hoat,"9QV2+H88 Ohoi Hoat lab, Kel. Ketsoblak, Pulau Dullah Sel., Kabupaten Maluku Tenggara, Maluku 97611","Kel. Ketsoblak, Pulau Dullah Sel., Kabupaten Maluku Tenggara",MALUKU,97611.0,Indonesia,,,,-5.6060783,132.7508147,https://maps.google.com/?cid=0x0:0x5ecab70f5cbc7e32,
komplek housing,komplek housing,Maluku 97611,"Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku","Kota Tual, Maluku",MALUKU,,Indonesia,,,,-5.6405597,132.7437118,https://maps.google.com/?cid=0x0:0x3f6a1cf664874ad3,
