Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Maluku 97662,"Wahayum, Kec. Aru Utara, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,,,,-5.4217993,134.5134044,https://maps.google.com/?cid=0x0:0xdef6a79ae1d70a3d,
hotel,hotel,Hotel Apex Dobo,"Jl Terusan, Wangel, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku 90662","Wangel, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru",MALUKU,90662.0,Indonesia,82112211952.0,,,-5.7687398,134.2102453,https://maps.google.com/?cid=0x0:0xcf9a40d3decb3615,
hotel,hotel,EORA Hotel Dobo,"kilo 5 bandara dobo, Jl. Cendrawasih, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,85243550222.0,,,-5.7787984,134.2095928,https://maps.google.com/?cid=0x0:0x18bdfd4347f94d62,
hotel,hotel,Hotel Suasana Baru,"66RF+834, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,,,,-5.7592425,134.2227125,https://maps.google.com/?cid=0x0:0x8dff54bd652cad80,
hotel,hotel,HOTEL SINAR HARAPAN DOBO,"66R7+C7M, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,91724175.0,,,-5.7589178,134.2131838,https://maps.google.com/?cid=0x0:0x46a432dd5c1a24c1,
hotel,Hotel,Toko  Penginapan MAREN'S Jerol,"G58G+XVJ, Jerol, Aru Sel., Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,,,,-6.4825359,134.1771519,https://maps.google.com/?cid=0x0:0x419c37ecb92aad2c,
hotel,hotel,Aru Sel.,"Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,,,,-6.6833691,134.1720266,https://maps.google.com/?cid=0x0:0x1757c32c3a231e21,
hotel,Hotel,Hotel Himba,"G527+67, Jerol, Aru Sel., Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,,,,-6.4994351,134.1631273,https://maps.google.com/?cid=0x0:0x5e723f8202cd678a,
hotel,hotel,EORA Hotel Dobo,"kilo 5 bandara dobo, Jl. Cendrawasih, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,85243550222.0,,,-5.7787984,134.2095928,https://maps.google.com/?cid=0x0:0x18bdfd4347f94d62,
hotel,hotel,hotel Grand Aru,"jalan jalabil, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,82292355275.0,,,-5.759843,134.2183899,https://maps.google.com/?cid=0x0:0x8cc3db26ac695e6a,
hotel,hotel,Hotel Suasana Baru,"66RF+834, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,,,,-5.7592425,134.2227125,https://maps.google.com/?cid=0x0:0x8dff54bd652cad80,
hotel,hotel,Kec. Aru Tengah,"Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,,,,-6.2383689,134.4370606,https://maps.google.com/?cid=0x0:0xbd0c26a425f3052c,
hotel,hotel,Hotel Apex Dobo,"Jl Terusan, Wangel, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku 90662","Wangel, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru",MALUKU,90662.0,Indonesia,82112211952.0,,,-5.7687398,134.2102453,https://maps.google.com/?cid=0x0:0xcf9a40d3decb3615,
hotel,hotel,EORA Hotel Dobo,"kilo 5 bandara dobo, Jl. Cendrawasih, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,85243550222.0,,,-5.7787984,134.2095928,https://maps.google.com/?cid=0x0:0x18bdfd4347f94d62,
hotel,hotel,hotel Grand Aru,"jalan jalabil, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,82292355275.0,,,-5.759843,134.2183899,https://maps.google.com/?cid=0x0:0x8cc3db26ac695e6a,
hotel,hotel,Hotel Suasana Baru,"66RF+834, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,,,,-5.7592425,134.2227125,https://maps.google.com/?cid=0x0:0x8dff54bd652cad80,
hotel,hotel,HOTEL SINAR HARAPAN DOBO,"66R7+C7M, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,91724175.0,,,-5.7589178,134.2131838,https://maps.google.com/?cid=0x0:0x46a432dd5c1a24c1,
hotel,hotel,Casa SHARON Guesthouse,"Jl. Cendrawasih, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,81212026233.0,,,-5.7635341,134.2187659,https://maps.google.com/?cid=0x0:0xb0602b9c9c869bd2,
hotel,hotel,Maluku 97662,"Wahayum, Kec. Aru Utara, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,,,,-5.4217993,134.5134044,https://maps.google.com/?cid=0x0:0xdef6a79ae1d70a3d,
hotel,hotel,EORA Hotel Dobo,"kilo 5 bandara dobo, Jl. Cendrawasih, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,85243550222.0,,,-5.7787984,134.2095928,https://maps.google.com/?cid=0x0:0x18bdfd4347f94d62,
hotel,Hotel,Hotel Neo Grand Aru,"Jalan Pendopo II, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,82198600471.0,,,-5.7751233,134.2201195,https://maps.google.com/?cid=0x0:0xc59310ffa0930430,
hotel,Area Rekreasi Alam,Batu Kora Beach,"Wangel, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku 97662","Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru",MALUKU,97662.0,Indonesia,82198792577.0,,,-5.7617499,134.1931261,https://maps.google.com/?cid=0x0:0xdd00cc754fcfc270,
hotel,hotel,Hotel Suasana Baru,"66RF+834, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,,,,-5.7592425,134.2227125,https://maps.google.com/?cid=0x0:0x8dff54bd652cad80,
hotel,hotel,hotel Grand Aru,"jalan jalabil, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku","Kabupaten Kepulauan Aru, Maluku",MALUKU,,Indonesia,82292355275.0,,,-5.759843,134.2183899,https://maps.google.com/?cid=0x0:0x8cc3db26ac695e6a,
