Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Kec. Moa Lakor,"Kabupaten Maluku Barat Daya, Maluku","Kabupaten Maluku Barat Daya, Maluku",MALUKU,,Indonesia,,,,-81.550.646,1.277.912.166,https://maps.google.com/?cid=0x0:0xdad6338040993a27,
mall,Pasar,PASAR LAKOR,"Q4JX+4MF, Werwawan, Kec. Moa Lakor, Kabupaten Maluku Barat Daya, Maluku","Kabupaten Maluku Barat Daya, Maluku",MALUKU,,Indonesia,,,,-82.196.877,1.281.491.758,https://maps.google.com/?cid=0x0:0x97092bb171946634,
mall,Toko,TOKO BERKAT MANDIRI,"Jalan, Wakarleli, Kec. Moa Lakor, Kabupaten Maluku Barat Daya, Maluku","Kabupaten Maluku Barat Daya, Maluku",MALUKU,,Indonesia,81248162192.0,,,-81.577.946,1.277.908.492,https://maps.google.com/?cid=0x0:0xf69ab76579c0de15,
mall,Toko bahan makanan,KIOS AZRIL,"RQRQ+VQ4, Kaiwatu, Kec. Moa Lakor, Kabupaten Maluku Barat Daya, Maluku","Kabupaten Maluku Barat Daya, Maluku",MALUKU,,Indonesia,,,,-81.578.505,1.277.894.556,https://maps.google.com/?cid=0x0:0x7cc75b7204a6a5e4,
mall,Bengkel Sepeda Motor,BENGKEL JMS,"Q4MX+GQC, Werwawan, Kec. Moa Lakor, Kabupaten Maluku Barat Daya, Maluku","Kabupaten Maluku Barat Daya, Maluku",MALUKU,,Indonesia,,,,-82.161.928,1.281.493.885,https://maps.google.com/?cid=0x0:0xbf270e8d8fa409df,
mall,Toko,Sasando Mart,"Wakarleli, Kec. Moa Lakor, Kabupaten Maluku Barat Daya, Maluku","Kabupaten Maluku Barat Daya, Maluku",MALUKU,,Indonesia,82143174928.0,,,-81.577.786,1.277.999.395,https://maps.google.com/?cid=0x0:0xdc5aaef1411b10d4,
mall,Pusat Perbelanjaan,FOTOCOPY TUTHUNI DIGITAL,"RQRX+V4F, Wakarleli, Kec. Moa Lakor, Kabupaten Maluku Barat Daya, Maluku","Kabupaten Maluku Barat Daya, Maluku",MALUKU,,Indonesia,82190640775.0,,,-81.578.228,1.277.977.921,https://maps.google.com/?cid=0x0:0xcf82ed7588e3ff44,
mall,Toko bahan makanan,Kios Marhaen,"RQRR+FW5, Klis, Kec. Moa Lakor, Kabupaten Maluku Barat Daya, Maluku","Kabupaten Maluku Barat Daya, Maluku",MALUKU,,Indonesia,,,,-82.186.211,127.950.517,https://maps.google.com/?cid=0x0:0x65ee7cbbad909031,
mall,Toko,Toko Kelontong Mama Kori,"RVGQ+2PJ, Unnamed Road, Werwaru, Kec. Moa Lakor, Kabupaten Maluku Barat Daya, Maluku","Kabupaten Maluku Barat Daya, Maluku",MALUKU,,Indonesia,,,,-81.749.234,1.278.892.782,https://maps.google.com/?cid=0x0:0x339bc7b5beb0ec5,
mall,mall,Maluku 97128,"Batu Merah, Kec. Sirimau, Kota Ambon, Maluku","Kota Ambon, Maluku",MALUKU,,Indonesia,,,,-36.827.473,1.281.907.702,https://maps.google.com/?cid=0x0:0x25ce4f908fabcf46,
