Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
komplek housing;komplek housing;Kec. Moa Lakor;"Kabupaten Maluku Barat Daya, Maluku";"Kabupaten Maluku Barat Daya, Maluku";MALUKU;;Indonesia;;;;-81.550.646;1.277.912.166;https://maps.google.com/?cid=0x0:0xdad6338040993a27;
komplek housing;komplek housing;Damer;"Kabupaten Maluku Barat Daya, Maluku";"Kabupaten Maluku Barat Daya, Maluku";MALUKU;;Indonesia;;;;-71.505.033;1.286.320.086;https://maps.google.com/?cid=0x0:0x628d9313140028f5;
komplek housing;komplek housing;Damer;"Kabupaten Maluku Barat Daya, Maluku";"Kabupaten Maluku Barat Daya, Maluku";MALUKU;;Indonesia;;;;-71.505.033;1.286.320.086;https://maps.google.com/?cid=0x0:0x628d9313140028f5;
komplek housing;Komplek perumahan;Pondok Gede Housing II;"Housing II, Jl. Raya Hankam, RT.001/RW.004, Jatirahayu, Pondok Gede, Bekasi, West Java";"Kota Bks, Jawa Barat";MALUKU;;Indonesia;;;;-62.876.701;1.069.147.674;https://maps.google.com/?cid=0x0:0x2a52e601c20d18f2;
komplek housing;Komplek perumahan;Perumahan housing 2;"Jl. Raya Hankam No.12 Blok U, RT.005/RW.002, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414";"RT.005/RW.002, Jatirahayu, Kec. Pd. Melati, Kota Bks";MALUKU;17414;Indonesia;;;;-6.287.153;1.069.155.932;https://maps.google.com/?cid=0x0:0x60205f6f07650dd6;
komplek housing;Komplek perumahan;HIERA - THE HEARTLAND OF BSD CITY;"Jl. Raya Kadusirung, Kadu Sirung, Kec. Pagedangan, Kabupaten Tangerang, Banten 15336";"Kadu Sirung, Kec. Pagedangan, Kabupaten Tangerang";MALUKU;15336;Indonesia;02150519988;;;-63.280.415;1.066.058.635;https://maps.google.com/?cid=0x0:0xddd1e2da090be5e6;
komplek housing;komplek housing;Mdona Hiera;"Kabupaten Maluku Barat Daya, Maluku";"Kabupaten Maluku Barat Daya, Maluku";MALUKU;;Indonesia;;;;-8.220.481;1.289.146.087;https://maps.google.com/?cid=0x0:0x25adcbfa64b076cc;
komplek housing;Pembangunan Perumahan;Cluster Wynyard @Hiera BSD;"MHCX+8XJ, Kadu Sirung, Kec. Pagedangan, Kabupaten Tangerang, Banten 15336";"Kadu Sirung, Kec. Pagedangan, Kabupaten Tangerang";MALUKU;15336;Indonesia;087872172625;;;-63.291.331;1.065.997.145;https://maps.google.com/?cid=0x0:0x9935e206304c43af;
komplek housing;Komplek perumahan;Kaze Hill Residence by Dekoruma;"Jl. Rudal III No.14, Joglo, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640";"Joglo, Kec. Kembangan, Kota Jakarta Barat";MALUKU;11640;Indonesia;081703888830;;;-62.220.299;1.067.222.881;https://maps.google.com/?cid=0x0:0xae1418e46b6f96f5;
komplek housing;Komplek perumahan;HANANIA Residence;"MJX9+PXW, Cicalengka, Kec. Pagedangan, Kabupaten Tangerang, Banten 15850";"Cicalengka, Kec. Pagedangan, Kabupaten Tangerang";MALUKU;15850;Indonesia;081283809815;;;-6.300.634;1.066.199.439;https://maps.google.com/?cid=0x0:0x432b857f6f8a05b3;
