Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,Toko Bahan Bangunan,toko kei bahan bangunan,"HXJC+XXW, Jl. Propinsi, Bemo, Werinama, Kabupaten Seram Bagian Timur, Maluku","Kabupaten Seram Bagian Timur, Maluku",MALUKU,,Indonesia,85299873874.0,,,-33.492.375,1.299.519.197,https://maps.google.com/?cid=0x0:0x1218f1c4ce74ce62,
building materials,Toko Perlengkapan Rumah,Toko Bangunan Manusela,"Jl Manusela No.05, Sari Putih, Werinama, Kabupaten Seram Bagian Timur, Maluku","Kabupaten Seram Bagian Timur, Maluku",MALUKU,,Indonesia,83125236425.0,,,-34.233.267,1.302.271.243,https://maps.google.com/?cid=0x0:0xa3a109db57d60060,
building materials,Toko Bahan Bangunan,Depo Bangunan Langgur,"8PRR+V2C, Langgur, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku","Kabupaten Maluku Tenggara, Maluku",MALUKU,,Indonesia,,,,-56.578.223,1.327.400.011,https://maps.google.com/?cid=0x0:0xa4f8ca0d2fd37682,
building materials,building materials,Kec. Kei Kecil,"Kabupaten Maluku Tenggara, Maluku","Kabupaten Maluku Tenggara, Maluku",MALUKU,,Indonesia,,,,-56.514.893,1.327.407.341,https://maps.google.com/?cid=0x0:0x29a53ecf427f29d0,
building materials,building materials,Pulau Kei Besar,"Kabupaten Maluku Tenggara, Maluku","Kabupaten Maluku Tenggara, Maluku",MALUKU,,Indonesia,,,,-55.588.997,1.330.777.555,https://maps.google.com/?cid=0x0:0xabb0e5e302e13003,
building materials,Tempat Ibadah,TPQ Al humayroh,"8XRV+RC5, Elat, Kec. Kei Besar, Kabupaten Maluku Tenggara, Maluku","Kabupaten Maluku Tenggara, Maluku",MALUKU,,Indonesia,85281824204.0,,,-56.579.996,1.329.936.134,https://maps.google.com/?cid=0x0:0x6e4c418c5a677c24,
building materials,Pusat Pendidikan,Taman Pendidikan Al-Qur'an (TPA) Al Huda,"8XRR+XJ7, Elat, Kei Besar, Maluku Tenggara, Larat, Kec. Kei Besar, Kabupaten Maluku Tenggara, Maluku","Kabupaten Maluku Tenggara, Maluku",MALUKU,,Indonesia,,,,-5.657.583,132.991.537,https://maps.google.com/?cid=0x0:0xbb09322ca5a47dd2,
building materials,Toko Bahan Bangunan,Idemu Okabe Gallery,"Jl. Jalur Sutera Jl. Alam No.32A, Pakualam, Sutera, Kota Tangerang Selatan, Banten 15320","Pakualam, Sutera, Kota Tangerang Selatan",MALUKU,15320.0,Indonesia,,,,-62.379.367,1.066.603.784,https://maps.google.com/?cid=0x0:0x45a648d0b9e4a128,
building materials,building materials,D'Wee Fried Chicken - Okabe Gallery,"QM66+Q46, Jalur Sutera No.32A, Pakualam, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15320","Jalur Sutera No.32A, Pakualam, Kec. Serpong Utara, Kota Tangerang Selatan",MALUKU,15320.0,Indonesia,81316131873.0,,,-6.238.169,1.066.601.822,https://maps.google.com/?cid=0x0:0xefe64d0677f8a3d4,
building materials,Toko Bahan Bangunan,toko kei bahan bangunan,"HXJC+XXW, Jl. Propinsi, Bemo, Werinama, Kabupaten Seram Bagian Timur, Maluku","Kabupaten Seram Bagian Timur, Maluku",MALUKU,,Indonesia,85299873874.0,,,-33.492.375,1.299.519.197,https://maps.google.com/?cid=0x0:0x1218f1c4ce74ce62,
building materials,Toko Perlengkapan Rumah,Toko Bangunan Manusela,"Jl Manusela No.05, Sari Putih, Werinama, Kabupaten Seram Bagian Timur, Maluku","Kabupaten Seram Bagian Timur, Maluku",MALUKU,,Indonesia,83125236425.0,,,-34.233.267,1.302.271.243,https://maps.google.com/?cid=0x0:0xa3a109db57d60060,
building materials,Toko Bahan Bangunan,toko kei bahan bangunan,"HXJC+XXW, Jl. Propinsi, Bemo, Werinama, Kabupaten Seram Bagian Timur, Maluku","Kabupaten Seram Bagian Timur, Maluku",MALUKU,,Indonesia,85299873874.0,,,-33.492.375,1.299.519.197,https://maps.google.com/?cid=0x0:0x1218f1c4ce74ce62,
building materials,Toko Perlengkapan Rumah,Toko Bangunan Manusela,"Jl Manusela No.05, Sari Putih, Werinama, Kabupaten Seram Bagian Timur, Maluku","Kabupaten Seram Bagian Timur, Maluku",MALUKU,,Indonesia,83125236425.0,,,-34.233.267,1.302.271.243,https://maps.google.com/?cid=0x0:0xa3a109db57d60060,
building materials,building materials,Pulau Kei Besar,"Kabupaten Maluku Tenggara, Maluku","Kabupaten Maluku Tenggara, Maluku",MALUKU,,Indonesia,,,,-55.588.997,1.330.777.555,https://maps.google.com/?cid=0x0:0xabb0e5e302e13003,
building materials,building materials,Kec. Kei Kecil Tim.,"Kabupaten Maluku Tenggara, Maluku","Kabupaten Maluku Tenggara, Maluku",MALUKU,,Indonesia,,,,-58.097.466,1.327.772.816,https://maps.google.com/?cid=0x0:0x6aa8f793d559e5f5,
building materials,Toko,Toko Mandiri,"8PJP+VC, Langgur, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku","Kabupaten Maluku Tenggara, Maluku",MALUKU,,Indonesia,83160630089.0,,,-56.677.393,1.327.360.866,https://maps.google.com/?cid=0x0:0xcaa8af3425f2c00f,
building materials,Toko bahan makanan,Mitra Abadi,"Faan, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku","Kabupaten Maluku Tenggara, Maluku",MALUKU,,Indonesia,,,,-56.724.681,132.735.614,https://maps.google.com/?cid=0x0:0xc09bec2b32cfd679,
building materials,Kompleks Townhouse,HNN BATAKO,"7M2R+GXM, Dian, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku","Kabupaten Maluku Tenggara, Maluku",MALUKU,,Indonesia,,,,-57.489.268,1.326.915.803,https://maps.google.com/?cid=0x0:0x44665d74f9627a5d,
building materials,Toko Bahan Bangunan,Depo Bangunan Langgur,"8PRR+V2C, Langgur, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku","Kabupaten Maluku Tenggara, Maluku",MALUKU,,Indonesia,,,,-56.578.223,1.327.400.011,https://maps.google.com/?cid=0x0:0xa4f8ca0d2fd37682,
building materials,Komplek perumahan,Terra Home Center,"Jalan Merdeka Barat, Langgur, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku","Kabupaten Maluku Tenggara, Maluku",MALUKU,,Indonesia,82115000320.0,,,-56.535.181,1.327.366.852,https://maps.google.com/?cid=0x0:0x5a5a72c61af81494,
