Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Maluku 97611";"Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku";"Kota Tual, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-5.6405597";"132.7437118";"https://maps.google.com/?cid=0x0:0x3f6a1cf664874ad3";""
"komplek housing";"Komplek perumahan";"Cahaya Kei";"8PQP+RXH, Unnamed Rd, Langgur, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku";"Kabupaten Maluku Tenggara, Maluku";"MALUKU";"";"Indonesia";" 081292480414";"";"";"-5.6604261";"132.7374707";"https://maps.google.com/?cid=0x0:0x1e2005c460799e05";""
"komplek housing";"Komplek perumahan";"Akbar Kos";"9P5V+QFG, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku 97611";"Fiditan, Kec. Pulau Dullah Utara, Kota Tual";"MALUKU";"97611";"Indonesia";"";"";"";"-5.6405597";"132.7437118";"https://maps.google.com/?cid=0x0:0xb2a8c3b661d77ef6";""
"komplek housing";"Komplek perumahan";"HK Group";"9P5V+V78, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku";"Kota Tual, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-5.6403509";"132.743234";"https://maps.google.com/?cid=0x0:0xb40235a01bf32b52";""
"komplek housing";"Komplek perumahan";"Hollay";"8PRP+XVF, Langgur, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku";"Kabupaten Maluku Tenggara, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-5.6585738";"132.7364626";"https://maps.google.com/?cid=0x0:0xe92cae16adf54875";""
"komplek housing";"Komplek perumahan";"KIOM BAWA";"9P5V+G6V, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku";"Kota Tual, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-5.641144";"132.7430368";"https://maps.google.com/?cid=0x0:0xe6fb8980309babc1";""
"komplek housing";"Komplek perumahan";"SITI ZAKIA BUGIS";"9P6V+42W, Jl. Usman Matdoan, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku";"Kota Tual, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-5.6396116";"132.742618";"https://maps.google.com/?cid=0x0:0x39777da2978e9dae";""
"komplek housing";"Komplek perumahan";"AHMAD DIFINUBUN";"9P6V+42R, Jl. Usman Matdoan, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku";"Kota Tual, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-5.639298";"132.7427206";"https://maps.google.com/?cid=0x0:0x10e0972e73b4a146";""
"komplek housing";"Perumahan";"Anggun Rahawarin";"9P5V+WC3, Fiditan, Kec. Pulau Dullah Utara, Kota Tual, Maluku";"Kota Tual, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-5.640225";"132.7435408";"https://maps.google.com/?cid=0x0:0x450d5106a8cd6d86";""
"komplek housing";"komplek housing";"Kec. Kei Kecil";"Kabupaten Maluku Tenggara, Maluku";"Kabupaten Maluku Tenggara, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-5.6514893";"132.7407341";"https://maps.google.com/?cid=0x0:0x29a53ecf427f29d0";""
