Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
building materials;Toko Bahan Bangunan;toko kei bahan bangunan;"HXJC+XXW, Jl. Propinsi, Bemo, Werinama, Kabupaten Seram Bagian Timur, Maluku";"Kabupaten Seram Bagian Timur, Maluku";MALUKU;;Indonesia;085299873874;;;-33.492.375;1.299.519.197;https://maps.google.com/?cid=0x0:0x1218f1c4ce74ce62;
building materials;Toko Perlengkapan Rumah;Toko Bangunan Manusela;"Jl Manusela No.05, Sari Putih, Werinama, Kabupaten Seram Bagian Timur, Maluku";"Kabupaten Seram Bagian Timur, Maluku";MALUKU;;Indonesia;083125236425;;;-34.233.267;1.302.271.243;https://maps.google.com/?cid=0x0:0xa3a109db57d60060;
building materials;Toko Bahan Bangunan;Depo Bangunan Langgur;"8PRR+V2C, Langgur, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku";"Kabupaten Maluku Tenggara, Maluku";MALUKU;;Indonesia;;;;-56.578.223;1.327.400.011;https://maps.google.com/?cid=0x0:0xa4f8ca0d2fd37682;
building materials;building materials;Kec. Kei Kecil;"Kabupaten Maluku Tenggara, Maluku";"Kabupaten Maluku Tenggara, Maluku";MALUKU;;Indonesia;;;;-56.514.893;1.327.407.341;https://maps.google.com/?cid=0x0:0x29a53ecf427f29d0;
building materials;building materials;Pulau Kei Besar;"Kabupaten Maluku Tenggara, Maluku";"Kabupaten Maluku Tenggara, Maluku";MALUKU;;Indonesia;;;;-55.588.997;1.330.777.555;https://maps.google.com/?cid=0x0:0xabb0e5e302e13003;
building materials;Tempat Ibadah;TPQ Al humayroh;"8XRV+RC5, Elat, Kec. Kei Besar, Kabupaten Maluku Tenggara, Maluku";"Kabupaten Maluku Tenggara, Maluku";MALUKU;;Indonesia;085281824204;;;-56.579.996;1.329.936.134;https://maps.google.com/?cid=0x0:0x6e4c418c5a677c24;
building materials;Pusat Pendidikan;Taman Pendidikan Al-Qur'an (TPA) Al Huda;"8XRR+XJ7, Elat, Kei Besar, Maluku Tenggara, Larat, Kec. Kei Besar, Kabupaten Maluku Tenggara, Maluku";"Kabupaten Maluku Tenggara, Maluku";MALUKU;;Indonesia;;;;-5.657.583;132.991.537;https://maps.google.com/?cid=0x0:0xbb09322ca5a47dd2;
building materials;Toko Bahan Bangunan;Idemu Okabe Gallery;"Jl. Jalur Sutera Jl. Alam No.32A, Pakualam, Sutera, Kota Tangerang Selatan, Banten 15320";"Pakualam, Sutera, Kota Tangerang Selatan";MALUKU;15320;Indonesia;;;;-62.379.367;1.066.603.784;https://maps.google.com/?cid=0x0:0x45a648d0b9e4a128;
building materials;building materials;D'Wee Fried Chicken - Okabe Gallery;"QM66+Q46, Jalur Sutera No.32A, Pakualam, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15320";"Jalur Sutera No.32A, Pakualam, Kec. Serpong Utara, Kota Tangerang Selatan";MALUKU;15320;Indonesia;081316131873;;;-6.238.169;1.066.601.822;https://maps.google.com/?cid=0x0:0xefe64d0677f8a3d4;
building materials;Toko Bahan Bangunan;toko kei bahan bangunan;"HXJC+XXW, Jl. Propinsi, Bemo, Werinama, Kabupaten Seram Bagian Timur, Maluku";"Kabupaten Seram Bagian Timur, Maluku";MALUKU;;Indonesia;085299873874;;;-33.492.375;1.299.519.197;https://maps.google.com/?cid=0x0:0x1218f1c4ce74ce62;
