Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,building materials,Kairatu,"Kairatu, Kec. Kairatu, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.341675,128.352798,https://maps.google.com/?cid=0x0:0xccc8b619c657b48e,
building materials,Toko,Toko Tunas Baru,"M966+FP8, Jl. Trans Seram, Waimital, Kec. Kairatu, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,81385661699.0,,,-3.3388259,128.3618245,https://maps.google.com/?cid=0x0:0x20a66a8197b5b440,
building materials,Toko Bahan Bangunan,Toko Sumber Alam,"M966+8R6, Jl. Trans Seram, Waimital, Kec. Kairatu, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,82378990826.0,,,-3.3392156,128.362011,https://maps.google.com/?cid=0x0:0x4a1586af5326e028,
building materials,Toko Bahan Bangunan,Toko bangunan Dinda Barokah,"P85C+XWC, Waihatu, Kec. Kairatu Bar., Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,81356194953.0,,,-3.2900692,128.3222692,https://maps.google.com/?cid=0x0:0x634ca5cb31d21d51,
building materials,building materials,Toko bangunan,"M994+PJG, Waimital, Kec. Kairatu, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.3306794,128.3565723,https://maps.google.com/?cid=0x0:0x24639d7d98e3c1a9,
building materials,building materials,Toko bangunan mba Nur,"M994+27M, Jl. Ir. Mohamad Khosim, Waimital, Kec. Kairatu, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.3324149,128.3556808,https://maps.google.com/?cid=0x0:0xc56ce3808221aa9d,
building materials,building materials,Kec. Seram Bar.,"Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.0650683,128.194492,https://maps.google.com/?cid=0x0:0xd1612bfbfbd97a94,
building materials,Komplek perumahan,Jalan air kuning seram bagian Barat,"W685+HCR, Piru, Kec. Seram Bar., Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.0835033,128.2085127,https://maps.google.com/?cid=0x0:0x8bd7b2153f9ebc35,
building materials,Toko Perlengkapan Rumah,Toko Berdikari Jaya,"W6H2+GHW, Jl. Trans Seram, Piru, Kec. Seram Bar., Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.0711298,128.2014526,https://maps.google.com/?cid=0x0:0x493d9b22726b068d,
building materials,Toko Bahan Bangunan,Toko Sumber Alam,"M966+8R6, Jl. Trans Seram, Waimital, Kec. Kairatu, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,82378990826.0,,,-3.3392156,128.362011,https://maps.google.com/?cid=0x0:0x4a1586af5326e028,
building materials,Kantor Perusahaan,PT. Manusela Prima Mining,"Jl. Lintas seram No.25, Piru, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,9113940009.0,,,-3.0794167,128.0379325,https://maps.google.com/?cid=0x0:0xd9107a4d0d81e6e,
building materials,Toko,Toko Tunas Baru,"M966+FP8, Jl. Trans Seram, Waimital, Kec. Kairatu, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,81385661699.0,,,-3.3388259,128.3618245,https://maps.google.com/?cid=0x0:0x20a66a8197b5b440,
building materials,Toko Bahan Bangunan,Eka Pratama,"JWQV+6P5, Luhu, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,81385661699.0,,,-3.3619763,127.9443737,https://maps.google.com/?cid=0x0:0x9297fa79318e74fa,
building materials,Pembangunan Perumahan,Kompleks Rumah Tiga,"XXV2+W5, Buano Utara, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.0051172,127.9504017,https://maps.google.com/?cid=0x0:0x39c20c8416743982,
building materials,Toko Bahan Bangunan,Toko bangunan Dinda Barokah,"P85C+XWC, Waihatu, Kec. Kairatu Bar., Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,81356194953.0,,,-3.2900692,128.3222692,https://maps.google.com/?cid=0x0:0x634ca5cb31d21d51,
building materials,Toko Bahan Bangunan,PT RBSHERA SOLUSI BANGUNAN INDONESIA,"Alia Building, Jl. M.I. Ridwan Rais No.Kav. 10-18, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110","Jl. M.I. Ridwan Rais No.Kav. 10-18, Gambir, Kecamatan Gambir, Kota Jakarta Pusat",MALUKU,10110.0,Indonesia,213867707.0,,,-6.1818495,106.832449,https://maps.google.com/?cid=0x0:0xe7643e0609e72ce9,
building materials,Toko Bahan Bangunan,Toko Hanna,"JWPV+GV, Luhu, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,82199904646.0,,,-3.3636349,127.9446434,https://maps.google.com/?cid=0x0:0x78aff0296928fc4c,
building materials,Toko Bahan Bangunan,Toko Bata/batako,"J9QC+8G8, Kairatu, Kec. Kairatu, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,81385661699.0,,,-3.3617156,128.3713198,https://maps.google.com/?cid=0x0:0x481586af2d254d67,
building materials,,Aneka Bangunan,"HMRR+HR7, Tomalehu, Kec. Amalatu, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,82378990826.0,,,-3.4086133,128.6919824,https://maps.google.com/?cid=0x0:0xce54d8093551ed41,
building materials,Toko Bahan Bangunan,Toko DOLIF DESA LUHU,"JX7M+655, kmp bunga 1, Luhu, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.3869784,127.9829825,https://maps.google.com/?cid=0x0:0xe28303e624ccca63,
building materials,Toko Bahan Bangunan,Toko Bangunan Lestari Baru,"Waihatu, Kec. Kairatu Bar., Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,82238832490.0,,,-3.2864381,128.3222819,https://maps.google.com/?cid=0x0:0xb14d86a65046c260,
building materials,building materials,Tokoh mom joko,"J96Q+CQ4, Dusun Pakarena, Kairatu, Kec. Kairatu, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.3888445,128.3898618,https://maps.google.com/?cid=0x0:0x9d686c547315480c,
building materials,building materials,Toko Adi,"4FXG+F9W, Taniwel, Kec. Taniwel, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-2.8512629,128.4759595,https://maps.google.com/?cid=0x0:0x832036ee88a32a19,
building materials,building materials,Waesala,"Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.1946096,127.9572703,https://maps.google.com/?cid=0x0:0xe960ac9124dc066f,
building materials,Pembangunan Perumahan,Kompleks Rumah Tiga,"XXV2+W5, Buano Utara, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.0051172,127.9504017,https://maps.google.com/?cid=0x0:0x39c20c8416743982,
building materials,building materials,Kec. Huamual Belakang,"Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.2255814,128.0662787,https://maps.google.com/?cid=0x0:0x234bd4efeec3b38,
building materials,Toko Bahan Bangunan,Toko Hanna,"JWPV+GV, Luhu, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,82199904646.0,,,-3.3636349,127.9446434,https://maps.google.com/?cid=0x0:0x78aff0296928fc4c,
building materials,Komplek perumahan,Abu bakar s.d,"RV89+GGP, Waesala, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.1836625,127.8688281,https://maps.google.com/?cid=0x0:0x5e7ac4d3d4164e4d,
building materials,Toko,Toko Rifky Jkt Bru,"P385+MC7, Lokki, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,82378990826.0,,,-3.2833419,128.0585336,https://maps.google.com/?cid=0x0:0xfc53f32c414a25a3,
building materials,,Aneka Bangunan,"HMRR+HR7, Tomalehu, Kec. Amalatu, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,82378990826.0,,,-3.4086133,128.6919824,https://maps.google.com/?cid=0x0:0xce54d8093551ed41,
building materials,Toko Bahan Bangunan,Adun.toko Aneka,"HMRR+HR7, Hualoy, Kec. Amalatu, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.4085927,128.6920418,https://maps.google.com/?cid=0x0:0x11f8ac0e264e1815,
building materials,building materials,Kec. Inamosol,"Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,,,,-3.2334031,128.4500616,https://maps.google.com/?cid=0x0:0x5bec28e34f3cb18d,
building materials,Toko Bahan Bangunan,Toko Sumber Alam,"M966+8R6, Jl. Trans Seram, Waimital, Kec. Kairatu, Kabupaten Seram Bagian Barat, Maluku","Kabupaten Seram Bagian Barat, Maluku",MALUKU,,Indonesia,82378990826.0,,,-3.3392156,128.362011,https://maps.google.com/?cid=0x0:0x4a1586af5326e028,
