Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
building materials;building materials;Bula;"Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku";"Kabupaten Seram Bagian Timur, Maluku";MALUKU;;Indonesia;;;;-310.968;130.498.505;https://maps.google.com/?cid=0x0:0x20388956c533e2b;
building materials;Toko Perlengkapan Rumah;Toko bangunan Arifa Indah;"WF69+CFX, Jl. Wailola, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku";"Kabupaten Seram Bagian Timur, Maluku";MALUKU;;Indonesia;081231274235;;;-30.888.906;1.304.687.493;https://maps.google.com/?cid=0x0:0x6d2adbab81a89335;
building materials;Toko Bahan Bangunan;UD.NISKY SERAM DEPO BANGUNAN BULA;"WF4F+CH5, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku";"Kabupaten Seram Bagian Timur, Maluku";MALUKU;;Indonesia;082198535070;;;-30.939.921;1.304.739.724;https://maps.google.com/?cid=0x0:0xc38c7b6a3f0d1249;
building materials;Toserba;Toko Bangunan Bintang Timur;"Kecil Atas, Jl. Wailola, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku";"Kabupaten Seram Bagian Timur, Maluku";MALUKU;;Indonesia;082378990826;;;-31.020.661;1.304.795.478;https://maps.google.com/?cid=0x0:0x4aef66ef96eb16a8;
building materials;Kantor Perusahaan;Perusahaan Listrik Negara. PT;"VFRX+4G8, JL. Hombo, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku 97555";"JL. Hombo, Bula, Kec. Bula, Kabupaten Seram Bagian Timur";MALUKU;97555;Indonesia;091521177;;;-3.109.706;130.498.824;https://maps.google.com/?cid=0x0:0x7efe5b67fde51b2e;
building materials;Komplek perumahan;Manusela Bangunan;"NO WA OI54O54249, Jl Manusela No.2, Sariputih, Timur, Seram Bagian Utara, Maluku";"Seram Bagian Utara, Maluku";MALUKU;;Indonesia;08113622262;;;-29.068.033;1.297.601.032;https://maps.google.com/?cid=0x0:0x88daa0e37101ec98;
building materials;Toko Bahan Bangunan;Matrial Bulak Karya;"Jl. Betung Raya No.8, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430";"Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur";MALUKU;13430;Indonesia;082310106567;;;-62.357.653;1.069.034.594;https://maps.google.com/?cid=0x0:0x1b73901cf2a7a966;
building materials;Toko Bahan Bangunan;TB. BERKAT MAKMUR;"Jl. Masjid Abidin No.24, RT.8/RW.6, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430";"RT.8/RW.6, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur";MALUKU;13430;Indonesia;;;;-62.290.933;1.069.029.323;https://maps.google.com/?cid=0x0:0xa0e6cebea53b5c2a;
building materials;building materials;Bula;"Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku";"Kabupaten Seram Bagian Timur, Maluku";MALUKU;;Indonesia;;;;-310.968;130.498.505;https://maps.google.com/?cid=0x0:0x20388956c533e2b;
building materials;Toko Perlengkapan Rumah;Toko bangunan Arifa Indah;"WF69+CFX, Jl. Wailola, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku";"Kabupaten Seram Bagian Timur, Maluku";MALUKU;;Indonesia;081231274235;;;-30.888.906;1.304.687.493;https://maps.google.com/?cid=0x0:0x6d2adbab81a89335;
building materials;Toko Bahan Bangunan;UD.NISKY SERAM DEPO BANGUNAN BULA;"WF4F+CH5, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku";"Kabupaten Seram Bagian Timur, Maluku";MALUKU;;Indonesia;082198535070;;;-30.939.921;1.304.739.724;https://maps.google.com/?cid=0x0:0xc38c7b6a3f0d1249;
building materials;Toserba;Toko Bangunan Bintang Timur;"Kecil Atas, Jl. Wailola, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku";"Kabupaten Seram Bagian Timur, Maluku";MALUKU;;Indonesia;082378990826;;;-31.020.661;1.304.795.478;https://maps.google.com/?cid=0x0:0x4aef66ef96eb16a8;
