Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
mall,Pusat Perbelanjaan,Manokwari City Mall (MCM),"Jl. Yos Sudarso Manokwari, Manokwari Bar., Kec. Manokwari Bar., Kabupaten Manokwari, Papua Bar. 98312","Manokwari Bar., Kec. Manokwari Bar., Kabupaten Manokwari",PAPUA BARAT,98312.0,Indonesia,8114918899.0,-0.85693,134.0678051,https://maps.google.com/?cid=0x0:0x7e7b90df1d787501
mall,mall,Papua Bar. 98311,"Kec. Manokwari Tim., Kabupaten Manokwari, Papua Bar.","Kabupaten Manokwari, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.853122,134.1102895,https://maps.google.com/?cid=0x0:0x327a91d22239a4d5
mall,Pusat Perbelanjaan,XXI Manokwari City Mall,"43V9+336, Manokwari Bar., Kec. Manokwari Bar., Kabupaten Manokwari, Papua Bar. 98312","Manokwari Bar., Kec. Manokwari Bar., Kabupaten Manokwari",PAPUA BARAT,98312.0,Indonesia,,-0.8573313,134.0676452,https://maps.google.com/?cid=0x0:0xe937482c99d96980
mall,Pusat Perbelanjaan,Solaria - Manokwari City Mall,"Jl. Yos Sudarso No.8, Manokwari Bar., Kec. Manokwari Bar., Kabupaten Manokwari, Papua Bar. 98312","Manokwari Bar., Kec. Manokwari Bar., Kabupaten Manokwari",PAPUA BARAT,98312.0,Indonesia,,-0.8568296,134.0677534,https://maps.google.com/?cid=0x0:0x2f8eaeac754b6e6b
mall,Toko bahan makanan,Kalawai Mart,"42GW+JX7, Jl. Drs Esau Sesa, Wosi, Kec. Manokwari Bar., Kabupaten Manokwari, Papua Bar. 98312","Jl. Drs Esau Sesa, Wosi, Kec. Manokwari Bar., Kabupaten Manokwari",PAPUA BARAT,98312.0,Indonesia,82239404628.0,-0.8734685,134.0474365,https://maps.google.com/?cid=0x0:0xa03f46416c062468
mall,Toko Elektronik,Erafone Manokwari City Mall,"City Mall, Jl. Yos Sudarso Manokwari No.FF-06 LT. 1, Manokwari Bar., Kec. Manokwari Bar., Kabupaten Manokwari, Papua Bar. 98312","Jl. Yos Sudarso Manokwari No.FF-06 LT. 1, Manokwari Bar., Kec. Manokwari Bar., Kabupaten Manokwari",PAPUA BARAT,98312.0,Indonesia,,-0.8572223,134.0678973,https://maps.google.com/?cid=0x0:0x15034185202b422c
mall,Pasar,Pasar Borobudur,"Jl. Jend. Sudirman No.17, Padarni, Kec. Manokwari Bar., Kabupaten Manokwari, Papua Bar. 98312","Padarni, Kec. Manokwari Bar., Kabupaten Manokwari",PAPUA BARAT,98312.0,Indonesia,,-0.8585799,134.0715162,https://maps.google.com/?cid=0x0:0x9e6356f508961607
mall,Minimarket,Hadi Supermarket Manokwari,"43V9+632, Jl. Yos Sudarso Manokwari, Manokwari Bar., Barat, Kabupaten Manokwari, Papua Bar. 98312","Jl. Yos Sudarso Manokwari, Manokwari Bar., Barat, Kabupaten Manokwari",PAPUA BARAT,98312.0,Indonesia,81344231138.0,-0.8569848,134.0676451,https://maps.google.com/?cid=0x0:0x9eff32c2ea26d6a2
mall,Kantor Perusahaan,PT INDOPRIMA MANOKWARI,"Jl. Merdeka No.43, Manokwari Tim., Kec. Manokwari Bar., Kabupaten Manokwari, Papua Bar. 98312","Manokwari Tim., Kec. Manokwari Bar., Kabupaten Manokwari",PAPUA BARAT,98312.0,Indonesia,82197465442.0,-0.8645878,134.0755419,https://maps.google.com/?cid=0x0:0x8d2dd60cde2c56dd
mall,Toko Optik,Optik Melawai - Manokwari City Mall,"Jl. Yos Sudarso Manokwari No.8, Manokwari Bar., Kec. Manokwari Bar., Kabupaten Manokwari, Papua Bar. 98312","Manokwari Bar., Kec. Manokwari Bar., Kabupaten Manokwari",PAPUA BARAT,98312.0,Indonesia,81574206945.0,-0.8569401,134.0673937,https://maps.google.com/?cid=0x0:0x1673f3eebaa3c75b
