Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
cafe,Kedai Kopi,Arvastenk cafe,"34QF+J34 Vasco Damneen, Ekam, Tomu, Teluk Bintuni Regency, West Papua","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-1.9109991,133.1226998,https://maps.google.com/?cid=0x0:0xa6ebd0aba70dc384
cafe,cafe,Distrik Aranday,"Kabupaten Teluk Bintuni, Papua Bar.","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-1.925379,133.229204,https://maps.google.com/?cid=0x0:0xab05e8c7d8e39b11
cafe,cafe,WARUNG AREMA,"Stengkol 3, distrik Meyado, Ekam, Tomu, Kabupaten Teluk Bintuni, Papua Bar. 98364","distrik Meyado, Ekam, Tomu, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,,-1.9122117,133.1273117,https://maps.google.com/?cid=0x0:0xfd77b77e70977991
cafe,Kedai Kopi,IndCaffe,"VJV7+8F3, Sp V. Manimery/ Argo Sigemeray, Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364","Sp V. Manimery/ Argo Sigemeray, Distrik Bintuni, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,,-2.1067275,133.6136765,https://maps.google.com/?cid=0x0:0x72add400e5e4b85d
cafe,Indonesia,Warung Rizky,"Kampung Wesiri, Km 6, Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364","Km 6, Distrik Bintuni, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,,-2.0604501,133.4644802,https://maps.google.com/?cid=0x0:0x8901f778886d7990
cafe,Brunch,RM.bosowa,"34QF+G82, Ekam, Tomu, Kabupaten Teluk Bintuni, Papua Bar. 98364","Ekam, Tomu, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,,-1.911225,133.123254,https://maps.google.com/?cid=0x0:0xd2e17b91c3c2edb2
cafe,Kedai Kopi,Cafe Candu,"FC4W+6Q5, Nusei, Babo, Kabupaten Teluk Bintuni, Papua Bar. 98363","Nusei, Babo, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,,-2.5430787,133.4472981,https://maps.google.com/?cid=0x0:0x30a3023fb4861441
cafe,Kedai Kopi,FD Billiard  Coffeeshop,"Jln. Trans Manokwari, Ransiki Kota, Ransiki, Teluk Bintuni Regency, West Papua 98355","Ransiki Kota, Ransiki, Teluk Bintuni Regency",PAPUA BARAT,98355.0,Indonesia,81240269469.0,-1.5010586,134.1714819,https://maps.google.com/?cid=0x0:0xa3d36becfd448018
cafe,China,Kedai Joy,"Jln. Km7 Samping Dinas Pendidikan, Wesiri, Bintuni, Teluk Bintuni Regency, West Papua 98364","Wesiri, Bintuni, Teluk Bintuni Regency",PAPUA BARAT,98364.0,Indonesia,82399130385.0,-2.0785516,133.4831511,https://maps.google.com/?cid=0x0:0x8778a17471559227
cafe,Kedai Kopi,Arvastenk cafe,"34QF+J34 Vasco Damneen, Ekam, Tomu, Teluk Bintuni Regency, West Papua","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-1.9109991,133.1226998,https://maps.google.com/?cid=0x0:0xa6ebd0aba70dc384
cafe,cafe,Aroba,"Distrik Aroba, Kabupaten Teluk Bintuni, Papua Bar.","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-2.7579448,133.5799151,https://maps.google.com/?cid=0x0:0xde88d08daed2fbc6
cafe,Kedai Kopi,Cafe Candu,"FC4W+6Q5, Nusei, Babo, Kabupaten Teluk Bintuni, Papua Bar. 98363","Nusei, Babo, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,,-2.5430787,133.4472981,https://maps.google.com/?cid=0x0:0x30a3023fb4861441
cafe,cafe,Meubel Aroba,"Aroba, Distrik Aroba, Kabupaten Teluk Bintuni, Papua Bar. 98363","Distrik Aroba, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,85925385494.0,-2.7614741,133.5748287,https://maps.google.com/?cid=0x0:0x84872fc16e9dd739
cafe,Kafe,Mangrove Family Karaoke And Cafe,"Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364","Distrik Bintuni, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,82399466658.0,-2.1277471,133.551995,https://maps.google.com/?cid=0x0:0x70b082e76b7525d1
cafe,cafe,Distrik Aroba,"Kabupaten Teluk Bintuni, Papua Bar.","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-2.6623708,133.4066618,https://maps.google.com/?cid=0x0:0x34e1822373826341
cafe,Komplek perumahan,Kasira,"FF82+2QG, Nusei, Distrik Aroba, Kabupaten Teluk Bintuni, Papua Bar. 98363","Nusei, Distrik Aroba, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,81344553065.0,-2.534939,133.4519651,https://maps.google.com/?cid=0x0:0x6992e2868d82a97c
cafe,Kantor Perusahaan,OMK Caffe,"Jl. Pendidikan No.RT. 06, Tofoi, Kec. Sumuri, Kabupaten Teluk Bintuni, Papua Bar. 98363","Tofoi, Kec. Sumuri, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,,-2.5382463,133.2536905,https://maps.google.com/?cid=0x0:0xe9ff5955fdafbcf9
cafe,Minimarket,Warung Makan,"G924+VV5, Sido Makmur, Distrik Aroba, Kabupaten Teluk Bintuni, Papua Bar. 98363","Sido Makmur, Distrik Aroba, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,,-2.4982436,133.3573854,https://maps.google.com/?cid=0x0:0x75ee501bb8d696b5
cafe,Kafe,Coffee Brothers,"Maniwak, Manggurai PEMDA, Iriati, Distrik Wasior, Kabupaten Teluk Wondama, Papua Bar. 98362","Manggurai PEMDA, Iriati, Distrik Wasior, Kabupaten Teluk Wondama",PAPUA BARAT,98362.0,Indonesia,85244343890.0,-2.761305,134.5119245,https://maps.google.com/?cid=0x0:0x40dcc2c8a660e005
cafe,Pusat Perbelanjaan,Kios Bu Hajir,"G924+RRX, Kasira, Distrik Aroba, Kabupaten Teluk Bintuni, Papua Bar. 98363","Kasira, Distrik Aroba, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,,-2.4983458,133.3570042,https://maps.google.com/?cid=0x0:0x33b2a453980a94b8
cafe,Restoran,Rumah Makan Babor,"IRARUTU III, RT.01/RW.02, Nusei, Babo, Kabupaten Teluk Bintuni, Papua Bar. 98364","RT.01/RW.02, Nusei, Babo, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,81343003329.0,-2.5419199,133.4504804,https://maps.google.com/?cid=0x0:0x8899db8d0b95b7d
cafe,Restoran,Warung Bakso Pak Nur Babo,"Irarutu III, Babo, Kabupaten Teluk Bintuni, Papua Bar. 98363","Babo, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,82238454404.0,-2.5419245,133.4507752,https://maps.google.com/?cid=0x0:0x228c6dc43a8a738
cafe,Brunch,Warung Mbak Novi,"G924+VV5, Sido Makmur, Aroba, Teluk Bintuni Regency, West Papua 98363","Sido Makmur, Aroba, Teluk Bintuni Regency",PAPUA BARAT,98363.0,Indonesia,,-2.49814,133.357486,https://maps.google.com/?cid=0x0:0x8d69c75c6bbb9f43
cafe,cafe,Babo,"Kabupaten Teluk Bintuni, Papua Bar.","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-2.5410944,133.4455624,https://maps.google.com/?cid=0x0:0x4d33f662184232b6
cafe,Kedai Kopi,Cafe Candu,"FC4W+6Q5, Nusei, Babo, Kabupaten Teluk Bintuni, Papua Bar. 98363","Nusei, Babo, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,,-2.5430787,133.4472981,https://maps.google.com/?cid=0x0:0x30a3023fb4861441
cafe,Restoran,Warung Bakso Pak Nur Babo,"Irarutu III, Babo, Kabupaten Teluk Bintuni, Papua Bar. 98363","Babo, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,82238454404.0,-2.5419245,133.4507752,https://maps.google.com/?cid=0x0:0x228c6dc43a8a738
cafe,Komplek perumahan,Kasira,"FF82+2QG, Nusei, Distrik Aroba, Kabupaten Teluk Bintuni, Papua Bar. 98363","Nusei, Distrik Aroba, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,81344553065.0,-2.534939,133.4519651,https://maps.google.com/?cid=0x0:0x6992e2868d82a97c
cafe,Indonesia,Lapak Bubur Ayam Chef Bilal,"FF52+F2R, Nusei, Babo, Kabupaten Teluk Bintuni, Papua Bar. 98363","Nusei, Babo, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,81347420739.0,-2.5412932,133.4500293,https://maps.google.com/?cid=0x0:0xbb1612a81e1f1ab9
cafe,Restoran,Rumah Makan Babor,"IRARUTU III, RT.01/RW.02, Nusei, Babo, Kabupaten Teluk Bintuni, Papua Bar. 98364","RT.01/RW.02, Nusei, Babo, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,81343003329.0,-2.5419199,133.4504804,https://maps.google.com/?cid=0x0:0x8899db8d0b95b7d
cafe,Kafe,Mangrove Family Karaoke And Cafe,"Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364","Distrik Bintuni, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,82399466658.0,-2.1277471,133.551995,https://maps.google.com/?cid=0x0:0x70b082e76b7525d1
cafe,Minimarket,Warung Makan,"G924+VV5, Sido Makmur, Distrik Aroba, Kabupaten Teluk Bintuni, Papua Bar. 98363","Sido Makmur, Distrik Aroba, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,,-2.4982436,133.3573854,https://maps.google.com/?cid=0x0:0x75ee501bb8d696b5
cafe,Kantor Perusahaan,OMK Caffe,"Jl. Pendidikan No.RT. 06, Tofoi, Kec. Sumuri, Kabupaten Teluk Bintuni, Papua Bar. 98363","Tofoi, Kec. Sumuri, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,,-2.5382463,133.2536905,https://maps.google.com/?cid=0x0:0xe9ff5955fdafbcf9
cafe,Kedai Kopi,Babatri Cafe - Coffee and Eatery,"Jl. Mawar II No.6 5, RT.5/RW.13, Bintaro, Kec. Pesanggrahan, Kota Tangerang Selatan, Daerah Khusus Ibukota Jakarta 12330","RT.5/RW.13, Bintaro, Kec. Pesanggrahan, Kota Tangerang Selatan",PAPUA BARAT,12330.0,Indonesia,,-6.2866142,106.7642864,https://maps.google.com/?cid=0x0:0x796398d6e169ae03
cafe,Kedai Kopi,Babah Koffie by Kawisari,"Jl. Kali Besar Barat No.28, RT.7/RW.3, Roa Malaka, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11230","RT.7/RW.3, Roa Malaka, Kec. Tambora, Kota Jakarta Barat",PAPUA BARAT,11230.0,Indonesia,8118711248.0,-6.1346673,106.8110363,https://maps.google.com/?cid=0x0:0xdcdb6a4b78a3f03c
cafe,Kedai Kopi,Babocha,"P4Q3+55W, Jalan Perumahan Griya, Sei Raya, Kec. Cikarang Bar., Kabupaten Karimun, Kepulauan Riau","Kabupaten Karimun, Kepulauan Riau",PAPUA BARAT,,Indonesia,87764015027.0,-6.2620031,107.1029476,https://maps.google.com/?cid=0x0:0x1cdd93fe269c4d94
cafe,Otoritas Pelabuhan,Pasar Rakyat Babo,"FC6V+7RV, Modan, Nusei, Babo, Kabupaten Teluk Bintuni, Papua Bar. 98363","Modan, Nusei, Babo, Kabupaten Teluk Bintuni",PAPUA BARAT,98363.0,Indonesia,,-2.5392709,133.4445525,https://maps.google.com/?cid=0x0:0xbe1e68c434b88899
cafe,cafe,Bintuni,"Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar.","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-2.116667,133.533333,https://maps.google.com/?cid=0x0:0xb2abe6f637dc67dd
cafe,Kedai Kopi,INGAT KOPI BINTUNI,"Samping Penginapan Kabira, Ingat Kopi Bintuni, Jl Raya, Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364","Ingat Kopi Bintuni, Jl Raya, Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,85287200241.0,-2.1179985,133.5336587,https://maps.google.com/?cid=0x0:0xb6794b3d5220f992
cafe,Kafe,D'meong Coffee,"VGHQ+V3G, Unnamed Road, Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364","Unnamed Road, Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,81246969627.0,-2.1203214,133.5377157,https://maps.google.com/?cid=0x0:0xff6cb93e8ca143e7
cafe,Kedai Kopi,IndCaffe,"VJV7+8F3, Sp V. Manimery/ Argo Sigemeray, Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364","Sp V. Manimery/ Argo Sigemeray, Distrik Bintuni, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,,-2.1067275,133.6136765,https://maps.google.com/?cid=0x0:0x72add400e5e4b85d
cafe,Kedai Kopi,Coffee Bos'Q,"Bintuni Bar., Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364","Distrik Bintuni, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,82234742726.0,-2.1136829,133.5289437,https://maps.google.com/?cid=0x0:0xd9ea3c488540c9ec
cafe,Kedai Kopi,Cafe  Resto Bintuni Business Center (BBC),Jln. Raya SP 5,"Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-2.1134603,133.615269,https://maps.google.com/?cid=0x0:0xe2e5143ddff55b23
cafe,Kedai Kopi,SEJALUR KOPI BINTUNI,"Bintuni Bar., Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364","Distrik Bintuni, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,,-2.1067688,133.522645,https://maps.google.com/?cid=0x0:0x95343a9047189c9f
cafe,Kafe,Keday MJM,"VGGR+XGG, Unnamed Road, Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364","Unnamed Road, Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,82398401221.0,-2.1225684,133.5413437,https://maps.google.com/?cid=0x0:0x66762cea44710e2b
cafe,Kafe,Mangrove,"Jln Raya, Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364","Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,81389162929.0,-2.116667,133.533333,https://maps.google.com/?cid=0x0:0xaf47491924b5dcfd
cafe,Es Krim,Jaslyn Ice Cream,"Jl. Raya Bintuni, RT.002/RW.002, Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364","RT.002/RW.002, Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,88295130054.0,-2.116667,133.533333,https://maps.google.com/?cid=0x0:0xd17704ff25f08eaa
