Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
perumahan,perumahan,Distrik Aranday,"Kabupaten Teluk Bintuni, Papua Bar.","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-1.925379,133.229204,https://maps.google.com/?cid=0x0:0xab05e8c7d8e39b11
perumahan,Komplek perumahan,Kampung Aranday,"36FH+RMW, Kp. Baru, Distrik Aranday, Kabupaten Teluk Bintuni, Papua Bar.","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-1.925379,133.229204,https://maps.google.com/?cid=0x0:0x3e4d6ff99b52def8
perumahan,Pembangunan Perumahan,Kab. Teluk Bintuni,"38VH+PQG, Kp. Baru, Distrik Aranday, Kabupaten Teluk Bintuni, Papua Bar.","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-1.9056848,133.329466,https://maps.google.com/?cid=0x0:0xc07068110b86e95f
perumahan,Pembangunan Perumahan,Kampung Taroi,"R559+FJJ, Taroi, Manunggal Karya, Distrik Aranday, Kabupaten Teluk Bintuni, Papua Bar. 98365","Taroi, Manunggal Karya, Distrik Aranday, Kabupaten Teluk Bintuni",PAPUA BARAT,98365.0,Indonesia,,-2.1918873,133.1689644,https://maps.google.com/?cid=0x0:0xd6c843061f5f2f98
perumahan,Komplek perumahan,Kampung Mabryema,"38VH+PQG, Jl. Trans Papua, Kp. Baru, Distrik Aranday, Kabupaten Teluk Bintuni, Papua Bar.","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-1.9056848,133.329466,https://maps.google.com/?cid=0x0:0xb935f673503370b8
perumahan,Kompleks Apartemen,Kos-kos om lois,"38VH+PQG Kilometer 4, Kp. Baru, Distrik Aranday, Kabupaten Teluk Bintuni, Papua Bar.","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-1.9056848,133.329466,https://maps.google.com/?cid=0x0:0xec8acaf6605cc747
perumahan,Komplek perumahan,KPPD SQUAD,"38VH+PQG, Kp. Baru, Distrik Aranday, Kabupaten Teluk Bintuni, Papua Bar.","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,,-1.9056848,133.329466,https://maps.google.com/?cid=0x0:0x68c589ce68f122db
perumahan,Komplek perumahan,Kampung Membera,"46JP+9H5, Membera, Kp. Baru, Distrik Aranday, Kabupaten Teluk Bintuni, Papua Bar. 98364","Membera, Kp. Baru, Distrik Aranday, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,,-1.869113,133.236496,https://maps.google.com/?cid=0x0:0xcc065b7cf8a7cde5
perumahan,perumahan,Lokasi Persiapan Kampung Atmerij,"WCQ9+C9G, Wesiri, Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364","Wesiri, Distrik Bintuni, Kabupaten Teluk Bintuni",PAPUA BARAT,98364.0,Indonesia,,-2.0614349,133.4184401,https://maps.google.com/?cid=0x0:0x4a8e0d571cc1fe03
perumahan,Komplek perumahan,Jemibaimo,"Kilo meter 4, Kp. Baru, Distrik Aranday, Kabupaten Teluk Bintuni, Papua Bar.","Kabupaten Teluk Bintuni, Papua Bar.",PAPUA BARAT,,Indonesia,82196578192.0,-1.9056848,133.329466,https://maps.google.com/?cid=0x0:0x7afbf7b12655dde4
