Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
cafe,Kedai Kopi,Kopi Pace Papua,"Samofa, Kec. Samofa, Kabupaten Biak Numfor, Papua 98111","Kec. Samofa, Kabupaten Biak Numfor",PAPUA,98111.0,Indonesia,81296373434.0,-11.676.661,1.360.830.875,https://maps.google.com/?cid=0x0:0x5150b1d5da5e6af2
cafe,cafe,Papua 98111,"Kabupaten Biak Numfor, Papua","Kabupaten Biak Numfor, Papua",PAPUA,,Indonesia,,-11.761.491,1.360.897.124,https://maps.google.com/?cid=0x0:0x2a08da43231bb9ff
cafe,Kafe,New Black Area Cafe,"Jl. Sisingamangaraja, Mandala, Kec. Samofa, Kabupaten Biak Numfor, Papua 98111","Mandala, Kec. Samofa, Kabupaten Biak Numfor",PAPUA,98111.0,Indonesia,82117392369.0,-11.778.792,1.360.906.593,https://maps.google.com/?cid=0x0:0x968b41f8ebc5c887
cafe,Kedai Kopi,Three - C Caffe  Resto,"Kios Putih, Belakang, Yafdas, Samofa, Biak Numfor Regency, Papua","Kabupaten Biak Numfor, Papua",PAPUA,,Indonesia,8124825299.0,-11.568.604,1.360.741.199,https://maps.google.com/?cid=0x0:0xda23b17446b60b0c
cafe,Kedai Kopi,Cafe Oi,"Jl. Condronegoro, Samofa, Kec. Samofa, Kabupaten Biak Numfor, Papua","Kabupaten Biak Numfor, Papua",PAPUA,,Indonesia,,-11.708.078,1.360.881.238,https://maps.google.com/?cid=0x0:0x3b03e029ded148a5
cafe,Kedai Kopi,JNJ Cafe,"R38J+2M3, Fandoi, Kec. Biak Kota, Kabupaten Biak Numfor, Papua 98111","Fandoi, Kec. Biak Kota, Kabupaten Biak Numfor",PAPUA,98111.0,Indonesia,8124814172.0,-1.184.711,1.360.817.845,https://maps.google.com/?cid=0x0:0x14a23b37fc68842c
cafe,Masakan Asia,Phinisi Cafe  Resto Biak,"R3CR+XPG Near TOKO MANDIRI BARU, Jl. Raya Bosnik, Karang Mulia, Samofa, Biak Numfor Regency, Papua 98111","Jl. Raya Bosnik, Karang Mulia, Samofa, Biak Numfor Regency",PAPUA,98111.0,Indonesia,,-11.775.711,1.360.918.153,https://maps.google.com/?cid=0x0:0x275c328e8b99a970
cafe,Kafe,Sarabba jalur 2 baru,"Jl. Majapahit No.748, Samofa, Biak, Kabupaten Biak Numfor, Papua 98117","Samofa, Biak, Kabupaten Biak Numfor",PAPUA,98117.0,Indonesia,852000000.0,-11.733.353,1.360.901.721,https://maps.google.com/?cid=0x0:0xbed3e7b8a4821653
cafe,Kedai Kopi,BBc Cafe  Resto Biak-Papua,"R3MQ+6CG, Brambaken, Kec. Samofa, Kabupaten Biak Numfor, Papua 98111","Brambaken, Kec. Samofa, Kabupaten Biak Numfor",PAPUA,98111.0,Indonesia,85215086162.0,-11.669.262,1.360.885.849,https://maps.google.com/?cid=0x0:0x29dee206c0f8e573
cafe,Kafe,Balissa Coffee,"Jl. Jkt No.27, Saramom, Kec. Biak Kota, Kabupaten Biak Numfor, Papua 98112","Saramom, Kec. Biak Kota, Kabupaten Biak Numfor",PAPUA,98112.0,Indonesia,,-11.787.973,136.072.327,https://maps.google.com/?cid=0x0:0x22db96fb8b944b32
cafe,Toko Roti,Restoran Jakarta  Cafe - Hawai Bakery,"Jl. Imam Bonjol No.10, Fandoi, Kec. Biak Kota, Kabupaten Biak Numfor, Papua 98111","Fandoi, Kec. Biak Kota, Kabupaten Biak Numfor",PAPUA,98111.0,Indonesia,9818212975.0,-11.833.091,1.360.822.542,https://maps.google.com/?cid=0x0:0x4f8c71442b3699bd
cafe,Restoran,Angkringan Pak Pras,"R3HQ+Q3P, Samofa, Kec. Samofa, Kabupaten Biak Numfor, Papua 98111","Samofa, Kec. Samofa, Kabupaten Biak Numfor",PAPUA,98111.0,Indonesia,,-11.704.923,1.360.875.576,https://maps.google.com/?cid=0x0:0x7841aa967af74fde
cafe,Kafe,Chique Cafe Biak,"Ruko Mandiri, Jl. Raya Bosnik, Karang Mulia, Biak, Biak Numfor Regency, Papua 98111","Jl. Raya Bosnik, Karang Mulia, Biak, Biak Numfor Regency",PAPUA,98111.0,Indonesia,,-11.777.377,1.360.924.942,https://maps.google.com/?cid=0x0:0xc3f4a9b7627e5188
cafe,China,House Of Supernova,"Jl. Airlangga, Waupnor, Kec. Biak Kota, Kabupaten Biak Numfor, Papua 98115","Waupnor, Kec. Biak Kota, Kabupaten Biak Numfor",PAPUA,98115.0,Indonesia,,-11.801.045,1.360.755.514,https://maps.google.com/?cid=0x0:0x1c6ac29efe712325
cafe,cafe,Papua 98112,"Kabupaten Biak Numfor, Papua","Kabupaten Biak Numfor, Papua",PAPUA,,Indonesia,,-11.704.798,136.068.244,https://maps.google.com/?cid=0x0:0x36b6ebf6f8a4c3c6
cafe,Kedai Kopi,Cafe Oi,"Jl. Condronegoro, Samofa, Kec. Samofa, Kabupaten Biak Numfor, Papua","Kabupaten Biak Numfor, Papua",PAPUA,,Indonesia,,-11.708.078,1.360.881.238,https://maps.google.com/?cid=0x0:0x3b03e029ded148a5
cafe,Toko Roti,Restoran Jakarta  Cafe - Hawai Bakery,"Jl. Imam Bonjol No.10, Fandoi, Kec. Biak Kota, Kabupaten Biak Numfor, Papua 98111","Fandoi, Kec. Biak Kota, Kabupaten Biak Numfor",PAPUA,98111.0,Indonesia,9818212975.0,-11.833.091,1.360.822.542,https://maps.google.com/?cid=0x0:0x4f8c71442b3699bd
cafe,Kedai Kopi,KOFFIE KITONG,"Jl. Imam Bonjol No.56, Fandoi, Kec. Biak Kota, Kabupaten Biak Numfor, Papua 98111","Fandoi, Kec. Biak Kota, Kabupaten Biak Numfor",PAPUA,98111.0,Indonesia,,-11.802.223,1.360.824.899,https://maps.google.com/?cid=0x0:0xc57a1d51c6bd7d53
cafe,Kedai Kopi,Three - C Caffe  Resto,"Kios Putih, Belakang, Yafdas, Samofa, Biak Numfor Regency, Papua","Kabupaten Biak Numfor, Papua",PAPUA,,Indonesia,8124825299.0,-11.568.604,1.360.741.199,https://maps.google.com/?cid=0x0:0xda23b17446b60b0c
cafe,Kedai Kopi,Kopi Pace Papua,"Samofa, Kec. Samofa, Kabupaten Biak Numfor, Papua 98111","Kec. Samofa, Kabupaten Biak Numfor",PAPUA,98111.0,Indonesia,81296373434.0,-11.676.661,1.360.830.875,https://maps.google.com/?cid=0x0:0x5150b1d5da5e6af2
