Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"Komplek perumahan";"Y A’s Home";"R3CM+VJ6, Samofa, Kec. Samofa, Kabupaten Biak Numfor, Papua 98111";"Samofa, Kec. Samofa, Kabupaten Biak Numfor";"PAPUA";"98111";"Indonesia";"";"-1.177602";"136.0847018";"https://maps.google.com/?cid=0x0:0xdd9257cd6cbb3cc0"
"perumahan";"Komplek perumahan";"Rumah ica";"R3CQ+7RG, Mandala, Kec. Biak Kota, Kabupaten Biak Numfor, Papua 98111";"Mandala, Kec. Biak Kota, Kabupaten Biak Numfor";"PAPUA";"98111";"Indonesia";"";"-1.1786458";"136.0901393";"https://maps.google.com/?cid=0x0:0xebb80a11cb006f68"
"perumahan";"perumahan";"Papua 98111";"Kabupaten Biak Numfor, Papua";"Kabupaten Biak Numfor, Papua";"PAPUA";"";"Indonesia";"";"-1.1761491";"136.0897124";"https://maps.google.com/?cid=0x0:0x2a08da43231bb9ff"
"perumahan";"Komplek perumahan";"Perumahan samsat biak";"R3MM+26R, Samofa, Kec. Samofa, Kabupaten Biak Numfor, Papua 98111";"Samofa, Kec. Samofa, Kabupaten Biak Numfor";"PAPUA";"98111";"Indonesia";"";"-1.1673939";"136.083021";"https://maps.google.com/?cid=0x0:0xc7967198053e5fc9"
"perumahan";"Perhimpunan Pengembang Perumahan";"Komplex Jl.Suci, Dolog";"Jl. Suci Jl. Raya Dolog No.45, Mandala, Kec. Biak Kota, Kabupaten Biak Numfor, Papua 98111";"Mandala, Kec. Biak Kota, Kabupaten Biak Numfor";"PAPUA";"98111";"Indonesia";"";"-1.1806133";"136.0945733";"https://maps.google.com/?cid=0x0:0x91e3c370467f5bc9"
"perumahan";"Komplek perumahan";"Kompleks Rumah Dinas Pos";"R3JP+JPH, Samofa, Kec. Samofa, Kabupaten Biak Numfor, Papua 98111";"Samofa, Kec. Samofa, Kabupaten Biak Numfor";"PAPUA";"98111";"Indonesia";"";"-1.1683791";"136.0867964";"https://maps.google.com/?cid=0x0:0xa64be082e86bdee"
"perumahan";"Komplek perumahan";"Rumah Dinas Bea Cukai Biak";"Jl. Marsudi, RT.002/RW.004, Samofa, Kec. Samofa, Kabupaten Biak Numfor, Papua 98111";"RT.002/RW.004, Samofa, Kec. Samofa, Kabupaten Biak Numfor";"PAPUA";"98111";"Indonesia";"";"-1.1661145";"136.0840071";"https://maps.google.com/?cid=0x0:0x724b5b98726c39ea"
"perumahan";"Komplek perumahan";"Perumahan Artamakmur Regency";"Jl. Adibai Sumberker Samofa No.Dalam, Mandouw, Kec. Samofa, Kabupaten Biak Numfor, Papua 98118";"Mandouw, Kec. Samofa, Kabupaten Biak Numfor";"PAPUA";"98118";"Indonesia";" 081291262115";"-1.1526874";"136.088976";"https://maps.google.com/?cid=0x0:0xeec5bf472fe70b90"
"perumahan";"Komplek perumahan";"Matkussa Fams";"R39Q+XJ3, Mandala, Kec. Biak Kota, Kabupaten Biak Numfor, Papua 98111";"Mandala, Kec. Biak Kota, Kabupaten Biak Numfor";"PAPUA";"98111";"Indonesia";"";"-1.180051";"136.0888957";"https://maps.google.com/?cid=0x0:0xfc31e27a6e77af10"
"perumahan";"Pembangunan Perumahan";"Bumex Area";"R3CH+4F6, Jl. Duku, Burokub, Kec. Biak Kota, Kabupaten Biak Numfor, Papua 98111";"Jl. Duku, Burokub, Kec. Biak Kota, Kabupaten Biak Numfor";"PAPUA";"98111";"Indonesia";"";"-1.1797118";"136.0786323";"https://maps.google.com/?cid=0x0:0x6d1c632fe83bc0ae"
