Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
cafe,Kedai Kopi,Rioco,"Jl. Maluku, Serui Kota, Kec. Yapen Sel., Kabupaten Kepulauan Yapen, Papua 98211","Serui Kota, Kec. Yapen Sel., Kabupaten Kepulauan Yapen",PAPUA,98211.0,Indonesia,82335387595.0,-1.879931,136.2259496,https://maps.google.com/?cid=0x0:0xcd06966c9ddfefb9
cafe,Kafe,Karariri Coffee  Eatery,"46HQ+7HR, Jl. Hassanudin, Serui Kota, Kec. Yapen Sel., Kabupaten Kepulauan Yapen, Papua","Kabupaten Kepulauan Yapen, Papua",PAPUA,,Indonesia,,-1.8717744,136.2388775,https://maps.google.com/?cid=0x0:0x884a42394257efa9
cafe,cafe,,,,PAPUA,,Indonesia,,,,https://maps.google.com/?cid=0x0:0x884a42394257efa9u0026onu003dKopi+Markisau0026midu003d/g/11vjfkv5yk
cafe,cafe,,,,PAPUA,,Indonesia,,,,https://maps.google.com/?cid=0x0:0x884a42394257efa9u0026onu003dSpaghetti+Bolognese+Pastau0026midu003d/g/11vjfkv5yk
cafe,cafe,,,,PAPUA,,Indonesia,,,,https://maps.google.com/?cid=0x0:0x884a42394257efa9u0026onu0026midu003d/g/11vjfkv5yk
cafe,cafe,Papua 98253,"Kabupaten Kepulauan Yapen, Papua","Kabupaten Kepulauan Yapen, Papua",PAPUA,,Indonesia,,-1.692705,135.7710559,https://maps.google.com/?cid=0x0:0xe712ef09824c8ae8
cafe,Kedai Kopi,CORNER Cafe,"4763+6G2, Jl. Moh. Hatta, Warari, Kec. Yapen Sel., Kabupaten Kepulauan Yapen, Papua 98212","Jl. Moh. Hatta, Warari, Kec. Yapen Sel., Kabupaten Kepulauan Yapen",PAPUA,98212.0,Indonesia,85258510000.0,-1.8894765,136.2537775,https://maps.google.com/?cid=0x0:0x15dc32038ef27e93
cafe,Dapur Umum,CAFE MATA KITAAA,"46RQ+725, Unnamed Road, Mantembu, Kec. Yapen Sel., Kabupaten Kepulauan Yapen, Papua 98211","Unnamed Road, Mantembu, Kec. Yapen Sel., Kabupaten Kepulauan Yapen",PAPUA,98211.0,Indonesia,,-1.8593617,136.2376143,https://maps.google.com/?cid=0x0:0x66164c98239f5dd0
cafe,Kedai Kopi,warkop Republik Coffee,"46GX+2Q7, Unnamed Road, Warari, Kec. Yapen Sel., Kabupaten Kepulauan Yapen, Papua 98213","Unnamed Road, Warari, Kec. Yapen Sel., Kabupaten Kepulauan Yapen",PAPUA,98213.0,Indonesia,82293417644.0,-1.8749715,136.2494163,https://maps.google.com/?cid=0x0:0x8e004e64d053e640
cafe,Kedai Kopi,GD Cafe,"46FW+W33, Gg. I KPR, Famboaman, Kec. Yapen Sel., Kabupaten Kepulauan Yapen, Papua 98213","Gg. I KPR, Famboaman, Kec. Yapen Sel., Kabupaten Kepulauan Yapen",PAPUA,98213.0,Indonesia,82199183168.0,-1.8752401,136.245179,https://maps.google.com/?cid=0x0:0x6d0d16f02857b4f7
