Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"perumahan";"Papua 99467";"Distrik Waris, Kabupaten Keerom, Papua";"Kabupaten Keerom, Papua";"PAPUA";"";"Indonesia";"";"-3.1279268";"140.8872648";"https://maps.google.com/?cid=0x0:0xcde9330d1e08a4a3"
"perumahan";"Komplek perumahan";"Kampung Fam";"QXC8+9X9, Kalifam, Distrik Waris, Kabupaten Keerom, Papua 99467";"Kalifam, Distrik Waris, Kabupaten Keerom";"PAPUA";"99467";"Indonesia";"";"-3.2290893";"140.9674803";"https://maps.google.com/?cid=0x0:0x6b0373b708cd1a39"
"perumahan";"Komplek perumahan";"Rumah";"XRWF+FV, Upt Pir IV / Wonorejo, Arso Tim., Kabupaten Keerom, Papua";"Kabupaten Keerom, Papua";"PAPUA";"";"Indonesia";"";"-3.0036668";"140.8244071";"https://maps.google.com/?cid=0x0:0x6f4477903fb4ca96"
"perumahan";"Komplek perumahan";"Rumah Daeng Rani";"2R2C+8C3, Upt Pir IV / Wonorejo, Arso Tim., Kabupaten Keerom, Papua 99467";"Upt Pir IV / Wonorejo, Arso Tim., Kabupaten Keerom";"PAPUA";"99467";"Indonesia";"";"-2.9992949";"140.820648";"https://maps.google.com/?cid=0x0:0xee428a8c7c17c6f4"
"perumahan";"Komplek perumahan";"Kampung pitiwy";"2R2F+4HH, Jln. Tapal batas, Upt Pir IV / Wonorejo, Arso Tim., Kabupaten Keerom, Papua 99467";"Jln. Tapal batas, Upt Pir IV / Wonorejo, Arso Tim., Kabupaten Keerom";"PAPUA";"99467";"Indonesia";"";"-2.9996892";"140.8239949";"https://maps.google.com/?cid=0x0:0x791a6f874c2dfb63"
"perumahan";"Komplek perumahan";"Rumah wambes karigi";"XRRX+P8, Wambes, Arso Tim., Kabupaten Keerom, Papua";"Kabupaten Keerom, Papua";"PAPUA";"";"Indonesia";"";"-3.0081414";"140.8483288";"https://maps.google.com/?cid=0x0:0x2db150b572498dca"
"perumahan";"Balai masyarakat";"Kepala desa";"XRWX+744, Wambes, Arso Tim., Kabupaten Keerom, Papua 99467";"Wambes, Arso Tim., Kabupaten Keerom";"PAPUA";"99467";"Indonesia";"";"-3.0038401";"140.841463";"https://maps.google.com/?cid=0x0:0xfc01865f51efc7d4"
"perumahan";"Pembangunan Perumahan";"Dusun Kampung WANGSUR";"2VP6+6FQ, Suskun, Arso Tim., Kabupaten Keerom, Papua";"Kabupaten Keerom, Papua";"PAPUA";"";"Indonesia";"";"-2.9644127";"140.8612413";"https://maps.google.com/?cid=0x0:0x853582d2d351b001"
"perumahan";"Komplek perumahan";"Pak Babinsa Aksan Hukom";"Jl. Mangga No.141, Upt Pir IV / Wonorejo, Arso Tim., Kabupaten Keerom, Papua 99467";"Upt Pir IV / Wonorejo, Arso Tim., Kabupaten Keerom";"PAPUA";"99467";"Indonesia";"";"-2.9973873";"140.8214419";"https://maps.google.com/?cid=0x0:0x9b82bab3bb52592f"
"perumahan";"Pembangunan Perumahan";"kampung Suskun";"2VP6+6FQ, Suskun, Arso Tim., Kabupaten Keerom, Papua 99468";"Suskun, Arso Tim., Kabupaten Keerom";"PAPUA";"99468";"Indonesia";"";"-2.9644127";"140.8612413";"https://maps.google.com/?cid=0x0:0x75fa4fc81d87885a"
