Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
toko bangunan,Toko bahan makanan,GUDANG RESTU IBU,"7P8M+FGM, Sorendidori, Kec. Supiori Tim., Kabupaten Supiori, Papua","Kabupaten Supiori, Papua",PAPUA,,Indonesia,,-0.7337824,135.7337991,https://maps.google.com/?cid=0x0:0xc5c6168c0b0e048e
toko bangunan,Toko bahan makanan,Toko PUTRI MART,"7P9M+255, Sorendidori, Kec. Supiori Tim., Kabupaten Supiori, Papua 98161","Sorendidori, Kec. Supiori Tim., Kabupaten Supiori",PAPUA,98161.0,Indonesia,82399791747.0,-0.732484,135.7329924,https://maps.google.com/?cid=0x0:0x2a64c7e47016c89b
toko bangunan,toko bangunan,Toko Sinar Papua,"Sorendidori, Kec. Supiori Tim., Kabupaten Supiori, Papua","Kabupaten Supiori, Papua",PAPUA,,Indonesia,,-0.7345729,135.7380711,https://maps.google.com/?cid=0x0:0xe9b53c4cbe574c63
toko bangunan,toko bangunan,Kec. Supiori Sel.,"Kabupaten Supiori, Papua","Kabupaten Supiori, Papua",PAPUA,,Indonesia,,-0.837294,135.5890065,https://maps.google.com/?cid=0x0:0xf6efc78013c73a6f
toko bangunan,toko bangunan,Papua 98161,"Kabupaten Supiori, Papua","Kabupaten Supiori, Papua",PAPUA,,Indonesia,,-0.7972364,135.5818214,https://maps.google.com/?cid=0x0:0xb73c555a47210ee7
toko bangunan,Toko bahan makanan,GUDANG RESTU IBU,"7P8M+FGM, Sorendidori, Kec. Supiori Tim., Kabupaten Supiori, Papua","Kabupaten Supiori, Papua",PAPUA,,Indonesia,,-0.7337824,135.7337991,https://maps.google.com/?cid=0x0:0xc5c6168c0b0e048e
toko bangunan,Toko Bahan Bangunan,Toko Bangunan Mutiara timur,"CJ3R+33F, Unnamed Road, Kp. Waena, Kec. Heram, Kota Jayapura, Papua 99225","Unnamed Road, Kp. Waena, Kec. Heram, Kota Jayapura",PAPUA,99225.0,Indonesia,,-2.5973134,140.6401625,https://maps.google.com/?cid=0x0:0x392e56b1342d758c
toko bangunan,Toko,Toko Sempari,"7P8P+FJM, Sorendidori, Kec. Supiori Tim., Kabupaten Supiori, Papua 98161","Sorendidori, Kec. Supiori Tim., Kabupaten Supiori",PAPUA,98161.0,Indonesia,82199067772.0,-0.7338697,135.7366868,https://maps.google.com/?cid=0x0:0xbafb60ecd81200fc
toko bangunan,Toko,TOKO BANGUNAN SUMBER ANUGERAH,"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663","Kec. Mandobo, Kabupaten Boven Digoel",PAPUA,99663.0,Indonesia,,-6.0903965,140.3331897,https://maps.google.com/?cid=0x0:0x9b0d3e5a6263752a
toko bangunan,Minimarket,Toko Soalagogo,"7P7P+GCV, Sorendidori, Kec. Supiori Tim., Kabupaten Supiori, Papua 98161","Sorendidori, Kec. Supiori Tim., Kabupaten Supiori",PAPUA,98161.0,Indonesia,,-0.7361471,135.7360411,https://maps.google.com/?cid=0x0:0xfce43f3f1bdb199f
toko bangunan,toko bangunan,Papua 98161,"Kabupaten Supiori, Papua","Kabupaten Supiori, Papua",PAPUA,,Indonesia,,-0.7972364,135.5818214,https://maps.google.com/?cid=0x0:0xb73c555a47210ee7
toko bangunan,Toko bahan makanan,GUDANG RESTU IBU,"7P8M+FGM, Sorendidori, Kec. Supiori Tim., Kabupaten Supiori, Papua","Kabupaten Supiori, Papua",PAPUA,,Indonesia,,-0.7337824,135.7337991,https://maps.google.com/?cid=0x0:0xc5c6168c0b0e048e
