Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
perumahan,perumahan,Papua 99375,"Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-1.7701818,138.0010282,https://maps.google.com/?cid=0x0:0x6850629c4ca23105
perumahan,Komplek perumahan,Perumahan guru,"GV7P+3W5, Warembori, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua 99375","Warembori, Mamberamo Ilir, Kabupaten Mamberamo Raya",PAPUA,99375.0,Indonesia,,-1.4873377,137.8874587,https://maps.google.com/?cid=0x0:0xc921f41e15bafd21
perumahan,Pembangunan Perumahan,Yoke,"9WCV+PJ8, Yoke, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua 99375","Yoke, Mamberamo Ilir, Kabupaten Mamberamo Raya",PAPUA,99375.0,Indonesia,,-1.6282168,137.9440869,https://maps.google.com/?cid=0x0:0x492cf0603a8069fe
perumahan,Komplek perumahan,Kampung Warembori,"GV7P+3W5, Warembori, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua 99375","Warembori, Mamberamo Ilir, Kabupaten Mamberamo Raya",PAPUA,99375.0,Indonesia,,-1.4868655,137.8876193,https://maps.google.com/?cid=0x0:0xdd3b2ca332bbf3df
perumahan,Komplek perumahan,"Mantabori Mamberamo Raya, Papua","FX6F+MJ, Yoke, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-1.5382345,137.9740682,https://maps.google.com/?cid=0x0:0xb000d2526c118789
perumahan,Perhimpunan Pengembang Perumahan,Kampung KOWI,"9WCV+QC6, Yoke, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-1.627644,137.9437163,https://maps.google.com/?cid=0x0:0x8351ca638196a91e
perumahan,Komplek perumahan,Rumah Milla Rumaikewi,"GV6P+XR5, Warembori, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-1.4884713,137.8864371,https://maps.google.com/?cid=0x0:0x2c778549979c6ed
perumahan,Perhimpunan Pengembang Perumahan,Kampung Teba,"GV5X+85G, Warembori, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-1.491685,137.897952,https://maps.google.com/?cid=0x0:0x88f3ca5c9e5f80ca
perumahan,Perhimpunan Pengembang Perumahan,warembori,"GV7Q+P9H, Warembori, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-1.4856825,137.8884903,https://maps.google.com/?cid=0x0:0x42f544e085e992e6
perumahan,Komplek perumahan,Kampung Persiapan Teba,"4262+RCR, Swaseso, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-1.8878768,138.0010282,https://maps.google.com/?cid=0x0:0x2295394b286a196
perumahan,Pembangunan Perumahan,Yaye pu tempat,"FX6F+PJ4, Mantabori, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-1.5382345,137.9740682,https://maps.google.com/?cid=0x0:0x20af310b7e4e4322
perumahan,Komplek perumahan,Tuan Yairus Surumi,"GV7Q+J3H, Warembori, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-1.486342,137.8882023,https://maps.google.com/?cid=0x0:0x6d997de27310b86b
perumahan,Komplek perumahan,Tuan Adam Samber,"GV7Q+J3H, Warembori, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-1.4860008,137.8880404,https://maps.google.com/?cid=0x0:0xaaf5b69ef774956f
perumahan,Komplek perumahan,Tuan Pecky Inggimba,"GV7Q+J3H, Warembori, Mamberamo Ilir, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-1.4865954,137.8879127,https://maps.google.com/?cid=0x0:0xe9000245cbf356ad
perumahan,perumahan,Papua 99377,"Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-2.9302628,138.558749,https://maps.google.com/?cid=0x0:0x56875374c777610f
perumahan,perumahan,Kampung Foau Mamberamo,"XXR6+269, Foau, Mamberamo Ulu, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-3.0099576,138.9605972,https://maps.google.com/?cid=0x0:0x797631583c5c1638
perumahan,Pembangunan Perumahan,Kampung Pidari,"Q5XC+W77, Dusun PIDARI kampung dou, Mamberamo Ulu","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-3.2002033,138.1706725,https://maps.google.com/?cid=0x0:0x22e0f6bf36521073
perumahan,Bangunan Bersejarah,Kantor kampung pibiatma,"Q9QW+VG, Taiyeve, Mamberamo Ulu, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-3.210304,138.396267,https://maps.google.com/?cid=0x0:0x33f7645e81e714c6
perumahan,Komplek perumahan,Kampung Douw,"P4PX+XH7, Douw, Mamberamo Ulu, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-3.262583,138.1489328,https://maps.google.com/?cid=0x0:0xb8f082d8ac0ed1b9
perumahan,Pembangunan Perumahan,Foau,"QWW8+8F, Foau, Mamberamo Ulu, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-3.2041367,138.9161834,https://maps.google.com/?cid=0x0:0xea13e887139aef9f
perumahan,perumahan,Papasena II,"3HW4+4RW, Papasena I, Mamberamo Ulu, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-2.9046298,138.5570777,https://maps.google.com/?cid=0x0:0x853e382d95543de3
perumahan,Pembangunan Perumahan,Kampung Fru,"P6M7+2X3, Dusun fru kampung dou, Mamberamo Ulu","Kabupaten Tolikara, Papua",PAPUA,,Indonesia,,-3.2674982,138.2149323,https://maps.google.com/?cid=0x0:0x849d935fba3501cc
perumahan,Komplek perumahan,Perum Pemda Mamberamo Raya,"M273+FX5, Danau Bira, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376","Danau Bira, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya",PAPUA,99376.0,Indonesia,,-2.3363722,138.0049865,https://maps.google.com/?cid=0x0:0xaa9a5a95ea234af7
perumahan,perumahan,Papua 99376,"Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-2.3686909,138.1597946,https://maps.google.com/?cid=0x0:0xd5bdc7e3e560174a
perumahan,Komplek perumahan,Perumahan Pemda 2 Kasonaweja,"P22M+HXG, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376","Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya",PAPUA,99376.0,Indonesia,,-2.2985732,138.0349525,https://maps.google.com/?cid=0x0:0xc298e04cb4265b87
perumahan,Kantor Pemda,Distrik Mamberamo Tengah timur,"M2QR+FC, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua","Kabupaten Mamberamo Raya, Papua",PAPUA,,Indonesia,,-2.3115625,138.0411875,https://maps.google.com/?cid=0x0:0x21f9820a3ffbe876
perumahan,Komplek perumahan,Kompleks kay,"M2JR+5VP, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376","Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya",PAPUA,99376.0,Indonesia,,-2.3199195,138.0429128,https://maps.google.com/?cid=0x0:0x4e9b0b03b92a1a67
perumahan,Komplek perumahan,Rumah pak edison doromi,"M2XJ+M23, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376","Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya",PAPUA,99376.0,Indonesia,,-2.3009402,138.0302377,https://maps.google.com/?cid=0x0:0xccba0aad35c2e449
perumahan,Komplek perumahan,Burmeso,"P452+834, Burmeso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376","Burmeso, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya",PAPUA,99376.0,Indonesia,,-2.2917255,138.1002024,https://maps.google.com/?cid=0x0:0xa00c9d7afc5429d
perumahan,Komplek perumahan,Namunaweja,"P2CF+74G, Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya, Papua 99376","Kasonaweja, Kec. Mamberamo Tengah, Kabupaten Mamberamo Raya",PAPUA,99376.0,Indonesia,,-2.2793181,138.0228402,https://maps.google.com/?cid=0x0:0xbf442f03f6b75429
