Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
hotel;hotel;Kec. Mimika Baru;Kabupaten Mimika, Papua;Kabupaten Mimika, Papua;PAPUA;;Indonesia;;;;-45.671.869;1.368.873.528;https://maps.google.com/?cid=0x0:0xccefb04a6b60d82c;
hotel;hotel;Horison Diana Timika;Jl. Budi Utomo No.8, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Kwamki, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;8114941818;;;-45.421.375;1.368.835.025;https://maps.google.com/?cid=0x0:0xc5f75bca5af54755;
hotel;hotel;Hotel Horison Ultima Timika;Jl. Hasanuddin No.9, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Nawaripi, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;9013264888;;;-45.657.683;1.368.827.914;https://maps.google.com/?cid=0x0:0x2acb1e774fc2c064;
hotel;hotel;N/A;;;PAPUA;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0xc5f75bca5af54755%7C/g/11hst6d1yy%7Cen-ID;
hotel;hotel;Rimba Papua Hotel;Jl. Kwamki Narama No. 1, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Kwamki, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;901494949;;;-45.151.124;136.884.599;https://maps.google.com/?cid=0x0:0xa65056700db32492;
hotel;hotel;HOTEL CARTENZ TIMIKA;Jl. Budi Utomo, Pasar Sentral, Kec. Mimika Baru, Kabupaten Mimika, Papua 99910;Pasar Sentral, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99910;Indonesia;9013270746;;;-45.639.262;1.368.800.612;https://maps.google.com/?cid=0x0:0xff7b843c8dbed29d;
hotel;hotel;Noken Hotel Timika;FV5M+62C, Jl. Budi Utomo, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99910;Jl. Budi Utomo, Kwamki, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99910;Indonesia;8114991033;;;-45.419.296;1.368.825.128;https://maps.google.com/?cid=0x0:0x2fc89f236a139de5;
hotel;hotel;Hotel Cenderawasih 66;Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;8114909466;;;-45.406.265;136.877.203;https://maps.google.com/?cid=0x0:0x5be4adf05d85555b;
hotel;hotel;Hotel OssA 'de' Villa;Jl.Acis No.1, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Nawaripi, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;811493777;;;-45.657.839;1.368.821.893;https://maps.google.com/?cid=0x0:0x557d79c7932567f6;
hotel;hotel;Emerald Hotel;Jl. Cendrawasih, Timika Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99963;Timika Jaya, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99963;Indonesia;9013260124;;;-45.405.312;1.368.759.912;https://maps.google.com/?cid=0x0:0x731314059a512d0f;
