Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
mall;Pusat Perbelanjaan;Timika Mall;57522, Jl. Hasanuddin No.9, Nawaripi, Mimika Baru, Mimika Regency, Papua 99971;Jl. Hasanuddin No.9, Nawaripi, Mimika Baru, Mimika Regency;PAPUA;99971;Indonesia;;;;-45.673.682;1.368.869.612;https://maps.google.com/?cid=0x0:0x146edd1a60cab3dd;
mall;Pusat Perbelanjaan;Ramayana Timika;Jl. Cendrawasih No.66, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99910;Kwamki, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99910;Indonesia;81219332254;;;-45.408.303;1.368.776.915;https://maps.google.com/?cid=0x0:0x1129eedce4df0ad3;
mall;Restoran;RM Duta;CVMP+3P8, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Nawaripi, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;;;;-45.673.458;136.886.813;https://maps.google.com/?cid=0x0:0xc9a9476f7c104d5e;
mall;mall;Kec. Mimika Baru;Kabupaten Mimika, Papua;Kabupaten Mimika, Papua;PAPUA;;Indonesia;;;;-45.671.869;1.368.873.528;https://maps.google.com/?cid=0x0:0xccefb04a6b60d82c;
mall;Penginapan;Mess Crew Timika Mall;CVMP+VR3, Timika,, Koperapoka, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Timika,, Koperapoka, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;;;;-45.653.566;136.887.045;https://maps.google.com/?cid=0x0:0x8b62fecd0ac19a7b;
mall;Toko bahan makanan;Diana Supermarket;Jl. Budi Utomo No.8, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Kwamki, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;901322829;;;-45.427.693;1.368.837.435;https://maps.google.com/?cid=0x0:0x4cea28f7389f57e8;
mall;Pusat Perbelanjaan;Jl.pemuda Utara Spi;CV59+73R, Unnamed Rd, Kamoro Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Unnamed Rd, Kamoro Jaya, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;;;;-45.917.652;1.368.676.322;https://maps.google.com/?cid=0x0:0xac6b78005a2dc6fb;
mall;Kafe;JCO COFFEE  DONUTS TIMIKA MALL;CVJP+XQ2, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Nawaripi, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;8158898000;;;-45.676.038;1.368.869.059;https://maps.google.com/?cid=0x0:0x45c3202312087e39;
mall;Layanan Distribusi;Senja Indah Mart;CVM8+XP4, Kamoro Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Kamoro Jaya, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;;;;-45.651.166;1.368.668.316;https://maps.google.com/?cid=0x0:0x74b9b9ba08f6b532;
mall;Pusat Perbelanjaan;MEGA SQUARE;Jl. Yos Sudarso, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua 99910;Nawaripi, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99910;Indonesia;9013260302;;;-45.546.591;1.368.889.479;https://maps.google.com/?cid=0x0:0x11dbe3ff2ca8b52b;
mall;Pusat Perbelanjaan;Fun world;Jl. Hasanuddin No.1, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Nawaripi, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;901321598;;;-45.673.588;1.368.869.773;https://maps.google.com/?cid=0x0:0xbc3871058084dfe4;
mall;Pusat Perbelanjaan;Mess Timika Mall;Jl. Hasanuddin No.9, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Nawaripi, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;82248679385;;;-45.668.616;1.368.863.407;https://maps.google.com/?cid=0x0:0x92c4e1594bcbbea;
mall;Pasar;Toko Mitra Jaya;CVMF+PHM, Jl. Hasanuddin Jl. Irigasi, Kamoro Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Jl. Hasanuddin Jl. Irigasi, Kamoro Jaya, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;81240993700;;;-4.565.658;1.368.739.133;https://maps.google.com/?cid=0x0:0x7cf55f8cb0198f35;
mall;Pasar tradisional;PASAR SENTRAL MIMIKA;CVPC+23X, Kamoro Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua;Kabupaten Mimika, Papua;PAPUA;;Indonesia;;;;-45.648.793;136.870.249;https://maps.google.com/?cid=0x0:0x50599d4dbec60992;
mall;Pusat Perbelanjaan;Reski 77 Aksesoris;CVXQ+3GR, Timika Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Timika Jaya, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;8114993334;;;-45.522.687;1.368.887.764;https://maps.google.com/?cid=0x0:0xc1c2d10aeeb2c3c4;
mall;Pusat Perbelanjaan;KIOS RIYAL;CV6F+7G8, Wonosari Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Wonosari Jaya, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;81344183991;;;-4.589.338;1.368.738.206;https://maps.google.com/?cid=0x0:0xc2fdaf1e02794b9f;
mall;Pusat Perbelanjaan;Diana Mall XXI;Diana Mall Timika, Jl. Budi Utomo No.8 Lt. 6, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Jl. Budi Utomo No.8 Lt. 6, Kwamki, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;8873070010;;;-45.420.634;1.368.835.379;https://maps.google.com/?cid=0x0:0x10f4b67038a1ac50;
mall;Toko Alat Tulis Kantor;Toko Anandika Zaera/foto Copy;FRHV+W2M, Jl. Poros SP V - SP II, Timika Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99963;Jl. Poros SP V - SP II, Timika Jaya, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99963;Indonesia;81354124030;;;-452.015;1.368.425.468;https://maps.google.com/?cid=0x0:0xfebd050eb9f03c56;
mall;Toko Perlengkapan Rumah;Toko Jarwal Bangunan;Kamoro Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;;;;-45.656.564;1.368.718.615;https://maps.google.com/?cid=0x0:0x6cdc385accf4a8b;
mall;Pusat Perbelanjaan;TRIPOINT(Pusat oleh-oleh timika Papua / kaos dan batik papua);Jl. Budi Utomo No.88a, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Kwamki, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;81344448464;;;-45.431.006;1.368.840.793;https://maps.google.com/?cid=0x0:0xfb3a14721c808280;
mall;Pusat Perbelanjaan;Tokolhyna;Jl. Megantara No.34, Kamoro Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Kamoro Jaya, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;81343817281;;;-45.798.812;1.368.692.634;https://maps.google.com/?cid=0x0:0x2a66da21cd1ca3f2;
mall;Toko Bunga;Kembang Vonny;Jl. Budi Utomo No.119, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971;Kwamki, Kec. Mimika Baru, Kabupaten Mimika;PAPUA;99971;Indonesia;82199496789;;;-45.600.223;1.368.809.644;https://maps.google.com/?cid=0x0:0x7c55f45e819d1631;
mall;mall;Papua 99964;Kabupaten Mimika, Papua;Kabupaten Mimika, Papua;PAPUA;;Indonesia;;;;-45.348.379;1.373.706.554;https://maps.google.com/?cid=0x0:0x8a2567edb0b5d8c5;
mall;Pusat Perbelanjaan;Timika Mall;57522, Jl. Hasanuddin No.9, Nawaripi, Mimika Baru, Mimika Regency, Papua 99971;Jl. Hasanuddin No.9, Nawaripi, Mimika Baru, Mimika Regency;PAPUA;99971;Indonesia;;;;-45.673.682;1.368.869.612;https://maps.google.com/?cid=0x0:0x146edd1a60cab3dd;
