Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
building materials;building materials;Kec. Mimika Baru;"Kabupaten Mimika, Papua";"Kabupaten Mimika, Papua";PAPUA;;Indonesia;;;;-45.671.869;1.368.873.528;https://maps.google.com/?cid=0x0:0xccefb04a6b60d82c;
building materials;Toko;"PT. Sukses Maju Abadi Timika ( Distributor Besi Beton Polos Ulir SNI, Atap Spandek, Seng Atap, Paku baja seng beton)";"Jl. Yos Sudarso, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua 99910";"Nawaripi, Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99910;Indonesia;081248790112;;;-45.730.201;1.368.834.799;https://maps.google.com/?cid=0x0:0x413f49ef91433cf6;
building materials;Toko Bahan Bangunan;Toko CAHAYA BONE;"Jl. Budi Utomo, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971";"Kwamki, Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99971;Indonesia;085758580918;;;-4.554.019;1.368.828.953;https://maps.google.com/?cid=0x0:0xb4ae7703b2c2c5fd;
building materials;Toko Bahan Bangunan;TOKO SUMBER NIAGA BANGUNAN;"Timika Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971";"Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99971;Indonesia;0856095797670;;;-4.569.129;136.878.701;https://maps.google.com/?cid=0x0:0xcd18f7af7f50af74;
building materials;Toko Bahan Bangunan;CV. CAHAYA DUNIA BANGUNAN TIMIKA;"Seberang Rumah Sakit Herlina, Jl. Jend. Ahmad Yani No.99, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971";"Jl. Jend. Ahmad Yani No.99, Kwamki, Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99971;Indonesia;082399400332;;;-45.432.865;1.368.943.957;https://maps.google.com/?cid=0x0:0x13550316277e7497;
building materials;Toko Bahan Bangunan;Tb. Artha Mulia;"Jl. Hasanuddin No.9, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971";"Nawaripi, Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99971;Indonesia;082237315555;;;-45.664.916;1.368.807.281;https://maps.google.com/?cid=0x0:0xf8cf8fbeb5ba1cf3;
building materials;Toko Bahan Bangunan;Toko Sinar Intan;"FV3W+F5C, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971";"Kwamki, Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99971;Indonesia;082333993399;;;-45.463.219;1.368.954.032;https://maps.google.com/?cid=0x0:0x77322c1007903595;
building materials;Toko Bahan Bangunan;TOKO BANGUN NUSANTARA JAYA 2;"JL Yos Sudarso, Sempan, Timika (200 meter setelah SMAN 1, Papua 99971";"Sempan, Timika (200 meter setelah SMAN 1";PAPUA;99971;Indonesia;081334703021;;;-45.705.016;1.368.853.477;https://maps.google.com/?cid=0x0:0x439ec6c0e9985b9b;
building materials;Toko Bahan Bangunan;UD.Multindo;"FV6Q+62F, Timika Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971";"Timika Jaya, Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99971;Indonesia;0951322422;;;-45.394.389;13.688.756;https://maps.google.com/?cid=0x0:0x2ea7301b882d41dd;
building materials;Toko Bahan Bangunan;PT BINTANG TIMUR BERJAYA;"Jl Cendrawasih no 7,89, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99917";"Kwamki, Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99917;Indonesia;09013260012;;;-45.419.968;13.688.365;https://maps.google.com/?cid=0x0:0x4ec79116cf802135;
building materials;Toko Bahan Bangunan;CV.Duta Jaya Papua;"CVPG+33Q, Jl. Irigasi, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua";"Kabupaten Mimika, Papua";PAPUA;;Indonesia;085244161812;;;-45.647.898;136.875.246;https://maps.google.com/?cid=0x0:0x9c0dbb5cfd9f8988;
building materials;Toko Bahan Bangunan;Toko Duta Jaya Timika;"Jl. Hasanuddin No.65, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971";"Nawaripi, Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99971;Indonesia;083169724040;;;-45.660.452;1.368.782.346;https://maps.google.com/?cid=0x0:0xc66af04cd17547d0;
building materials;Toko Perlengkapan Rumah;Toko Bintang Rezeki;"Jl. Komp. ruko Pelangi No.8, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971";"Nawaripi, Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99971;Indonesia;085216670891;;;-4.566.642;1.368.765.922;https://maps.google.com/?cid=0x0:0x5c3d6742dcab8c08;
building materials;Toko Bahan Bangunan;Toko FOKUS;"Seberang Timika Mall, Jl. Yos Sudarso, Papua 99971";Jl. Yos Sudarso;PAPUA;99971;Indonesia;082199497353;;;-45.676.162;1.368.872.854;https://maps.google.com/?cid=0x0:0xc0b500454416c3ef;
building materials;Gereja;Budi Utomo No.88;"CVRJ+HH5, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971";"Nawaripi, Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99971;Indonesia;081399708888;;;-45.586.111;1.368.814.838;https://maps.google.com/?cid=0x0:0x38f2c1b6e10a58d;
building materials;Toko Bahan Bangunan;Toko Duta Bangunan;"Jalan Sempan Nawaripi, Inauga, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971";"Inauga, Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99971;Indonesia;;;;-4.573.777;136.883.006;https://maps.google.com/?cid=0x0:0xcf9557e74c78736d;
building materials;Toko Bahan Bangunan;Toko Damai;"FV3P+6R5, Jl. Belibis, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971";"Jl. Belibis, Kwamki, Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99971;Indonesia;081344795082;;;-45.469.931;1.368.871.162;https://maps.google.com/?cid=0x0:0x45bb93256b67b42e;
building materials;Toko Bahan Bangunan;Toko Bangunan Serbaguna;"Sebelah Bank Danamon, Jl. Yos Sudarso No.38, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971";"Jl. Yos Sudarso No.38, Nawaripi, Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99971;Indonesia;081247822620;;;-45.525.922;1.368.891.711;https://maps.google.com/?cid=0x0:0x5ac210539308bc1b;
building materials;Toko Perlengkapan Rumah;Toko Jarwal Bangunan;"Kamoro Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971";"Kec. Mimika Baru, Kabupaten Mimika";PAPUA;99971;Indonesia;;;;-45.656.564;1.368.718.615;https://maps.google.com/?cid=0x0:0x6cdc385accf4a8b;
