Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Papua 98972";"Papua";"Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.921968";"137.5275422";"https://maps.google.com/?cid=0x0:0x765d582b762840f7";""
"komplek housing";"komplek housing";"ILAGA ZONA MERAH";"2JHV+3V6, Kimak, Ilaga, Kabupaten Puncak, Papua 98972";"Kimak, Ilaga, Kabupaten Puncak";"PAPUA";"98972";"Indonesia";"";"";"";"-3.970755";"137.6450256";"https://maps.google.com/?cid=0x0:0x4afa7b936325d1dc";""
"komplek housing";"Komplek perumahan";"AMOLE HOUSING COMPLEX";"V36Q+47Q, Jl. Tembagapura Raya, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 99967";"Jl. Tembagapura Raya, Tembagapura, Kec. Tembagapura, Kabupaten Mimika";"PAPUA";"99967";"Indonesia";"";"";"";"-4.1396574";"137.0882283";"https://maps.google.com/?cid=0x0:0x52af69d45091d4cd";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Dominggus Magai";"2JFV+RJ5, Kimak, Ilaga, Kabupaten Puncak, Papua 98972";"Kimak, Ilaga, Kabupaten Puncak";"PAPUA";"98972";"Indonesia";"";"";"";"-3.9754897";"137.6441117";"https://maps.google.com/?cid=0x0:0x41ab9c1f2d9e10b3";""
"komplek housing";"Komplek perumahan";"Tree Haven Housing Complex";"V35Q+JH8, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 98972";"Tembagapura, Kec. Tembagapura, Kabupaten Mimika";"PAPUA";"98972";"Indonesia";"";"";"";"-4.1409705";"137.0889433";"https://maps.google.com/?cid=0x0:0x3b53b123b41db059";""
"komplek housing";"Komplek perumahan";"WEST COMPLEX";"V35P+QQ8, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 98972";"Tembagapura, Kec. Tembagapura, Kabupaten Mimika";"PAPUA";"98972";"Indonesia";"";"";"";"-4.1405946";"137.0869665";"https://maps.google.com/?cid=0x0:0x203e70c0e0946b6d";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Kali Pancoran";"2JHP+6JP, Pingel, Ilaga, Kabupaten Puncak, Papua 98972";"Pingel, Ilaga, Kabupaten Puncak";"PAPUA";"98972";"Indonesia";"";"";"";"-3.9719241";"137.6365864";"https://maps.google.com/?cid=0x0:0x39201490489e6212";""
"komplek housing";"Komplek perumahan";"Street Housing Complex - ST11A 203";"V34Q+8XX, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 99967";"Tembagapura, Kec. Tembagapura, Kabupaten Mimika";"PAPUA";"99967";"Indonesia";"";"";"";"-4.1441473";"137.0899709";"https://maps.google.com/?cid=0x0:0x9f8cfb7c723da1e4";""
"komplek housing";"Kantor Pemerintah";"Rumah Dinas Dokter";"2JGV+G2W, Kimak, Ilaga, Kabupaten Puncak, Papua 98972";"Kimak, Ilaga, Kabupaten Puncak";"PAPUA";"98972";"Indonesia";"";"";"";"-3.9735886";"137.6426916";"https://maps.google.com/?cid=0x0:0xb7c39edbe321828e";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Dusun Tepuk Eranu";"XJWX+VJ, Gilini, Ilaga, Kabupaten Puncak, Papua";"Kabupaten Puncak, Papua";"PAPUA";"";"Indonesia";"";"";"";"-4.0027784";"137.6490757";"https://maps.google.com/?cid=0x0:0x92b09fe1f1660c4e";""
"komplek housing";"Gedung Apartemen";"HIDDEN VALLEY COMPLEX";"R3WX+8Q7, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 99967";"Tembagapura, Kec. Tembagapura, Kabupaten Mimika";"PAPUA";"99967";"Indonesia";"";"";"";"-4.1542159";"137.0994215";"https://maps.google.com/?cid=0x0:0x8f548cbaf64490ca";""
"komplek housing";"Komplek perumahan";"PRAMBANAN COMPLEX";"V35W+HC6, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 98972";"Tembagapura, Kec. Tembagapura, Kabupaten Mimika";"PAPUA";"98972";"Indonesia";"";"";"";"-4.1410979";"137.0960039";"https://maps.google.com/?cid=0x0:0x6ec8d28bd206b244";""
"komplek housing";"Guest house";"Guest house 479";"V34Q+C8Q, Arwandop, Tembagapura, Mimika Regency, Papua";"Kabupaten Mimika, Papua";"PAPUA";"";"Indonesia";"";"";"";"-4.1440763";"137.0887154";"https://maps.google.com/?cid=0x0:0x151dcf5d69c42c12";""
"komplek housing";"Komplek perumahan";"Ramang's House";"V34R+4VQ, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 99967";"Tembagapura, Kec. Tembagapura, Kabupaten Mimika";"PAPUA";"99967";"Indonesia";"";"";"";"-4.1446275";"137.0918857";"https://maps.google.com/?cid=0x0:0x1568d0b7f81067a3";""
"komplek housing";"Kompleks Kondominium";"BARAK P Ridge Camp";"V4Q2+X87, Jl. Ridge Camp Road, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 98972";"Jl. Ridge Camp Road, Tembagapura, Kec. Tembagapura, Kabupaten Mimika";"PAPUA";"98972";"Indonesia";"";"";"";"-4.1100813";"137.1007832";"https://maps.google.com/?cid=0x0:0x12af5fa12694315c";""
"komplek housing";"Komplek perumahan";"Rainbow Ridge";"R3VW+C7M, Arwandop, Kec. Tembagapura, Kabupaten Mimika, Papua 99967";"Arwandop, Kec. Tembagapura, Kabupaten Mimika";"PAPUA";"99967";"Indonesia";"";"";"";"-4.1564045";"137.0956728";"https://maps.google.com/?cid=0x0:0xa35739bc5e39870b";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Ainggogin";"VX3H+64, Waa, Kec. Tembagapura, Kabupaten Mimika, Papua";"Kabupaten Mimika, Papua";"PAPUA";"";"Indonesia";"";"";"";"-4.1469416";"136.9778334";"https://maps.google.com/?cid=0x0:0xb9a9255e1bbf1404";""
"komplek housing";"komplek housing";"Ilaga";"Kabupaten Puncak, Papua";"Kabupaten Puncak, Papua";"PAPUA";"";"Indonesia";"";"";"";"-4.0460389";"137.5275422";"https://maps.google.com/?cid=0x0:0xff7a80259b12935";""
"komplek housing";"komplek housing";"Papua 98971";"Kabupaten Puncak, Papua";"Kabupaten Puncak, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.7792737";"137.2142417";"https://maps.google.com/?cid=0x0:0xd0d09ee74d182011";""
"komplek housing";"komplek housing";"Wangbe,milawak";"5CHG+QFC, Nungai, Beoga, Kabupaten Puncak, Papua";"Kabupaten Puncak, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.8205622";"137.426146";"https://maps.google.com/?cid=0x0:0x31bade24030e0df3";""
"komplek housing";"Pembangunan Perumahan";"Rujab wabup";"725R+JJ, Bilogai, Kec. Sugapa, Kabupaten Intan Jaya, Papua 98768";"Bilogai, Kec. Sugapa, Kabupaten Intan Jaya";"PAPUA";"98768";"Indonesia";"";"";"";"-3.7408325";"137.0422655";"https://maps.google.com/?cid=0x0:0xf50cd909c3d03047";""
"komplek housing";"komplek housing";"Distrik Wangbe";"Kabupaten Puncak, Papua";"Kabupaten Puncak, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.8671497";"137.475605";"https://maps.google.com/?cid=0x0:0x12ea4e6cc52149ae";""
"komplek housing";"komplek housing";"Wangbe,milawak";"5CHG+QFC, Nungai, Beoga, Kabupaten Puncak, Papua";"Kabupaten Puncak, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.8205622";"137.426146";"https://maps.google.com/?cid=0x0:0x31bade24030e0df3";""
"komplek housing";"komplek housing";"Beoga";"Kabupaten Puncak, Papua";"Kabupaten Puncak, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.8205622";"137.426146";"https://maps.google.com/?cid=0x0:0x5a6bbe39a2fafb09";""
"komplek housing";"Komplek perumahan";"Kampung wolomaugin";"5CW9+2CW, Milawak, Wolom, Kabupaten Puncak, Papua 98971";"Milawak, Wolom, Kabupaten Puncak";"PAPUA";"98971";"Indonesia";"";"";"";"-3.804881";"137.41857";"https://maps.google.com/?cid=0x0:0x5e1c3402dbc480a2";""
"komplek housing";"komplek housing";"Komplek Housing";"Blok Bojong Nangka I, Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414";"Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks";"PAPUA";"17414";"Indonesia";"";"";"";"-6.293724";"106.9165114";"https://maps.google.com/?cid=0x0:0x9c50464976dee674";""
"komplek housing";"Komplek perumahan";"PURI BEGAWAN SERPONG";"JJMW+56H, Jl. Kp. Medang, Sukamulya, Kec. Rumpin, Kabupaten Bogor, Jawa Barat 16350";"Jl. Kp. Medang, Sukamulya, Kec. Rumpin, Kabupaten Bogor";"PAPUA";"16350";"Indonesia";" 082177115565";"";"";"-6.3670607";"106.6456246";"https://maps.google.com/?cid=0x0:0x9d16228091f2553c";""
"komplek housing";"komplek housing";"Papua 98976";"Papua";"Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.1858094";"137.5275422";"https://maps.google.com/?cid=0x0:0x93d2390dfd2f699";""
"komplek housing";"komplek housing";"Papua";"";"Papua";"PAPUA";"";"Indonesia";"";"";"";"-4.269928";"138.0803529";"https://maps.google.com/?cid=0x0:0xeba94e9c5eefe673";""
"komplek housing";"Komplek perumahan";"Pondok gede housing";"PW69+G7J, Jl. Teratai, RT.005/RW.003, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414";"Jl. Teratai, RT.005/RW.003, Jatirahayu, Kec. Pd. Melati, Kota Bks";"PAPUA";"17414";"Indonesia";"";"";"";"-6.2886631";"106.9181392";"https://maps.google.com/?cid=0x0:0xe09247830c5049e9";""
"komplek housing";"Komplek perumahan";"Pondok Gede Housing II";"Housing II, Jl. Raya Hankam, RT.001/RW.004, Jatirahayu, Pondok Gede, Bekasi, West Java";"Kota Bks, Jawa Barat";"PAPUA";"";"Indonesia";"";"";"";"-6.2876701";"106.9147674";"https://maps.google.com/?cid=0x0:0x2a52e601c20d18f2";""
"komplek housing";"Komplek perumahan";"housing ora sepele";"PW78+7XV, Jl. Eka Cipta, RT.002/RW.003, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414";"Jl. Eka Cipta, RT.002/RW.003, Jatirahayu, Kec. Pd. Melati, Kota Bks";"PAPUA";"17414";"Indonesia";"";"";"";"-6.2867545";"106.9174087";"https://maps.google.com/?cid=0x0:0xd42fc03a69b93e2a";""
"komplek housing";"komplek housing";"Papua 98973";"Kabupaten Puncak, Papua";"Kabupaten Puncak, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.8173024";"137.8427298";"https://maps.google.com/?cid=0x0:0x306367a3dc8a22ab";""
