Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"Gedung Apartemen";"HIDDEN VALLEY COMPLEX";"R3WX+8Q7, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 99967";"Tembagapura, Kec. Tembagapura, Kabupaten Mimika";"PAPUA";"99967";"Indonesia";"";"";"";"-4.1542159";"137.0994215";"https://maps.google.com/?cid=0x0:0x8f548cbaf64490ca";""
"komplek housing";"Komplek perumahan";"Rainbow Ridge";"R3VW+C7M, Arwandop, Kec. Tembagapura, Kabupaten Mimika, Papua 99967";"Arwandop, Kec. Tembagapura, Kabupaten Mimika";"PAPUA";"99967";"Indonesia";"";"";"";"-4.1564045";"137.0956728";"https://maps.google.com/?cid=0x0:0xa35739bc5e39870b";""
"komplek housing";"komplek housing";"Papua";"";"Papua";"PAPUA";"";"Indonesia";"";"";"";"-4.269928";"138.0803529";"https://maps.google.com/?cid=0x0:0xeba94e9c5eefe673";""
"komplek housing";"komplek housing";"Home";"PWJH+R49, Ardinan Residence B9, RT.007/RW.007, Jatiwaringin, Pondok Gede, Bekasi, West Java";"Kota Bks, Jawa Barat";"PAPUA";"";"Indonesia";"";"";"";"-6.2679714";"106.9278548";"https://maps.google.com/?cid=0x0:0x307e84b2fe2d1e9";""
"komplek housing";"Komplek perumahan";"Pondok gede housing";"PW69+G7J, Jl. Teratai, RT.005/RW.003, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414";"Jl. Teratai, RT.005/RW.003, Jatirahayu, Kec. Pd. Melati, Kota Bks";"PAPUA";"17414";"Indonesia";"";"";"";"-6.2886631";"106.9181392";"https://maps.google.com/?cid=0x0:0xe09247830c5049e9";""
"komplek housing";"komplek housing";"House";"Blok Th No.20, Jl. Alam Asri VI No.RT.2, RT.10/RW.15, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310";"Jl. Alam Asri VI No.RT.2, RT.10/RW.15, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan";"PAPUA";"12310";"Indonesia";"";"";"";"-6.2763862";"106.7811162";"https://maps.google.com/?cid=0x0:0xc0a786daf2be8605";""
"komplek housing";"komplek housing";"Distrik Mulia";"Kabupaten Puncak Jaya, Papua";"Kabupaten Puncak Jaya, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.700123";"137.9647469";"https://maps.google.com/?cid=0x0:0xba40496c7139c0a5";""
"komplek housing";"Komplek perumahan";"Mulia Residence One";"Perum Mulia Residence One, Pengasinan, Gunung Sindur, Bogor Regency, West Java 16340";"Pengasinan, Gunung Sindur, Bogor Regency";"PAPUA";"16340";"Indonesia";"";"";"";"-6.3698763";"106.6926073";"https://maps.google.com/?cid=0x0:0x4f77d65bec31d990";""
"komplek housing";"Komplek perumahan";"Perumahan Mulia Residence";"JPM7+PGR, Jl. Mulia Residence, Rawakalong, Kec. Gn. Sindur, Kabupaten Bogor, Jawa Barat 16340";"Jl. Mulia Residence, Rawakalong, Kec. Gn. Sindur, Kabupaten Bogor";"PAPUA";"16340";"Indonesia";"";"";"";"-6.3657535";"106.7137124";"https://maps.google.com/?cid=0x0:0xf6ac04429f4aa88";""
"komplek housing";"Komplek perumahan";"Rumah Mulyadi Yusuf/Mazaya/Yenni S";"Jl kenanga 4, Jl. Duta Indah Raya No.24 Blok J3, Jatimakmur, Pondok Gede, Bekasi";"Kota Bks, Jawa Barat";"PAPUA";"";"Indonesia";"";"";"";"-6.281671";"106.9391377";"https://maps.google.com/?cid=0x0:0x95b1d9eea4c4b1c5";""
"komplek housing";"Perumahan";"Mulia Bekasi Residence";"Jl. Irigasi, Sirnajati, Kec. Cibarusah, Kabupaten Bekasi, Jawa Barat 17340";"Sirnajati, Kec. Cibarusah, Kabupaten Bekasi";"PAPUA";"17340";"Indonesia";" 081325522822";"";"";"-6.4457147";"107.0939995";"https://maps.google.com/?cid=0x0:0xe79bfabeb444c4f5";""
"komplek housing";"Perumahan rakyat";"Perumahan Mulialand Bogor";"Jl. Kapten Dasuki Bakri, Cibatok 2, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16630";"Cibatok 2, Kec. Cibungbulang, Kabupaten Bogor";"PAPUA";"16630";"Indonesia";" 089611441737";"";"";"-6.5939757";"106.6659123";"https://maps.google.com/?cid=0x0:0xd63c423619604b99";""
"komplek housing";"Komplek perumahan";"Housing 1";"Blok D No.2a, Jl. Cipta Yasa, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414";"Jl. Cipta Yasa, Jatirahayu, Kec. Pd. Melati, Kota Bks";"PAPUA";"17414";"Indonesia";"";"";"";"-6.2868008";"106.9156516";"https://maps.google.com/?cid=0x0:0x8caf99f97a1f37b";""
"komplek housing";"komplek housing";"Papua";"";"Papua";"PAPUA";"";"Indonesia";"";"";"";"-4.269928";"138.0803529";"https://maps.google.com/?cid=0x0:0xeba94e9c5eefe673";""
"komplek housing";"komplek housing";"Papua 98916";"Kec. Pogoma, Kabupaten Puncak, Papua";"Kabupaten Puncak, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.6485048";"137.7341718";"https://maps.google.com/?cid=0x0:0x87f9708d464cf9c7";""
"komplek housing";"Komplek perumahan";"Pondok Gede Housing II";"Housing II, Jl. Raya Hankam, RT.001/RW.004, Jatirahayu, Pondok Gede, Bekasi, West Java";"Kota Bks, Jawa Barat";"PAPUA";"";"Indonesia";"";"";"";"-6.2876701";"106.9147674";"https://maps.google.com/?cid=0x0:0x2a52e601c20d18f2";""
