Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,Kantor Perusahaan,PT. BUMI PAPUA SEVENINDO,"Jl. Mesjid Raya, Remu Utara, HBM, Kota Sorong, Papua Bar. 98416","Remu Utara, HBM, Kota Sorong",PAPUA,98416.0,Indonesia,082198126653,,,-0.8807928,1.312.828.486,https://maps.google.com/?cid=0x0:0xbe773b0ac3ca8612,
building materials,Pengembang Realestat,KANTOR PUSAT CV BUMI PAPUA PERMAI,"Jl. Lintas Rufei, Klawasi, Distrik Sorong Barat, Kota Sorong, Papua Bar. 98411","Klawasi, Distrik Sorong Barat, Kota Sorong",PAPUA,98411.0,Indonesia,085367213567,,,-0.8576435,1.312.486.861,https://maps.google.com/?cid=0x0:0xa38c390b66bd26d7,
building materials,Agen Properti,Kedowa Building Stones,"20200, Kenya",Kenya,PAPUA,,Indonesia,"2,54793E+11",,,-0.2192259,35.561.222,https://maps.google.com/?cid=0x0:0x24b11f1b263a80b2,
building materials,Perusahaan Konstruksi,Vishva Builders Ltd (Sirikwa),"Ground,Vishva Builders Ltd,Sirikwa Street,Frere Town, Kenya",Kenya,PAPUA,,Indonesia,"2,54797E+11",,,0.5810124,352.209.792,https://maps.google.com/?cid=0x0:0x2dc9c1c1643a1823,
building materials,Konsultan Bangunan,Building Materials,"Ground,Fish point,Sirikwa,Kipini East, Kenya",Kenya,PAPUA,,Indonesia,"2,54718E+11",,,0.5796154,35.220.857,https://maps.google.com/?cid=0x0:0xbdc46d0ff814f444,
building materials,Toko Bahan Bangunan,Depo Bangunan Mbanyu Mili,"3VQM+2GP depan balai kampung sp 2, Prafi Mulia, Distrik Prafi, Kabupaten Manokwari, Papua Bar. 98356","Prafi Mulia, Distrik Prafi, Kabupaten Manokwari",PAPUA,98356.0,Indonesia,085254126242,,,-0.9124191,1.338.838.245,https://maps.google.com/?cid=0x0:0x72bb281db456c91a,
building materials,Toserba,TOKO MAJU MAKMUR,"4R8F+95V, Udapi Hilir, Distrik Prafi, Kabupaten Manokwari, Papua Bar. 98356","Udapi Hilir, Distrik Prafi, Kabupaten Manokwari",PAPUA,98356.0,Indonesia,,,,-0.884108,1.338.229.369,https://maps.google.com/?cid=0x0:0x5dd0e3c69ab93bdc,
building materials,building materials,Distrik Mapenduma,"Kabupaten Nduga, Papua","Kabupaten Nduga, Papua",PAPUA,,Indonesia,,,,-44.847.854,1.382.194.523,https://maps.google.com/?cid=0x0:0xbbd1e73ab9baafad,
building materials,Kontraktor Mekanikal,"Yachiyo Engineering Co., Ltd.","Jl. Jendral Sudirman Kav 61-62 Senayan Kebayoran Baru Jakarta Selatan DKI Jakarta, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190","RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan",PAPUA,12190.0,Indonesia,81358222900,,,-62.267.874,1.068.039.295,https://maps.google.com/?cid=0x0:0x1bbb296efaf93a31,
building materials,,PT Taiyo Sinar Raya Teknik - Head Office,"Summitmas I, 7th floor, Jl. Jenderal Sudirman No.5, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190","7th floor, Jl. Jenderal Sudirman No.5, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan",PAPUA,12190.0,Indonesia,0215253400,,,-62.267.114,1.068.036.407,https://maps.google.com/?cid=0x0:0xddd8eddff19f836d,
