Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
mall;mall;Oksibil;"Tarangop, Kec. Kawor, Kabupaten Pegunungan Bintang, Papua";"Kabupaten Pegunungan Bintang, Papua";PAPUA;;Indonesia;;;;-5.080.177;140.635.803;https://maps.google.com/?cid=0x0:0xf18d2b627917ee12;
mall;Minimarket;Pasar Baru Oksibil;"3JJM+F72, jalan, Kabiding, Iwur, kalomdol, Papua 99573";"jalan, Kabiding, Iwur, kalomdol";PAPUA;99573;Indonesia;;;;-49.188.529;1.406.331.298;https://maps.google.com/?cid=0x0:0xdf9abcb64a261ed2;
mall;mall;Pasar Mabilabol Oksibil;"3JXJ+2FP, Mabilabol, Distrik Oksibil, Kabupaten Pegunungan Bintang, Papua 99573";"Mabilabol, Distrik Oksibil, Kabupaten Pegunungan Bintang";PAPUA;99573;Indonesia;;;;-49.024.073;1.406.311.971;https://maps.google.com/?cid=0x0:0x5a7f4531c7f788d2;
mall;Landasan Pacu;Bandar Udara Kiwirok;"7PPR+H3V, Oknanggul, Kec. Kiwirok, Kabupaten Pegunungan Bintang, Papua 99574";"Oknanggul, Kec. Kiwirok, Kabupaten Pegunungan Bintang";PAPUA;99574;Indonesia;;;;-47.135.108;1.407.401.754;https://maps.google.com/?cid=0x0:0x9a9ff19978c02dc1;
mall;mall;Kec. Kiwirok;"Kabupaten Pegunungan Bintang, Papua";"Kabupaten Pegunungan Bintang, Papua";PAPUA;;Indonesia;;;;-47.151.742;1.407.444.135;https://maps.google.com/?cid=0x0:0xfa9674635b933b35;
mall;Bandara;Bandar Udara Kiwi;"8P2C+WWQ, Kiwi, Kec. Kiwirok, Kabupaten Pegunungan Bintang, Papua 99574";"Kiwi, Kec. Kiwirok, Kabupaten Pegunungan Bintang";PAPUA;99574;Indonesia;;;;-46.976.622;1.407.223.698;https://maps.google.com/?cid=0x0:0x1f721eabfadb232a;
mall;mall;Okbi;"Kabupaten Pegunungan Bintang, Papua";"Kabupaten Pegunungan Bintang, Papua";PAPUA;;Indonesia;;;;-46.040.293;1.404.514.913;https://maps.google.com/?cid=0x0:0x5eafc8bf76c1656f;
mall;Minimarket;Pasar Baru Oksibil;"3JJM+F72, jalan, Kabiding, Iwur, kalomdol, Papua 99573";"jalan, Kabiding, Iwur, kalomdol";PAPUA;99573;Indonesia;;;;-49.188.529;1.406.331.298;https://maps.google.com/?cid=0x0:0xdf9abcb64a261ed2;
mall;Pusat Perbelanjaan;Mall Jayapura;"APO, Jl. Samratulangi, Bayangkara, Kec. Jayapura Utara, Kota Jayapura, Papua 99112";"Jl. Samratulangi, Bayangkara, Kec. Jayapura Utara, Kota Jayapura";PAPUA;99112;Indonesia;09675150000;;;-25.351.775;1.407.061.874;https://maps.google.com/?cid=0x0:0x54294cb27964023;
mall;mall;Distrik Batom;"Kabupaten Pegunungan Bintang, Papua";"Kabupaten Pegunungan Bintang, Papua";PAPUA;;Indonesia;;;;-44.466.638;1.408.794.807;https://maps.google.com/?cid=0x0:0x7c87b0b13ca08fe;
mall;mall;Borme;"Kabupaten Pegunungan Bintang, Papua";"Kabupaten Pegunungan Bintang, Papua";PAPUA;;Indonesia;;;;-43.227.031;1.403.894.858;https://maps.google.com/?cid=0x0:0x3ae0f9e7e82ab112;
mall;Toko Pakaian Olahraga;Jakarta Premium Outlets - Tangerang;"Jl. Jalur Sutera Boulevard No.41, RT.003/RW.006, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143";"RT.003/RW.006, Panunggangan Tim., Kec. Pinang, Kota Tangerang";PAPUA;15143;Indonesia;;;;-62.202.252;1.066.597.055;https://maps.google.com/?cid=0x0:0x8cd173626fe3f3c1;
mall;mall;Pasar Bime;"G669+XM6, Bime, Distrik Bime, Kabupaten Pegunungan Bintang, Papua 99577";"Bime, Distrik Bime, Kabupaten Pegunungan Bintang";PAPUA;99577;Indonesia;;;;-44.875.869;1.402.191.422;https://maps.google.com/?cid=0x0:0x86eb5f2bd5227f75;
mall;Pusat Perbelanjaan;Grand Indonesia Shopping Town;"Jl. M.H. Thamrin No.1, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310";"Menteng, Kec. Menteng, Kota Jakarta Pusat";PAPUA;10310;Indonesia;02123580001;;;-61.965.848;1.068.224.882;https://maps.google.com/?cid=0x0:0xccfcc89b95aaf1ae;
mall;Pusat Perbelanjaan;Grand Indonesia;"Jl. MH Thamrin No.1, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310";"Menteng, Kec. Menteng, Kota Jakarta Pusat";PAPUA;10310;Indonesia;02123580001;;;-61.950.412;1.068.210.081;https://maps.google.com/?cid=0x0:0xb04ce66a7cb711d9;
mall;Pusat Perbelanjaan;Plaza Menteng;"Jl. HOS. Cokroaminoto No.79 3, RT.3/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310";"RT.3/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat";PAPUA;10310;Indonesia;02131935709;;;-61.969.114;1.068.287.882;https://maps.google.com/?cid=0x0:0x1e3c5f01ffe75ef5;
mall;Stasiun Pengisian Kendaraan Listrik;Hyundai St. Pengisian;"Jl. M.H. Thamrin No.30, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350";"Gondangdia, Kec. Menteng, Kota Jakarta Pusat";PAPUA;10350;Indonesia;08001878878;;;-61.930.305;1.068.225.998;https://maps.google.com/?cid=0x0:0x31855cd7abaa0013;
mall;Restoran;DILL Gourmet Cafe;"Jl. M.H. Thamrin No.28-30 9, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350";"RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat";PAPUA;10350;Indonesia;02129924512;;;-61.927.562;1.068.218.392;https://maps.google.com/?cid=0x0:0x459d4488c2df5aed;
mall;Bioskop;Plaza Indonesia XXI;"Jl. M.H. Thamrin No.28 30, RT.9/RW.5, Gondangdia, Menteng, Central Jakarta City, Jakarta 10350";"RT.9/RW.5, Gondangdia, Menteng, Central Jakarta City";PAPUA;10350;Indonesia;02139838779;;;-61.929.965;1.068.222.255;https://maps.google.com/?cid=0x0:0x1a4c89bcaba1f411;
