Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
building materials;building materials;Toko Mitra Bangunan;"8F8G+WJ5, Karubaga, Kec. Karubaga, Kabupaten Tolikara, Papua 99567";"Karubaga, Kec. Karubaga, Kabupaten Tolikara";PAPUA;99567;Indonesia;081317225643;;;-3.682.733;1.384.766.089;https://maps.google.com/?cid=0x0:0x94f019f9132886e9;
building materials;Gereja;Bandar Udara Bokondini;"8M8G+3F7, Bokondini, Kec. Bokondini, Kabupaten Tolikara, Papua 99556";"Bokondini, Kec. Bokondini, Kabupaten Tolikara";PAPUA;99556;Indonesia;;;;-36.848.495;1.386.761.848;https://maps.google.com/?cid=0x0:0x7e16cad044d027d5;
building materials;Gereja;Gereja Bracha Bokondini;"8M6H+WGC, Bokondini, Kec. Bokondini, Kabupaten Tolikara, Papua 99556";"Bokondini, Kec. Bokondini, Kabupaten Tolikara";PAPUA;99556;Indonesia;;;;-36.876.992;1.386.787.771;https://maps.google.com/?cid=0x0:0xad954b22ad1c1806;
building materials;building materials;Bokondini;"Bokondini, Kec. Bokondini, Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";PAPUA;;Indonesia;;;;-36.881.806;1.386.803.623;https://maps.google.com/?cid=0x0:0x54885a86dafb328d;
building materials;building materials;Kec. Bokondini;"Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";PAPUA;;Indonesia;;;;-36.881.747;1.386.803.657;https://maps.google.com/?cid=0x0:0xf67aeb05619bf32d;
building materials;building materials;Distrik Kanggime;"Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";PAPUA;;Indonesia;;;;-3.665.848;1.383.631.975;https://maps.google.com/?cid=0x0:0x6995094a6721688;
building materials;Pusat Perbelanjaan;Toko Bangunan Tugu Lawet 2;"4PHR+M7J, Asiaman, Kec. Arso, Kabupaten Keerom, Papua 99468";"Asiaman, Kec. Arso, Kabupaten Keerom";PAPUA;99468;Indonesia;;;;-28.707.322;1.407.405.158;https://maps.google.com/?cid=0x0:0x8000d12040723a07;
building materials;Toko Bahan Bangunan;Toko Bangunan Tugu Lawet;"4Q26+65X, Jl. Garuda, Yuwanaim, Kec. Arso, Kabupaten Keerom, Papua 99468";"Jl. Garuda, Yuwanaim, Kec. Arso, Kabupaten Keerom";PAPUA;99468;Indonesia;;;;-28.993.798;1.407.604.978;https://maps.google.com/?cid=0x0:0xd24eb915c165bc9;
building materials;building materials;Distrik Kanggime;"Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";PAPUA;;Indonesia;;;;-3.665.848;1.383.631.975;https://maps.google.com/?cid=0x0:0x6995094a6721688;
building materials;Toko Bahan Bangunan;Material bangunan pasir Laut dan Batu krikil;"JL. Kapten Napitupulu Jl. Wagom, Wagom Sel., Piyahar, Kabupaten Fakfak, Papua Bar. 98611";"Wagom Sel., Piyahar, Kabupaten Fakfak";PAPUA;98611;Indonesia;082299397861;;;-29.314.734;132.292.064;https://maps.google.com/?cid=0x0:0xfd5295d5cd6c9a09;
building materials;building materials;AMP PT Kembu Mandiri;"CC38+7H, Mamit, Distrik Kembu, Kabupaten Tolikara, Papua 99562";"Mamit, Distrik Kembu, Kabupaten Tolikara";PAPUA;99562;Indonesia;08111111230;;;-35.968.125;1.384.164.375;https://maps.google.com/?cid=0x0:0x1a0563ddacdcd0f2;
building materials;Pemasok Bahan Bangunan;Wiharco Prima. PT;"376X+725, Jl. Ki Hajar Dewantara, Distrik Fakfak, Kabupaten Fakfak, Papua Bar.";"Kabupaten Fakfak, Papua Bar.";PAPUA;;Indonesia;095625128;;;-2.939.355;132.297.606;https://maps.google.com/?cid=0x0:0xd823d4d62d59165c;
building materials;building materials;Distrik Goyage;"Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";PAPUA;;Indonesia;;;;-37.233.251;1.384.342.412;https://maps.google.com/?cid=0x0:0x56e653bedf73f861;
building materials;Toko Bahan Bangunan;"Papua Bangunan, CV PAPUA ABADI";"Jl. Basuki Rahmat No.780, Klawuyuk, Distrik Sorong Timur, Kota Sorong, Papua Bar. 98416";"Klawuyuk, Distrik Sorong Timur, Kota Sorong";PAPUA;98416;Indonesia;081332017550;;;-0.8954087;1.313.186.922;https://maps.google.com/?cid=0x0:0x851804bc3aa7f033;
building materials;Toko Bahan Bangunan;Horukie Toko Bangunan;"R38J+883 Wa Toko T??-89T3-T541 kami, Fandoi, Kec. Biak Kota, Kabupaten Biak Numfor, Papua 98111";"Fandoi, Kec. Biak Kota, Kabupaten Biak Numfor";PAPUA;98111;Indonesia;081344944374;;;-11.842.375;1.360.807.969;https://maps.google.com/?cid=0x0:0x9ef95c0249a63970;
building materials;Toko Bahan Bangunan;Depo Bangunan Mbanyu Mili;"3VQM+2GP depan balai kampung sp 2, Prafi Mulia, Distrik Prafi, Kabupaten Manokwari, Papua Bar. 98356";"Prafi Mulia, Distrik Prafi, Kabupaten Manokwari";PAPUA;98356;Indonesia;085254126242;;;-0.9124191;1.338.838.245;https://maps.google.com/?cid=0x0:0x72bb281db456c91a;
building materials;Toko Bahan Bangunan;PAPUA BANGUNAN;"42GX+945, Wosi, Kec. Manokwari Bar., Kabupaten Manokwari, Papua Bar. 98312";"Wosi, Kec. Manokwari Bar., Kabupaten Manokwari";PAPUA;98312;Indonesia;082198055550;;;-0.874101;1.340.478.473;https://maps.google.com/?cid=0x0:0x2c3683b193d9430f;
building materials;Toko Bahan Bangunan;Wapoga Mutiara Timber. PT;"43MJ+WXW, Manokwari Tim., Kec. Manokwari Bar., Kabupaten Manokwari, Papua Bar. 98312";"Manokwari Tim., Kec. Manokwari Bar., Kabupaten Manokwari";PAPUA;98312;Indonesia;0962211770;;;-0.86514;134.082.441;https://maps.google.com/?cid=0x0:0x23cc3c5246cb2c52;
building materials;Toko Bahan Bangunan;PT. Barito Pasifik Timber;"Jl. Koti No.8 A, Numbai, Distrik Jayapura Selatan, Kota Jayapura, Papua 99222";"Numbai, Distrik Jayapura Selatan, Kota Jayapura";PAPUA;99222;Indonesia;0967536672;;;-2.543.737;140.706.905;https://maps.google.com/?cid=0x0:0x3e2ccfcc476c37f1;
