Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Kec. Karubaga";"Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.6837789";"138.4763233";"https://maps.google.com/?cid=0x0:0x7a7aac168c153399";""
"komplek housing";"Komplek perumahan";"Komplek Perumahan YPPGI";"8F7J+Q63, Karubaga, Kec. Karubaga, Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.6856154";"138.4805518";"https://maps.google.com/?cid=0x0:0x1e996dde1edb3b03";""
"komplek housing";"Pembangunan Perumahan";"Perumahan PEMDA";"8FCG+33Q, Muara, Kec. Karubaga, Kabupaten Tolikara, Papua 99567";"Muara, Kec. Karubaga, Kabupaten Tolikara";"PAPUA";"99567";"Indonesia";"";"";"";"-3.6797785";"138.4752409";"https://maps.google.com/?cid=0x0:0x92f2706a088cac78";""
"komplek housing";"Pembangunan Perumahan";"MESS BAKTI (HUP)";"8F8H+R2X, Karubaga, Kec. Karubaga, Kabupaten Tolikara, Papua 99567";"Karubaga, Kec. Karubaga, Kabupaten Tolikara";"PAPUA";"99567";"Indonesia";"";"";"";"-3.6828849";"138.4776154";"https://maps.google.com/?cid=0x0:0x191d22cf391b74d6";""
"komplek housing";"Gedung Apartemen";"Kimobur";"7FP3+XH, Abepur, Distrik Kuari, Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.71258";"138.453943";"https://maps.google.com/?cid=0x0:0xcb39f5ecb3e7026d";""
"komplek housing";"komplek housing";"Paremal Boys {PRM}";"8M98+4WJ, Bokondini, Kec. Bokondini, Kabupaten Tolikara, Papua 99556";"Bokondini, Kec. Bokondini, Kabupaten Tolikara";"PAPUA";"99556";"Indonesia";" 081221416127";"";"";"-3.6832944";"138.6664513";"https://maps.google.com/?cid=0x0:0x6f72c9da0d8b50a4";""
"komplek housing";"komplek housing";"Bokondini";"Bokondini, Kec. Bokondini, Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.6881806";"138.6803623";"https://maps.google.com/?cid=0x0:0x54885a86dafb328d";""
"komplek housing";"komplek housing";"Kec. Tebet";"Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta";"Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta";"PAPUA";"";"Indonesia";"";"";"";"-6.2251223";"106.8549881";"https://maps.google.com/?cid=0x0:0xd575e31c807295f9";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Yogoluk";"89M9+CV, Kanggime, Distrik Kanggime, Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.6664425";"138.3696546";"https://maps.google.com/?cid=0x0:0x3a27233d6e6a4f40";""
"komplek housing";"Pembangunan Perumahan";"JELEKPELEK";"8FCF+C8G, Muara, Kec. Karubaga, Kabupaten Tolikara, Papua 99567";"Muara, Kec. Karubaga, Kabupaten Tolikara";"PAPUA";"99567";"Indonesia";"";"";"";"-3.6801995";"138.4736612";"https://maps.google.com/?cid=0x0:0x6dd4edeca684d55a";""
"komplek housing";"komplek housing";"Distrik Kanggime";"Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.665848";"138.3631975";"https://maps.google.com/?cid=0x0:0x6995094a6721688";""
"komplek housing";"komplek housing";"Distrik Kanggime";"Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.665848";"138.3631975";"https://maps.google.com/?cid=0x0:0x6995094a6721688";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Yogoluk";"89M9+CV, Kanggime, Distrik Kanggime, Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.6664425";"138.3696546";"https://maps.google.com/?cid=0x0:0x3a27233d6e6a4f40";""
"komplek housing";"komplek housing";"Talinamber Village";"Tolineri, Jln. Raya Khai, Distrik Kanggime, Kabupaten Tolikara, Papua 99042";"Jln. Raya Khai, Distrik Kanggime, Kabupaten Tolikara";"PAPUA";"99042";"Indonesia";"";"";"";"-3.6702654";"138.3309452";"https://maps.google.com/?cid=0x0:0xd666154fcc9319c1";""
"komplek housing";"komplek housing";"Distrik Kembu";"Kabupaten Tolikara, Papua";"Kabupaten Tolikara, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.5890462";"138.3960902";"https://maps.google.com/?cid=0x0:0xa5a67da0991adaf4";""
"komplek housing";"Komplek perumahan";"Komplek Kemhan Mabes TNI K97";"Jl. Mawarputih K97, Jl. Mawar Putih No.K-97, RT.005/RW.018, Jatimakmur, Pondok Gede, Bekasi, West Java 17413";"Jl. Mawar Putih No.K-97, RT.005/RW.018, Jatimakmur, Pondok Gede, Bekasi";"PAPUA";"17413";"Indonesia";"";"";"";"-6.2905026";"106.9325305";"https://maps.google.com/?cid=0x0:0xaeef1c3ddd111228";""
"komplek housing";"Komplek perumahan";"KOMPLEK KEMHAN/MABES TNI";"Komplek Kemhan/Mabes TNI, Jl. Raya Jati Makmur Jl. Mawarkuning No.K-102, RT./rw:/RW.005, 018, Jatimakmur, Kec. Pd. Gede, Kota Bks, Jawa Barat";"Kota Bks, Jawa Barat";"PAPUA";"";"Indonesia";"";"";"";"-6.2837045";"106.9218279";"https://maps.google.com/?cid=0x0:0x2fd61e446e384499";""
