Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Distrik Elelim";"Kabupaten Yalimo, Papua";"Kabupaten Yalimo, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.7680532";"139.3868081";"https://maps.google.com/?cid=0x0:0xde02bbdc66a23121";""
"komplek housing";"komplek housing";"Apalapsili";"Kabupaten Yalimo, Papua";"Kabupaten Yalimo, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.9198211";"139.3044253";"https://maps.google.com/?cid=0x0:0x3797ff34c521ba5e";""
"komplek housing";"komplek housing";"Kec. Abenaho";"Kabupaten Yalimo, Papua";"Kabupaten Yalimo, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.8213302";"139.1722643";"https://maps.google.com/?cid=0x0:0x4219dcbaae7dba95";""
"komplek housing";"komplek housing";"Benawa";"Kabupaten Yalimo, Papua";"Kabupaten Yalimo, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.6675868";"139.609512";"https://maps.google.com/?cid=0x0:0xd6131a7bad4f76ca";""
"komplek housing";"Komplek perumahan";"Shiva Housing";"Perumahan Wahana Pondok Gede, K3/20, RT.018/RW.007, Jatiranggon, Jatisampurna, Bekasi, West Java 17431";"K3/20, RT.018/RW.007, Jatiranggon, Jatisampurna, Bekasi";"PAPUA";"17431";"Indonesia";"";"";"";"-6.3395969";"106.9387521";"https://maps.google.com/?cid=0x0:0xeff80149be4a471";""
"komplek housing";"Establishment";"Ahzavi Residence Pondok Gede";"PW4J+JHQ, Jl. Celepuk I Ujung, RT.012/RW.014, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414";"Jl. Celepuk I Ujung, RT.012/RW.014, Jatirahayu, Kec. Pd. Melati, Kota Bks";"PAPUA";"17414";"Indonesia";"";"";"";"-6.2934194";"106.9314803";"https://maps.google.com/?cid=0x0:0x7b24a580738077da";""
"komplek housing";"Komplek perumahan";"Perumahan Kyra Residence 3 kantor pemasaran";"Jl. Gudang Bin Ali, Bahagia, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610";"Bahagia, Kec. Babelan, Kabupaten Bekasi";"PAPUA";"17610";"Indonesia";" 082112762916";"";"";"-6.1945388";"107.0274494";"https://maps.google.com/?cid=0x0:0x3874af9c9c530e23";""
"komplek housing";"komplek housing";"Welarek";"Kabupaten Yalimo, Papua";"Kabupaten Yalimo, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.9512159";"139.5687416";"https://maps.google.com/?cid=0x0:0x61fd6182e9d8dc58";""
"perumahan";"perumahan";"Distrik Elelim";"Kabupaten Yalimo, Papua";"Kabupaten Yalimo, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.7680532";"139.3868081";"https://maps.google.com/?cid=0x0:0xde02bbdc66a23121";""
"perumahan";"Komplek perumahan";"Elelim";"69FM+Q3X, Elelim, Distrik Elelim, Kabupaten Yalimo, Papua 99558";"Elelim, Distrik Elelim, Kabupaten Yalimo";"PAPUA";"99558";"Indonesia";"";"";"";"-3.7763285";"139.3834658";"https://maps.google.com/?cid=0x0:0xa40415b77977c8ae";""
"perumahan";"Komplek perumahan";"Yehiyen";"69FH+8H, Elelim, Distrik Elelim, Kabupaten Yalimo, Papua";"Kabupaten Yalimo, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.7766299";"139.3788816";"https://maps.google.com/?cid=0x0:0x3ae5a3ed24c93067";""
"perumahan";"Pertanian Organik";"Komplex pertanian";"6CM7+48, Honita, Distrik Elelim, Kabupaten Yalimo, Papua";"Kabupaten Yalimo, Papua";"PAPUA";"";"Indonesia";"";"";"";"-3.7683049";"139.4139624";"https://maps.google.com/?cid=0x0:0x5a3459b4b67c471a";""
