Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"building materials";"Mandobo";"Distrik Kouh, Kabupaten Boven Digoel, Papua";"Kabupaten Boven Digoel, Papua";"PAPUA";"";"Indonesia";"";"";"";"-5.8523321";"140.2862819";"https://maps.google.com/?cid=0x0:0x30ea9430854e3568";""
"building materials";"Toko";"TOKO BANGUNAN SUMBER ANUGERAH";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0903965";"140.3331897";"https://maps.google.com/?cid=0x0:0x9b0d3e5a6263752a";""
"building materials";"Toko";"Toko Abadi";"jalan trans, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";" 082197348947";"";"";"-6.1021675";"140.3183316";"https://maps.google.com/?cid=0x0:0xdee33d09caab54d2";""
"building materials";"Pemasok Bahan Bangunan";"UD Simpel";"W828+C4W, Jl. Arimop, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Jl. Arimop, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";" 081357498001";"";"";"-6.098877";"140.3153312";"https://maps.google.com/?cid=0x0:0xd945cc71fee0731f";""
"building materials";"Pom bensin/SPBU";"spbu";"4MG6+X8R, Mindiptana - Tanah Merah, Tinggam, Kec. Mindiptana, Kabupaten Boven Digoel, Papua 99662";"Mindiptana - Tanah Merah, Tinggam, Kec. Mindiptana, Kabupaten Boven Digoel";"PAPUA";"99662";"Indonesia";"";"";"";"-5.8725249";"140.6607572";"https://maps.google.com/?cid=0x0:0x2e5c913f5ff5106";""
"building materials";"building materials";"Sanjaya Abadi";"4MVV+5XG, Osso, Kec. Mindiptana, Kabupaten Boven Digoel, Papua";"Kabupaten Boven Digoel, Papua";"PAPUA";"";"Indonesia";"";"";"";"-5.857056";"140.6949438";"https://maps.google.com/?cid=0x0:0x32f10331b3a61a9d";""
"building materials";"building materials";"Kec. Mindiptana";"Kabupaten Boven Digoel, Papua";"Kabupaten Boven Digoel, Papua";"PAPUA";"";"Indonesia";"";"";"";"-5.8729212";"140.7006239";"https://maps.google.com/?cid=0x0:0x63d3989597ea91fc";""
"building materials";"building materials";"Waropen";"QC54+M74, Nonomi, Kec. Waropen Bawah, Kabupaten Waropen, Papua 98261";"Nonomi, Kec. Waropen Bawah, Kabupaten Waropen";"PAPUA";"98261";"Indonesia";"";"";"";"-2.2408669";"136.4057026";"https://maps.google.com/?cid=0x0:0x939ec7ca3f88c5d2";""
"building materials";"Toko";"TOKO BANGUNAN SUMBER ANUGERAH";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0903965";"140.3331897";"https://maps.google.com/?cid=0x0:0x9b0d3e5a6263752a";""
"building materials";"Toko Bahan Bangunan";"PT. Golden Roof Polymer";"Jl. Raya Serang No.KM. 27, Sentul Jaya, Kec. Balaraja, Kabupaten Tangerang, Banten 15610";"Sentul Jaya, Kec. Balaraja, Kabupaten Tangerang";"PAPUA";"15610";"Indonesia";" 02159574777";"";"";"-6.2174573";"106.4415014";"https://maps.google.com/?cid=0x0:0xe6d4cb8b4b6c1e19";""
