Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Mandobo";"Distrik Kouh, Kabupaten Boven Digoel, Papua";"Kabupaten Boven Digoel, Papua";"PAPUA";"";"Indonesia";"";"";"";"-5.8523321";"140.2862819";"https://maps.google.com/?cid=0x0:0x30ea9430854e3568";""
"komplek housing";"Komplek perumahan";"Perumahan Pegawai KM 3";"W84H+RHH, Transpapua, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Transpapua, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0929479";"140.3289743";"https://maps.google.com/?cid=0x0:0xfef02e7b6d5a573e";""
"komplek housing";"Komplek perumahan";"Perumahan Ambonggo";"W868+P9P, Unnamed Road, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Unnamed Road, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0881572";"140.3159401";"https://maps.google.com/?cid=0x0:0x4ae63b1f7fa71be7";""
"komplek housing";"Komplek perumahan";"TITI Laundry";"785X+X7V Jln Belanda lama kos Ayub Santy, Ujung, Arimop, Kabupaten Boven Digoel, Papua";"Kabupaten Boven Digoel, Papua";"PAPUA";"";"Indonesia";"";"";"";"-5.7400018";"140.3481835";"https://maps.google.com/?cid=0x0:0xa0b11255bc8cd7b4";""
"komplek housing";"Komplek perumahan";"Rumah Tete Koor Kwanimba";"56W8+234, Jair, Distrik Kouh, Kabupaten Boven Digoel, Papua";"Kabupaten Boven Digoel, Papua";"PAPUA";"";"Indonesia";"";"";"";"-5.8049835";"140.2152041";"https://maps.google.com/?cid=0x0:0x77b3b20448c1da86";""
"komplek housing";"Pembangunan Perumahan";"Coret Karwayu";"782X+2GR, Ujung, Arimop, Kabupaten Boven Digoel, Papua";"Kabupaten Boven Digoel, Papua";"PAPUA";"";"Indonesia";"";"";"";"-5.7498932";"140.3487626";"https://maps.google.com/?cid=0x0:0xe8694680a7c9b1c4";""
"komplek housing";"komplek housing";"lucky kaki hary";"785X+X7V, spay, Arimop, Kabupaten Boven Digoel, Papua";"Kabupaten Boven Digoel, Papua";"PAPUA";"";"Indonesia";"";"";"";"-5.7400018";"140.3481835";"https://maps.google.com/?cid=0x0:0x75185be01db2535e";""
"komplek housing";"komplek housing";"Kec. Mandobo";"Kabupaten Boven Digoel, Papua";"Kabupaten Boven Digoel, Papua";"PAPUA";"";"Indonesia";"";"";"";"-6.0694004";"140.265662";"https://maps.google.com/?cid=0x0:0x618ed68911d02fb6";""
"komplek housing";"Komplek perumahan";"House of Soppeng";"W84G+7PP, Unnamed Road, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Unnamed Road, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0942761";"140.3268235";"https://maps.google.com/?cid=0x0:0x7124c4bc362f887";""
"komplek housing";"Pembangunan Perumahan";"Kompleks Perumahan Pegawai No.3";"V8M5+6C2, Jl. Ampera, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Jl. Ampera, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.1169783";"140.3085218";"https://maps.google.com/?cid=0x0:0x45064ab9d4293bbc";""
"komplek housing";"Pembangunan Perumahan";"A. Wandany";"W838+MPG, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0958075";"140.3168202";"https://maps.google.com/?cid=0x0:0x6a4afd3a5ccdf7d4";""
"komplek housing";"Komplek perumahan";"Rumah Junandito";"V8XC+HQC, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.1023592";"140.3226336";"https://maps.google.com/?cid=0x0:0xc4523980f6706e9a";""
"komplek housing";"Pembangunan Perumahan";"Karet - Karet";"W835+4FH, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0971609";"140.3092188";"https://maps.google.com/?cid=0x0:0x25d2a425cdb631ab";""
"komplek housing";"komplek housing";"Abdul Wahab";"W84G+6RF, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.09416";"140.326832";"https://maps.google.com/?cid=0x0:0xc4c2f97f6bb30b2f";""
"komplek housing";"Komplek perumahan";"MABESalians";"V8X5+7W2, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";" 082238543219";"";"";"-6.1018688";"140.3097513";"https://maps.google.com/?cid=0x0:0xacfedd486e213755";""
"komplek housing";"Komplek perumahan";"ARSHAKA Z. M";"V8M5+6C8, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.1169388";"140.3086865";"https://maps.google.com/?cid=0x0:0x5c2a04d80b3c7934";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Garasi imanuel";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0967602";"140.3114617";"https://maps.google.com/?cid=0x0:0xa8543e97332ec77c";""
"komplek housing";"Kantor Pemerintah";"Kompleks Pemakaman BOSOWA LAMA";"V8X6+P7C, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.1006863";"140.3106305";"https://maps.google.com/?cid=0x0:0x9c161627044d1eef";""
"komplek housing";"Komplek perumahan";"Komplek Amsterdam Kanan";"W868+5QQ, Sokanggo, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Sokanggo, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0895394";"140.316974";"https://maps.google.com/?cid=0x0:0x3168b951cb9a51a2";""
"komplek housing";"Perumahan";"Rumah Melona";"V8P4+8VR, Jl. Ampera Lorong Sebelum PLTD, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Jl. Ampera Lorong Sebelum PLTD, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.1141425";"140.3071329";"https://maps.google.com/?cid=0x0:0xb72a0a64b6c78ab8";""
"komplek housing";"Komplek perumahan";"Fatlolon Home";"W72W+3FF, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0998129";"140.2961823";"https://maps.google.com/?cid=0x0:0xe3f6bbaed1c759fc";""
"komplek housing";"Pembangunan Perumahan";"TEMPAT ACARA";"W76X+MJ7, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0883327";"140.2990468";"https://maps.google.com/?cid=0x0:0x48f2f0b00d30a385";""
"komplek housing";"Gedung Apartemen";"Home YUSAK Marthen";"Kompleks Perumahan PU, Jl. Ampera, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Jl. Ampera, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.1163325";"140.3098079";"https://maps.google.com/?cid=0x0:0x58ca23074888b002";""
"komplek housing";"Komplek perumahan";"Mabes AVATAR";"V8W5+FR, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.1038381";"140.3095163";"https://maps.google.com/?cid=0x0:0xf7cb4989ae91dc7e";""
"komplek housing";"Kompleks Kondominium";"CHEY";"W8FH+435, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0772312";"140.327735";"https://maps.google.com/?cid=0x0:0x648b463809c04756";""
"komplek housing";"Komplek perumahan";"Kompleks avatar";"W829+6CJ, Jl. Arimop, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Jl. Arimop, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0994027";"140.318514";"https://maps.google.com/?cid=0x0:0x235208a10d7cdb1";""
"komplek housing";"Perumahan";"AR__street";"W825+99W, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.0991918";"140.3078013";"https://maps.google.com/?cid=0x0:0xc27af74ec5f684f8";""
"komplek housing";"Komplek perumahan";"Mabes Noah";"V8P4+8VR, Jl. Ampera Lorong Sebelum PLTD, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663";"Jl. Ampera Lorong Sebelum PLTD, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel";"PAPUA";"99663";"Indonesia";"";"";"";"-6.1139526";"140.3073192";"https://maps.google.com/?cid=0x0:0x9f4650b629a54266";""
