Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"Papua 99871";"Kabupaten Mappi, Papua";"Kabupaten Mappi, Papua";"PAPUA";"";"Indonesia";"";"";"";"-6.3989856";"139.4466005";"https://maps.google.com/?cid=0x0:0xc5ece3ae73b47f90";""
"hotel";"Hotel";"GUEST HOUSE";"F88C+Q99, Jl. Irian Kepi, Obaa, Kec. Obaa, Kabupaten Mappi, Papua 99881";"Jl. Irian Kepi, Obaa, Kec. Obaa, Kabupaten Mappi";"PAPUA";"99881";"Indonesia";"";"";"";"-6.5330817";"139.3209984";"https://maps.google.com/?cid=0x0:0x39cd319c256fb180";""
"hotel";"Hotel";"Hotel Grand Avista";"Jl. Irian Kepi, Obaa, Kec. Obaa, Kabupaten Mappi, Papua 99881";"Obaa, Kec. Obaa, Kabupaten Mappi";"PAPUA";"99881";"Indonesia";" 085244177279";"";"";"-6.5400465";"139.304703";"https://maps.google.com/?cid=0x0:0xe32332211f3891f0";""
"hotel";"Hotel";"Hotel Gedung Putih";"F8C9+4G4, Jl. Irian Kepi, Obaa, Kec. Obaa, Kabupaten Mappi, Papua 99881";"Jl. Irian Kepi, Obaa, Kec. Obaa, Kabupaten Mappi";"PAPUA";"99881";"Indonesia";"";"";"";"-6.529787";"139.3188436";"https://maps.google.com/?cid=0x0:0xe366fbbc757e6c4e";""
"hotel";"hotel";"Kec. Obaa";"Kabupaten Mappi, Papua";"Kabupaten Mappi, Papua";"PAPUA";"";"Indonesia";"";"";"";"-6.5336517";"139.4466005";"https://maps.google.com/?cid=0x0:0x3055588e2dbb9ea4";""
"hotel";"hotel";"Oba Resort";"9GGX+648, Pulau Pesisir, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14540";"Pulau Pesisir, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu";"PAPUA";"14540";"Indonesia";"";"";"";"-5.6244615";"106.5478206";"https://maps.google.com/?cid=0x0:0x726b865180f4a097";""
"hotel";"hotel";"Pulau Pelangi Resort";"CH7Q+5CC, Pulau Pelangi Resort, Kepulauan Seribu, Pelangi Island, Banten 14520";"Pulau Pelangi Resort, Kepulauan Seribu, Pelangi Island";"PAPUA";"14520";"Indonesia";" 087783998612";"";"";"-5.587055";"106.5885";"https://maps.google.com/?cid=0x0:0x1e2cca694103651e";""
"hotel";"hotel";"Homestay Rosa";"8HWH+XCX, jln.dermaga utara, RT.002/RW.02, Pulau Kepulaeribu Utara, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14540";"jln.dermaga utara, RT.002/RW.02, Pulau Kepulaeribu Utara, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu";"PAPUA";"14540";"Indonesia";" 085813153860";"";"";"-5.6525019";"106.5786222";"https://maps.google.com/?cid=0x0:0xbab5da21ceb5e3b3";""
"hotel";"hotel";"Pulau Macan Eco Lodge";"Pulau Kelapa, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta";"Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta";"PAPUA";"";"Indonesia";" 085218491579";"";"";"-5.5985655";"106.5493262";"https://maps.google.com/?cid=0x0:0xf07c09fa138e362d";""
"hotel";"hotel";"Desa Laguna Regenerative Village  Resort";"Pulau Karang Bongkok Administrasi, Kab. Administrasi Kepulauan Seribu, 14540";"Kab. Administrasi Kepulauan Seribu";"PAPUA";"";"Indonesia";" 081808800008";"";"";"-5.685499";"106.5622283";"https://maps.google.com/?cid=0x0:0x27261ba18ce31cf9";""
"hotel";"hotel";"Pulau Matahari";"";"";"PAPUA";"";"Indonesia";"";"";"";"-5.6";"106.55";"https://maps.google.com/?cid=0x0:0x9bfb3ef8e4322af2";""
"hotel";"hotel";"PUTRI Island Resort";"java sea, Kepulauan Seribu, Jakarta, Pulau Harapan, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14540";"Kepulauan Seribu, Jakarta, Pulau Harapan, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu";"PAPUA";"14540";"Indonesia";" 0218281093";"";"";"-5.5931018";"106.5609147";"https://maps.google.com/?cid=0x0:0xa1fbf9d1141f6543";""
