Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"perumahan";"Distrik Aifat";"Kabupaten Maybrat, Papua Bar.";"Kabupaten Maybrat, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.2568532";"132.5001338";"https://maps.google.com/?cid=0x0:0xcc3d52ba3ddd33de"
"perumahan";"Pembangunan Perumahan";"Evaan Aifat Maybrat";"QF4G+W7V, Werjaya, Distrik Aifat, Kabupaten Maybrat, Papua Bar. 98463";"Werjaya, Distrik Aifat, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.2426304";"132.4756698";"https://maps.google.com/?cid=0x0:0xa3b53493d6599552"
"perumahan";"Pembangunan Perumahan";"Sonere aifat selatan maybrat";"MFPG+PW2, Futon, Distrik Aifat Selatan, Kabupaten Maybrat, Papua Bar. 98463";"Futon, Distrik Aifat Selatan, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.3132303";"132.4772785";"https://maps.google.com/?cid=0x0:0xcf993cce8191b59"
"perumahan";"Komplek perumahan";"Sahabur";"PF5R+XV, Futon, Distrik Aifat, Kabupaten Maybrat, Papua Bar.";"Kabupaten Maybrat, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.2900127";"132.4921406";"https://maps.google.com/?cid=0x0:0x463118003817dc9a"
"perumahan";"Komplek perumahan";"KAMPUNG LAMA ,IRAFAN";"JCV8+24G, Tehahite, Distrik Aifat, Kabupaten Maybrat, Papua Bar. 98463";"Tehahite, Distrik Aifat, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.3574485";"132.4153262";"https://maps.google.com/?cid=0x0:0x861baf0d33512994"
"perumahan";"Perhimpunan Pengembang Perumahan";"Perempuan AIFAT";"RF77+C36, Ayawasi, Distrik Aifat Utara, Kabupaten Maybrat, Papua Bar. 98463";"Ayawasi, Distrik Aifat Utara, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.186464";"132.4626367";"https://maps.google.com/?cid=0x0:0xc3d9c84f81b264c7"
"perumahan";"Perumahan";"Fonatu";"RFQ5+VFM, Fonatu, Ayawasi, Distrik Aifat Utara, Kabupaten Maybrat, Papua Bar. 98463";"Fonatu, Ayawasi, Distrik Aifat Utara, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.1602976";"132.4586748";"https://maps.google.com/?cid=0x0:0xe1058bdc7f5b6b06"
"perumahan";"Pembangunan Perumahan";"Kampung Ainod";"PHJ3+42, Eisyo, Distrik Aifat, Kabupaten Maybrat, Papua Bar.";"Kabupaten Maybrat, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.269625";"132.5525305";"https://maps.google.com/?cid=0x0:0x99dd91f91b4adb11"
"perumahan";"Pembangunan Perumahan";"Proyek Rumah Papua Barat";"Q9QR+479, Fonatu, Distrik Aifat Utara, Kabupaten Maybrat, Papua Bar.";"Kabupaten Maybrat, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.2122123";"132.3907207";"https://maps.google.com/?cid=0x0:0x32f9d918d28cb15c"
"perumahan";"Komplek perumahan";"Kampung Kokas, Aifat Maybrat Papua Barat Daya";"QC93+QF3, Kokas, Distrik Aifat, Kabupaten Maybrat, Papua Bar. 98463";"Kokas, Distrik Aifat, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.2306125";"132.4036715";"https://maps.google.com/?cid=0x0:0xc8ab9eb5eff74124"
"perumahan";"Perhimpunan Pengembang Perumahan";"Nezeth Aifat Utara Kab.Maybrat";"RFP6+CWW, Uname Road, Ayawasi, Distrik Aifat Utara, Kabupaten Maybrat, Papua Bar. 98463";"Uname Road, Ayawasi, Distrik Aifat Utara, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.163882";"132.4623359";"https://maps.google.com/?cid=0x0:0x30c27f8005f60ea7"
"perumahan";"Perhimpunan Pengembang Perumahan";"Kampung Neset, Aifat Utara, Kabupaten Maybrat";"RFP6+9XG, Uname Road, Ayawasi, Distrik Aifat Utara, Kabupaten Maybrat, Papua Bar. 98463";"Uname Road, Ayawasi, Distrik Aifat Utara, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.1640663";"132.4624589";"https://maps.google.com/?cid=0x0:0xfe3e6a3b1dacf0d5"
"perumahan";"Komplek perumahan";"Distrik Aifat Selatan";"HGX4+F72, Sory, Distrik Aifat Selatan, Kabupaten Maybrat, Papua Bar. 98463";"Sory, Distrik Aifat Selatan, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.4013521";"132.5056398";"https://maps.google.com/?cid=0x0:0x1486686d3708c90"
"perumahan";"Pembangunan Perumahan";"KAMPUNG SAMERAKATOR";"JHQV+VPP, KOMPLEX FATEM ISYORANA, TAHSIMARA, Aitrem, Distrik Aifat Timur, Kabupaten Maybrat, Papua Bar. 98463";"KOMPLEX FATEM ISYORANA, TAHSIMARA, Aitrem, Distrik Aifat Timur, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.3602867";"132.5943283";"https://maps.google.com/?cid=0x0:0xceea199ce0dab7e"
"perumahan";"perumahan";"Distrik Aifat";"Kabupaten Maybrat, Papua Bar.";"Kabupaten Maybrat, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.2568532";"132.5001338";"https://maps.google.com/?cid=0x0:0xcc3d52ba3ddd33de"
"perumahan";"Pembangunan Perumahan";"Evaan Aifat Maybrat";"QF4G+W7V, Werjaya, Distrik Aifat, Kabupaten Maybrat, Papua Bar. 98463";"Werjaya, Distrik Aifat, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.2426304";"132.4756698";"https://maps.google.com/?cid=0x0:0xa3b53493d6599552"
"perumahan";"Pembangunan Perumahan";"Sonere aifat selatan maybrat";"MFPG+PW2, Futon, Distrik Aifat Selatan, Kabupaten Maybrat, Papua Bar. 98463";"Futon, Distrik Aifat Selatan, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.3132303";"132.4772785";"https://maps.google.com/?cid=0x0:0xcf993cce8191b59"
"perumahan";"Komplek perumahan";"Sahabur";"PF5R+XV, Futon, Distrik Aifat, Kabupaten Maybrat, Papua Bar.";"Kabupaten Maybrat, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.2900127";"132.4921406";"https://maps.google.com/?cid=0x0:0x463118003817dc9a"
"perumahan";"Pembangunan Perumahan";"Kampung Ainod";"PHJ3+42, Eisyo, Distrik Aifat, Kabupaten Maybrat, Papua Bar.";"Kabupaten Maybrat, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.269625";"132.5525305";"https://maps.google.com/?cid=0x0:0x99dd91f91b4adb11"
"perumahan";"Komplek perumahan";"KAMPUNG LAMA ,IRAFAN";"JCV8+24G, Tehahite, Distrik Aifat, Kabupaten Maybrat, Papua Bar. 98463";"Tehahite, Distrik Aifat, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.3574485";"132.4153262";"https://maps.google.com/?cid=0x0:0x861baf0d33512994"
"perumahan";"Pembangunan Perumahan";"Proyek Rumah Papua Barat";"Q9QR+479, Fonatu, Distrik Aifat Utara, Kabupaten Maybrat, Papua Bar.";"Kabupaten Maybrat, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.2122123";"132.3907207";"https://maps.google.com/?cid=0x0:0x32f9d918d28cb15c"
"perumahan";"Perhimpunan Pengembang Perumahan";"Perempuan AIFAT";"RF77+C36, Ayawasi, Distrik Aifat Utara, Kabupaten Maybrat, Papua Bar. 98463";"Ayawasi, Distrik Aifat Utara, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.186464";"132.4626367";"https://maps.google.com/?cid=0x0:0xc3d9c84f81b264c7"
"perumahan";"Komplek perumahan";"Kampung Kokas, Aifat Maybrat Papua Barat Daya";"QC93+QF3, Kokas, Distrik Aifat, Kabupaten Maybrat, Papua Bar. 98463";"Kokas, Distrik Aifat, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.2306125";"132.4036715";"https://maps.google.com/?cid=0x0:0xc8ab9eb5eff74124"
"perumahan";"Perumahan";"Fonatu";"RFQ5+VFM, Fonatu, Ayawasi, Distrik Aifat Utara, Kabupaten Maybrat, Papua Bar. 98463";"Fonatu, Ayawasi, Distrik Aifat Utara, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.1602976";"132.4586748";"https://maps.google.com/?cid=0x0:0xe1058bdc7f5b6b06"
"perumahan";"Komplek perumahan";"Tehahite city";"JFW7+RMW, Tehahite, Distrik Aifat, Kabupaten Maybrat, Papua Bar.";"Kabupaten Maybrat, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.3528854";"132.4642057";"https://maps.google.com/?cid=0x0:0xddee8fd8d828ce9e"
"perumahan";"Komplek perumahan";"Kampung tehahite";"MC3F+W84, Tehahite, Distrik Aifat, Kabupaten Maybrat, Papua Bar.";"Kabupaten Maybrat, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.3452319";"132.4233339";"https://maps.google.com/?cid=0x0:0x19d57cca26889c4d"
"perumahan";"Gereja";"Rumah Pastori JemAt GKI SION Kumurkek";"PGR2+V4V, Eisyo, Distrik Aifat, Kabupaten Maybrat, Papua Bar. 98463";"Eisyo, Distrik Aifat, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.2579787";"132.4999841";"https://maps.google.com/?cid=0x0:0xb7580a85f83ac8"
"perumahan";"Perhimpunan Pengembang Perumahan";"AYAWASI FANBERS MAYBRAT";"Ayawasi Fanbers, KAMP. FANBERS, DAYA, Distrik Aifat Utara, Kabupaten Maybrat, Papua Bar. 98277";"KAMP. FANBERS, DAYA, Distrik Aifat Utara, Kabupaten Maybrat";"PAPUA BARAT";"98277";"Indonesia";" 082175742019";"-1.1674406";"132.464603";"https://maps.google.com/?cid=0x0:0xdb8bed76c6756b1a"
"perumahan";"perumahan";"Distrik Aifat Timur";"Kabupaten Maybrat, Papua Bar.";"Kabupaten Maybrat, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.3591179";"132.59276";"https://maps.google.com/?cid=0x0:0x14eac191dd6d8e2e"
"perumahan";"Pembangunan Perumahan";"KAMPUNG SAMERAKATOR";"JHQV+VPP, KOMPLEX FATEM ISYORANA, TAHSIMARA, Aitrem, Distrik Aifat Timur, Kabupaten Maybrat, Papua Bar. 98463";"KOMPLEX FATEM ISYORANA, TAHSIMARA, Aitrem, Distrik Aifat Timur, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.3602867";"132.5943283";"https://maps.google.com/?cid=0x0:0xceea199ce0dab7e"
"perumahan";"Komplek perumahan";"Kampung Aimau, Distrik Aifat Timur Jauh";"JJM7+FVV, Aimau, Distrik Aifat Timur, Kabupaten Maybrat, Papua Bar.";"Kabupaten Maybrat, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.3662571";"132.6146565";"https://maps.google.com/?cid=0x0:0x31662e29a971635"
"perumahan";"Pembangunan Perumahan";"Evaan Aifat Maybrat";"QF4G+W7V, Werjaya, Distrik Aifat, Kabupaten Maybrat, Papua Bar. 98463";"Werjaya, Distrik Aifat, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.2426304";"132.4756698";"https://maps.google.com/?cid=0x0:0xa3b53493d6599552"
"perumahan";"Komplek perumahan";"Rumah dinas sekertaris klasis aifat";"Susumuk - Kumurkeh, Tehahite, Distrik Aifat, Kabupaten Maybrat, Papua Bar. 98463";"Tehahite, Distrik Aifat, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.3380603";"132.4681037";"https://maps.google.com/?cid=0x0:0xec182619a4dca87e"
"perumahan";"Pembangunan Perumahan";"Kp. Mufas";"PM36+M94, Aisa, Distrik Aifat Timur, Kabupaten Maybrat, Papua Bar. 98463";"Aisa, Distrik Aifat Timur, Kabupaten Maybrat";"PAPUA BARAT";"98463";"Indonesia";"";"-1.2958969";"132.6610312";"https://maps.google.com/?cid=0x0:0xa1f362045b160b1b"
"perumahan";"Pembangunan Perumahan";"Kampung Ainod";"PHJ3+42, Eisyo, Distrik Aifat, Kabupaten Maybrat, Papua Bar.";"Kabupaten Maybrat, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.269625";"132.5525305";"https://maps.google.com/?cid=0x0:0x99dd91f91b4adb11"
