Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"perumahan";"Papua Bar. 98457";"Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.0666951";"131.5012792";"https://maps.google.com/?cid=0x0:0x60164e450d5e6bd7"
"perumahan";"Otoritas Perumahan";"PERUMAHAN PEMDA KM. 24 KABUPATEN SORONG";"2977+V9F, Aimas, Kec. Aimas, Kabupaten Sorong, Papua Bar. 98415";"Aimas, Kec. Aimas, Kabupaten Sorong";"PAPUA BARAT";"98415";"Indonesia";"";"-0.98532";"131.3634064";"https://maps.google.com/?cid=0x0:0x2b14f9bf12be9501"
"perumahan";"Komplek perumahan";"Aimas Perumahan KPR Jl.sagu";"28VV+3CV, Aimas, Kec. Aimas, Kabupaten Sorong, Papua Bar. 98414";"Aimas, Kec. Aimas, Kabupaten Sorong";"PAPUA BARAT";"98414";"Indonesia";" 082198076120";"-0.957256";"131.343547";"https://maps.google.com/?cid=0x0:0x9726bc905534e648"
"perumahan";"Komplek perumahan";"AIMAS REGENCI";"X9WQ+XMQ, Aimas, Kec. Aimas, Kabupaten Sorong, Papua Bar. 98415";"Aimas, Kec. Aimas, Kabupaten Sorong";"PAPUA BARAT";"98415";"Indonesia";"";"-1.0025481";"131.3892239";"https://maps.google.com/?cid=0x0:0xc4b0ed1cad52ee56"
"perumahan";"Otoritas Perumahan";"Perumahan Joannata Residence Aimas Dream";"Sorong - Klamono Kilo 21, Aimas, Kec. Aimas, Kabupaten Sorong, Papua Bar. 98414";"Aimas, Kec. Aimas, Kabupaten Sorong";"PAPUA BARAT";"98414";"Indonesia";" 081222801992";"-0.9689377";"131.3412019";"https://maps.google.com/?cid=0x0:0x4f80bccd675a4391"
"perumahan";"Komplek perumahan";"𝕻𝖔𝖉𝖆𝖝";"VFHR+45, Klamono, Distrik Klamono, Kabupaten Sorong, Papua Bar. 98457";"Klamono, Distrik Klamono, Kabupaten Sorong";"PAPUA BARAT";"98457";"Indonesia";"";"-1.1220796";"131.4903823";"https://maps.google.com/?cid=0x0:0x1e2c066fdff34044"
"perumahan";"Komplek perumahan";"Rumah HENGKI";"WF99+2MC, Klalomon, Distrik Klamono, Kabupaten Sorong, Papua Bar. 98457";"Klalomon, Distrik Klamono, Kabupaten Sorong";"PAPUA BARAT";"98457";"Indonesia";"";"-1.0824272";"131.4691377";"https://maps.google.com/?cid=0x0:0x8cab30f156682ce0"
"perumahan";"Komplek perumahan";"KPR CENRAWASIH GREEN PARK 1";"28PH+XP3, Malawili, Kec. Aimas, Kabupaten Sorong, Papua Bar. 98414";"Malawili, Kec. Aimas, Kabupaten Sorong";"PAPUA BARAT";"98414";"Indonesia";"";"-0.9626208";"131.329288";"https://maps.google.com/?cid=0x0:0x32bc2269675a6936"
"perumahan";"Otoritas Perumahan";"INTI RESIDENCE";"29CC+6X, Aimas, Kec. Aimas, Kabupaten Sorong, Papua Bar. 98414";"Aimas, Kec. Aimas, Kabupaten Sorong";"PAPUA BARAT";"98414";"Indonesia";"";"-0.9794957";"131.3724273";"https://maps.google.com/?cid=0x0:0xca7cf57b5d711e4a"
"perumahan";"Komplek perumahan";"Twentyfour City";"2987+5MG, Aimas, Kec. Aimas, Kabupaten Sorong, Papua Bar. 98415";"Aimas, Kec. Aimas, Kabupaten Sorong";"PAPUA BARAT";"98415";"Indonesia";"";"-0.984565";"131.364209";"https://maps.google.com/?cid=0x0:0xbde86ca7ff8af678"
"perumahan";"Komplek perumahan";"Perumahan Divisi I Klasafet";"WG7X+6X, Maladuk, Distrik Klamono, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.0868925";"131.5500456";"https://maps.google.com/?cid=0x0:0xe83fe1f3e920a026"
"perumahan";"Pembangunan Perumahan";"Komplex Distrik Klamono (S.P.D) _ Rumah Dewika Klamono";"VF8G+VX, Klawana, Distrik Klamono, Kabupaten Sorong, Papua Bar. 98457";"Klawana, Distrik Klamono, Kabupaten Sorong";"PAPUA BARAT";"98457";"Indonesia";"";"-1.1328447";"131.4774787";"https://maps.google.com/?cid=0x0:0xf53f824735e052cc"
"perumahan";"Kantor Perusahaan";"AIMO PERMAI PT. SOMA GRAHA PERSADA";"293G+M74, Aimas, Kec. Aimas, Kabupaten Sorong, Papua Bar. 98415";"Aimas, Kec. Aimas, Kabupaten Sorong";"PAPUA BARAT";"98415";"Indonesia";" 085254353580";"-0.9958501";"131.3757077";"https://maps.google.com/?cid=0x0:0xea74f2ab30627397"
"perumahan";"Komplek perumahan";"Negara Perempuan Bisi";"XCH5+C9R, Mariat Gn., Kec. Aimas, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.0214016";"131.4084214";"https://maps.google.com/?cid=0x0:0x670b5ae4b88e8cee"
"perumahan";"perumahan";"Papua Bar. 98453";"Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.3400215";"131.6410914";"https://maps.google.com/?cid=0x0:0x3be69fb5df79c3fb"
"perumahan";"perumahan";"Kampung Klamak, Distrik Beraur";"Jl. Klawan No. O7, Distrik Beraur, Kabupaten Sorong, Papua Bar. Daya";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.282355";"131.7019038";"https://maps.google.com/?cid=0x0:0x684148772828a5f3"
"perumahan";"Perhimpunan Pengembang Perumahan";"Kampung wensi, distrik beraur";"PQ23+376, Wensi, Distrik Beraur, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.2998452";"131.7531421";"https://maps.google.com/?cid=0x0:0x7c6d303abea1fbf6"
"perumahan";"Perhimpunan Pengembang Perumahan";"DESA BOTAIN";"GGGG+HWX, Hutan, Kec. Hutan, Kabupaten Sorong, Papua Bar. 98453";"Hutan, Kec. Hutan, Kabupaten Sorong";"PAPUA BARAT";"98453";"Indonesia";"";"-1.4735052";"131.5273611";"https://maps.google.com/?cid=0x0:0x663b468581d2c04c"
"perumahan";"perumahan";"Kampung Klasawon";"PQXV+QC6, Kaas, Distrik Beraur, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.2505833";"131.7935016";"https://maps.google.com/?cid=0x0:0x616e010faca5bead"
"perumahan";"Komplek perumahan";"Mimpe";"HPP9+6F, Hutan, Kec. Hutan, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.4144614";"131.7187152";"https://maps.google.com/?cid=0x0:0xc1115ba427f59f88"
"perumahan";"Komplek perumahan";"Kampung Kass";"PP4C+HW, Kaas, Distrik Beraur, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.2935222";"131.7222476";"https://maps.google.com/?cid=0x0:0xb7e83ee39ccd3807"
"perumahan";"Komplek perumahan";"Wensi";"MQX2+RR7, Jalan lewi distrik, Klarion, Distrik Beraur, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.300472";"131.7520316";"https://maps.google.com/?cid=0x0:0x4cce31e8f291d869"
"perumahan";"perumahan";"Distrik Klabot";"Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.3398522";"131.7726302";"https://maps.google.com/?cid=0x0:0xc080466b0abc7b60"
"perumahan";"Komplek perumahan";"PERUMAHAN DINKES KLABOT";"JRX4+RH, Indiwi, Distrik Klabot, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.35035";"131.806244";"https://maps.google.com/?cid=0x0:0x342b8ea9bab0ea3b"
"perumahan";"Komplek perumahan";"Distrik klabot";"MQ6F+332, Klais, Distrik Klabot, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.3398522";"131.7726302";"https://maps.google.com/?cid=0x0:0x5e78cf0b890f3953"
"perumahan";"Komplek perumahan";"Mimpe";"HPP9+6F, Hutan, Kec. Hutan, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.4144614";"131.7187152";"https://maps.google.com/?cid=0x0:0xc1115ba427f59f88"
"perumahan";"Komplek perumahan";"Komplekx AJ";"GVGG+R9Q, Sayal, Distrik Seremuk, Kabupaten Sorong Selatan, Papua Bar. 98454";"Sayal, Distrik Seremuk, Kabupaten Sorong Selatan";"PAPUA BARAT";"98454";"Indonesia";" 081572822814";"-1.4729133";"131.8759782";"https://maps.google.com/?cid=0x0:0x14d918a0add0d22f"
"perumahan";"Pembangunan Perumahan";"Distrik Buk";"MQ5F+X8J Buk, Klais, Distrik Klabot, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.340029";"131.7732713";"https://maps.google.com/?cid=0x0:0x98e0ef06e4c99caa"
"perumahan";"Komplek perumahan";"Kampung Mlakhan";"MQ5F+7Q, Mimpe, Mlakhan, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.3418125";"131.7744375";"https://maps.google.com/?cid=0x0:0xac55bb55932e5a10"
"perumahan";"Komplek perumahan";"Kampung Kotolo ( Sagaret Family )";"HWR5+2F3, Kampung Kotolo, Distrik Saifi, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.4099955";"131.9086686";"https://maps.google.com/?cid=0x0:0xb910045d270546dc"
"perumahan";"Komplek perumahan";"Perumahan Pertamina Klademak 3B Sorong";"Jl. Tulip No.8, RT.004/RW.008, Kelurahan Kofkerbu, Distrik Sorong, Kota Sorong, Papua Bar. 98412";"RT.004/RW.008, Kelurahan Kofkerbu, Distrik Sorong, Kota Sorong";"PAPUA BARAT";"98412";"Indonesia";"";"-0.8807763";"131.2768572";"https://maps.google.com/?cid=0x0:0xe16c2d531adc05dc"
"perumahan";"perumahan";"Papua Bar. 98456";"Papua Bar.";"Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.2191286";"131.8799408";"https://maps.google.com/?cid=0x0:0x1193e0fa67947a8b"
"perumahan";"Pembangunan Perumahan";"Komplex Distrik Klamono (S.P.D) _ Rumah Dewika Klamono";"VF8G+VX, Klawana, Distrik Klamono, Kabupaten Sorong, Papua Bar. 98457";"Klawana, Distrik Klamono, Kabupaten Sorong";"PAPUA BARAT";"98457";"Indonesia";"";"-1.1328447";"131.4774787";"https://maps.google.com/?cid=0x0:0xf53f824735e052cc"
"perumahan";"Kantor Hubungan Masyarakat";"Klamono Olie";"Klamono Olie, Klasafet, Kabupaten Sorong, Papua Barat Daya, 98442";"Klasafet, Kabupaten Sorong";"PAPUA BARAT";"98442";"Indonesia";"";"-1.1246421";"131.5015915";"https://maps.google.com/?cid=0x0:0xe0cff1c8e98a8f77"
"perumahan";"Perhimpunan Pengembang Perumahan";"KAMPUNG MALASMILIY";"VFGM+JGX, Klamono, Distrik Klamono, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.1233761";"131.4838729";"https://maps.google.com/?cid=0x0:0xe53258c7dcb99408"
"perumahan";"Komplek perumahan";"Kampung Klalin Mos";"VRFM+6M8, Mlabolo, Distrik Sawiat, Kabupaten Sorong Selatan, Papua Bar. 98456";"Mlabolo, Distrik Sawiat, Kabupaten Sorong Selatan";"PAPUA BARAT";"98456";"Indonesia";"";"-1.1269681";"131.8342085";"https://maps.google.com/?cid=0x0:0x47a1129e2b6a475"
"perumahan";"perumahan";"Klamono pt.hip";"WHP8+RX, Maladofok, Kec. Sayosa, Kabupaten Sorong, Papua Bar.";"Kabupaten Sorong, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.0629357";"131.5674896";"https://maps.google.com/?cid=0x0:0x546b2ddfa415c6fd"
