Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"perumahan";"Distrik Fokour";"Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.1621937";"132.0207079";"https://maps.google.com/?cid=0x0:0xca5b0bfb905adc24"
"perumahan";"Pembangunan Perumahan";"Kampung pasir putih, Distrik fkour, kab.sorong selatan";"RXWP+RC, Pasir Putih, Distrik Fokour, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.1529656";"131.9860607";"https://maps.google.com/?cid=0x0:0xbb12c2fc60eefa3a"
"perumahan";"Pembangunan Perumahan";"Pasir Putih";"R2PC+WQ, Bemus, Distrik Fokour, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.162701";"132.021956";"https://maps.google.com/?cid=0x0:0x51df979d8a5bb255"
"perumahan";"Komplek perumahan";"Kampung garma";"RXX6+7M, Klamit, Distrik Sawiat, Kabupaten Sorong Selatan, Papua Bar. 98461";"Klamit, Distrik Sawiat, Kabupaten Sorong Selatan";"PAPUA BARAT";"98461";"Indonesia";"";"-1.150763";"131.962113";"https://maps.google.com/?cid=0x0:0x638a663d24624a9e"
"perumahan";"Pembangunan Perumahan";"Pasir putih,kab.sorong selalu, Indonesia";"RXWM+JG6, Pasir Putih, Distrik Fokour, Kabupaten Sorong Selatan, Papua Bar. 98461";"Pasir Putih, Distrik Fokour, Kabupaten Sorong Selatan";"PAPUA BARAT";"98461";"Indonesia";"";"-1.153455";"131.9837685";"https://maps.google.com/?cid=0x0:0xf27eef78192770b"
"perumahan";"Komplek perumahan";"Kampung Wen";"QX99+VPP, Wen, Distrik Sawiat, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.2302998";"131.9693385";"https://maps.google.com/?cid=0x0:0xe02f6b078a3bb28f"
"perumahan";"Pembangunan Perumahan";"Kampung siri siri Distrik Inanwatan";"V48G+44F, Mugim, Kec. Matemani, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.1346821";"132.1252945";"https://maps.google.com/?cid=0x0:0xcfe5ae37311baf33"
"perumahan";"perumahan";"Distrik Inanwatan";"Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.1273304";"132.1663024";"https://maps.google.com/?cid=0x0:0x871fec0706e82bc5"
"perumahan";"Layanan Transportasi";"Bandara Inanwatan";"V5C7+W64, Mate, Distrik Inanwatan, Kabupaten Sorong Selatan, Papua Bar. 98455";"Mate, Distrik Inanwatan, Kabupaten Sorong Selatan";"PAPUA BARAT";"98455";"Indonesia";" 082196826597";"-2.1277487";"132.1630745";"https://maps.google.com/?cid=0x0:0xd0b9c5c7d40453cc"
"perumahan";"perumahan";"Anak Bsm";"V5F8+C9H, Mate, Distrik Inanwatan, Kabupaten Sorong Selatan, Papua Bar. 98455";"Mate, Distrik Inanwatan, Kabupaten Sorong Selatan";"PAPUA BARAT";"98455";"Indonesia";"";"-2.1261053";"132.1667035";"https://maps.google.com/?cid=0x0:0x9b2ca39ae5d93410"
"perumahan";"perumahan";"Kompleks bidaru";"V5H9+22V, Mate, Distrik Inanwatan, Kabupaten Sorong Selatan, Papua Bar. 98455";"Mate, Distrik Inanwatan, Kabupaten Sorong Selatan";"PAPUA BARAT";"98455";"Indonesia";"";"-2.1223756";"132.1675403";"https://maps.google.com/?cid=0x0:0x810535d31569916c"
"perumahan";"perumahan";"Kec. Matemani";"Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.9496392";"132.2312838";"https://maps.google.com/?cid=0x0:0xced62b996f227502"
"perumahan";"Komplek perumahan";"Kampung Korewatara";"Q9Q7+92, Totona, Distrik Kokoda, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.2115472";"132.3625007";"https://maps.google.com/?cid=0x0:0xdf8c89e2578d760"
"perumahan";"perumahan";"Distrik Kokoda";"Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.1274352";"132.4263464";"https://maps.google.com/?cid=0x0:0xa783056c2a04f79f"
"perumahan";"Komplek perumahan";"Kampung Birawaku";"V92J+M5, Negeri Besar, Distrik Kokoda, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.1483545";"132.3804675";"https://maps.google.com/?cid=0x0:0xc67e15e9b9957e55"
"perumahan";"perumahan";"Kampung Migori";"Q86F+7X8, Migori, Distrik Kokoda, Kabupaten Sorong Selatan, Papua Bar. Daya";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.2393498";"132.324948";"https://maps.google.com/?cid=0x0:0xb55c7824574c1e72"
"perumahan";"Komplek perumahan";"Kampung Migori";"Q9Q7+W5, Totona, Distrik Kokoda, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.2101716";"132.3629111";"https://maps.google.com/?cid=0x0:0x3f545aa2d313c66a"
"perumahan";"Komplek perumahan";"Kampung Arbasina";"V92J+M5, Negeri Besar, Distrik Kokoda, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.1495205";"132.3788565";"https://maps.google.com/?cid=0x0:0x3a54349c7a030099"
"perumahan";"Kantor Pemerintah";"Kampung Nebes";"VCCG+V2P, Nayakore, Distrik Kokoda, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.1285525";"132.4250616";"https://maps.google.com/?cid=0x0:0x741c945bd2e7abbc"
"perumahan";"Sekolah menengah";"Asrama Siswa SMP Negeri 1 Kokoda/Tarof";"QCJV+4J5, Jalan tergerai, kampung Trof, Distrik Kokoda, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.2197336";"132.4440949";"https://maps.google.com/?cid=0x0:0xe1e021925153cdf9"
"perumahan";"perumahan";"Tanite tan";"P9RP+43, Korewatara, Distrik Kokoda, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.2596807";"132.3852495";"https://maps.google.com/?cid=0x0:0x35ab6cc658e801fc"
"perumahan";"Komplek perumahan";"Kampung Kasuweri";"V92J+M5, Negeri Besar, Distrik Kokoda, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.148576";"132.3793373";"https://maps.google.com/?cid=0x0:0xeb1cd6f8e75f3985"
"perumahan";"perumahan";"Kec. Kokoda Utara";"Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.8762266";"132.3641297";"https://maps.google.com/?cid=0x0:0xa4294849d564b6d1"
"perumahan";"Komplek perumahan";"Kampung nayakore";"VC7C+RXF, Nayakore, Distrik Kokoda, Kabupaten Sorong Selatan, Papua Bar. 98455";"Nayakore, Distrik Kokoda, Kabupaten Sorong Selatan";"PAPUA BARAT";"98455";"Indonesia";"";"-2.1354464";"132.4224095";"https://maps.google.com/?cid=0x0:0x6ce289d9819fde00"
"perumahan";"Kantor Pemerintah";"Kampung kamundan dua";"3CXH+P79, Kamundan, Kec. Kokoda Utara, Kabupaten Sorong Selatan, Papua Bar. 98455";"Kamundan, Kec. Kokoda Utara, Kabupaten Sorong Selatan";"PAPUA BARAT";"98455";"Indonesia";"";"-1.9007247";"132.4282484";"https://maps.google.com/?cid=0x0:0xd2af8eae637702ed"
"perumahan";"Pembangunan Perumahan";"Kampung mukere";"49JP+9Q, Sumano, Kais, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.8691101";"132.3869118";"https://maps.google.com/?cid=0x0:0xca241f68a2a34bbe"
"perumahan";"Pembangunan Perumahan";"Kampung benawa 1";"49MQ+M5, Sumano, Kais, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.8658187";"132.3878939";"https://maps.google.com/?cid=0x0:0xf7f12820ba9a0af6"
"perumahan";"Perhimpunan Pengembang Perumahan";"Pelabuhan kampung KAURI";"49QQ+24, Sumano, Kais, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.8624905";"132.3878684";"https://maps.google.com/?cid=0x0:0xcd86fa82918e5757"
"perumahan";"Kantor Pemerintah";"Kampung Nebes";"VCCG+V2P, Nayakore, Distrik Kokoda, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.1285525";"132.4250616";"https://maps.google.com/?cid=0x0:0x741c945bd2e7abbc"
"perumahan";"Komplek perumahan";"Kampung Birawaku";"V92J+M5, Negeri Besar, Distrik Kokoda, Kabupaten Sorong Selatan, Papua Bar.";"Kabupaten Sorong Selatan, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-2.1483545";"132.3804675";"https://maps.google.com/?cid=0x0:0xc67e15e9b9957e55"
"perumahan";"perumahan";"Papua Bar.";"";"Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-1.3361154";"133.1747162";"https://maps.google.com/?cid=0x0:0x5349c1f8c5c7cb62"
"perumahan";"Perhimpunan Pengembang Perumahan";"Rumah";"Blok F No 10, Pasir Putih, Kec. Sawangan, Kota Depok, Jawa Barat 16519";"Pasir Putih, Kec. Sawangan, Kota Depok";"PAPUA BARAT";"16519";"Indonesia";"";"-6.4260468";"106.7794935";"https://maps.google.com/?cid=0x0:0x8d2cdc3e6e8b3fc8"
"perumahan";"Komplek perumahan";"Rumah Konda";"Jl. Griya Sawangan Asri No.A1 No.9, Pasir Putih, Kec. Sawangan, Kota Depok, Jawa Barat 16519";"Pasir Putih, Kec. Sawangan, Kota Depok";"PAPUA BARAT";"16519";"Indonesia";"";"-6.4255403";"106.7841888";"https://maps.google.com/?cid=0x0:0x10fed7b87c190957"
