Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
mall,Pusat Perbelanjaan,Puri Indah Mall,"Jl. Puri Agung No.1, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat",PAPUA BARAT,11610.0,Indonesia,215822582.0,-6.1887759,106.7347896,https://maps.google.com/?cid=0x0:0x6653aecc17740a12
mall,Pusat Perbelanjaan,Lippo Mall Puri,"Jl. Puri Indah Raya Blok U 1, RT.3/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","RT.3/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat",PAPUA BARAT,11610.0,Indonesia,2129111111.0,-6.1884554,106.7389094,https://maps.google.com/?cid=0x0:0x41cca4768f8bf65b
mall,Toko,Miniso,"Jl. Puri Agung 132, RT.1/RW.2, South Kembangan, Kembangan, West Jakarta City, Jakarta 11610","RT.1/RW.2, South Kembangan, Kembangan, West Jakarta City",PAPUA BARAT,11610.0,Indonesia,,-6.1882425,106.7334451,https://maps.google.com/?cid=0x0:0x19c73531024ba1e7
mall,Restoran,HokBen - Puri Indah Mall,"Jl. Puri Agung F2241, RT.1/RW.2, South Kembangan, Kembangan, West Jakarta City, Jakarta 11610","RT.1/RW.2, South Kembangan, Kembangan, West Jakarta City",PAPUA BARAT,11610.0,Indonesia,211500505.0,-6.1885537,106.7342977,https://maps.google.com/?cid=0x0:0x2ba200ac07b52a3c
mall,Toko Ponsel,Samsung PIM (Puri Indah Mall),"Puri Indah Mall, lantai 1 145 - 146, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","lantai 1 145 - 146, Kota Jakarta Barat",PAPUA BARAT,11610.0,Indonesia,8175721971.0,-6.1890286,106.7334879,https://maps.google.com/?cid=0x0:0x18788b3bce781cdb
mall,Layanan produk berbulu,XL Center Puri Indah Mal (XL-Axis Center),"Puri Indah Mall, Jl. Puri Agung No.1 Lt. 1, RT.1/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","Jl. Puri Agung No.1 Lt. 1, RT.1/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat",PAPUA BARAT,11610.0,Indonesia,,-6.188487,106.7335586,https://maps.google.com/?cid=0x0:0xa19eb022553e9703
mall,Pujasera,Food Court Puri Indah Mall,"Blok, Jl. Puri Lkr. Luar Blok T4 No.1, RT.1/RW.2, South Kembangan, Kembangan, West Jakarta City, Jakarta 11610","Jl. Puri Lkr. Luar Blok T4 No.1, RT.1/RW.2, South Kembangan, Kembangan, West Jakarta City",PAPUA BARAT,11610.0,Indonesia,,-6.188876,106.7337073,https://maps.google.com/?cid=0x0:0x8528e93aee99e14f
mall,mall,Papua Bar. 98473,"Kabupaten Tambrauw, Papua Bar.","Kabupaten Tambrauw, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.5563335,132.3938375,https://maps.google.com/?cid=0x0:0x105d75abdd98e1ee
mall,Toko Kue,CV ABUNMART INDO PRIMA (Abun Aneka Plastik OLSHOP),"GERBANG ABUN, Jl. Kubur Islam No.12A, RT.9/RW.10, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220","Jl. Kubur Islam No.12A, RT.9/RW.10, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan",PAPUA BARAT,12220.0,Indonesia,8119412179.0,-6.2306881,106.7826985,https://maps.google.com/?cid=0x0:0x28facb10163a1603
mall,Pemasok Produk Plastik,TOKO PLASTIK ANPLAS,"Jl. Sawo II No.1, RT.2/RW.3, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12150","RT.2/RW.3, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan",PAPUA BARAT,12150.0,Indonesia,81227898221.0,-6.2620402,106.8003551,https://maps.google.com/?cid=0x0:0x599a6e3c24d2e134
mall,Pusat Perbelanjaan,Mall Taman Anggrek,"Jl. Letjen S. Parman, RT.12/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","RT.12/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat",PAPUA BARAT,11470.0,Indonesia,215643777.0,-6.1782936,106.7924023,https://maps.google.com/?cid=0x0:0xb287bf108f4ef441
mall,Pusat Perbelanjaan,Central Park,"Jl. Letjen S. Parman No.Kav. 28, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat",PAPUA BARAT,11470.0,Indonesia,2156989999.0,-6.1771373,106.7909788,https://maps.google.com/?cid=0x0:0xe816d65037c3207a
mall,Toko Pakaian,Kingkoil - Central Park,"Sogo Central park, Jl. S. Parman kav No.28 lantai 2, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","Jl. S. Parman kav No.28 lantai 2, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat",PAPUA BARAT,11470.0,Indonesia,85890768806.0,-6.1783433,106.7901535,https://maps.google.com/?cid=0x0:0x38928129d6be9cc3
mall,Taman Kota,Tribeca Park,"Letjen S. Parman No.28, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat",PAPUA BARAT,11470.0,Indonesia,,-6.1772515,106.7904697,https://maps.google.com/?cid=0x0:0xf771f6dc512bd1a1
mall,Perusahaan elektronik,PT. Indotara Persada - Marketing Office,"DKI, Central Park, APL Tower 6th Floor No. 6, RT.12/RW.7, Daerah Khusus Ibukota Jakarta 11440","Central Park, APL Tower 6th Floor No. 6, RT.12/RW.7",PAPUA BARAT,11440.0,Indonesia,2150203030.0,-6.1762896,106.7919234,https://maps.google.com/?cid=0x0:0x400fc3464381299e
mall,Pusat Perbelanjaan,Mega Mall Sorong,"Jalan Basuki Rahmat Klabulu, Malaimsimsa, Malaingkedi, Kec. Sorong Utara, Kota Sorong, Papua Bar. 98412","Malaimsimsa, Malaingkedi, Kec. Sorong Utara, Kota Sorong",PAPUA BARAT,98412.0,Indonesia,,-0.8873097,131.3012842,https://maps.google.com/?cid=0x0:0x364e52ce8985aa7
