Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
perumahan,perumahan,Abun,"Kabupaten Tambrauw, Papua Bar.","Kabupaten Tambrauw, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.4695379,132.7466993,https://maps.google.com/?cid=0x0:0x6bbce6bcca6e4a28
perumahan,Balai masyarakat,Resye Abun Kab_Tambrauw,"JCV5+WW6, Saubeba, Abun, Kabupaten Tambrauw, Papua Bar. 98473","Saubeba, Abun, Kabupaten Tambrauw",PAPUA BARAT,98473.0,Indonesia,,-0.3552157,132.4097777,https://maps.google.com/?cid=0x0:0xbe2eb106604dbd43
perumahan,Komplek perumahan,Kampung Syukwo,"JJJW+9J7, Warmandi, Abun, Kabupaten Tambrauw, Papua Bar.","Kabupaten Tambrauw, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.3690842,132.6465455,https://maps.google.com/?cid=0x0:0xd82a3c93e058416c
perumahan,Perhimpunan Pengembang Perumahan,Kampung Weyaf,"HV2P+5M8, Weyaf, Abun, Kabupaten Tambrauw, Papua Bar. 98371","Weyaf, Abun, Kabupaten Tambrauw",PAPUA BARAT,98371.0,Indonesia,,-0.4495953,132.8866985,https://maps.google.com/?cid=0x0:0xed9e22c52c911586
perumahan,perumahan,Pastori GKI Imanuel Wau,"FV9V+H6R, Weyaf, Abun, Kabupaten Tambrauw, Papua Bar. 98371","Weyaf, Abun, Kabupaten Tambrauw",PAPUA BARAT,98371.0,Indonesia,,-0.5310006,132.8930179,https://maps.google.com/?cid=0x0:0xba1c2d6d96eb19f0
perumahan,Komplek perumahan,Teras Abi,"JJJW+GFW, Warmandi, Abun, Kabupaten Tambrauw, Papua Bar.","Kabupaten Tambrauw, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.3686473,132.6461933,https://maps.google.com/?cid=0x0:0x7b32bfd47af0fef3
perumahan,Komplek perumahan,Kantor Kampung Resye,"JCV5+WVF, Saubeba, Abun, Kabupaten Tambrauw, Papua Bar. 98473","Saubeba, Abun, Kabupaten Tambrauw",PAPUA BARAT,98473.0,Indonesia,,-0.3551812,132.40966,https://maps.google.com/?cid=0x0:0x5fd162fe58496385
perumahan,perumahan,Papua Bar. 98371,Papua Bar.,Papua Bar.,PAPUA BARAT,,Indonesia,,-0.6071799,132.941698,https://maps.google.com/?cid=0x0:0xccfddd95cd14e2b2
perumahan,Komplek perumahan,Kampung Sabon,"F3JH+3HV, Saukorem, Distrik Amberbaken, Kabupaten Tambrauw, Papua Bar. 98371","Saukorem, Distrik Amberbaken, Kabupaten Tambrauw",PAPUA BARAT,98371.0,Indonesia,,-0.5197698,133.0789375,https://maps.google.com/?cid=0x0:0x4870fb4b5ca641f5
perumahan,Komplek perumahan,Kampung Wefiani,"F43Q+C2, Serayo, Distrik Amberbaken, Kabupaten Manokwari, Papua Bar.","Kabupaten Manokwari, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.5464871,133.1375693,https://maps.google.com/?cid=0x0:0xf8c7ae4d45f615a4
perumahan,Komplek perumahan,Kampung Barona,"557M+9RX, Kebar Tengah, Kebar, Kabupaten Tambrauw, Papua Bar.","Kabupaten Tambrauw, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.8365006,133.1846072,https://maps.google.com/?cid=0x0:0x1e61487534e976db
perumahan,Perhimpunan Pengembang Perumahan,Kampung Weyaf,"HV2P+5M8, Weyaf, Abun, Kabupaten Tambrauw, Papua Bar. 98371","Weyaf, Abun, Kabupaten Tambrauw",PAPUA BARAT,98371.0,Indonesia,,-0.4495953,132.8866985,https://maps.google.com/?cid=0x0:0xed9e22c52c911586
perumahan,Komplek perumahan,Wau Papua barat,"HV2P+R94, Weyaf, Wau, Kabupaten Tambrauw, Papua Bar.","Kabupaten Tambrauw, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.4479797,132.8859493,https://maps.google.com/?cid=0x0:0x105d419539fd02f7
perumahan,perumahan,Pastori GKI Imanuel Wau,"FV9V+H6R, Weyaf, Abun, Kabupaten Tambrauw, Papua Bar. 98371","Weyaf, Abun, Kabupaten Tambrauw",PAPUA BARAT,98371.0,Indonesia,,-0.5310006,132.8930179,https://maps.google.com/?cid=0x0:0xba1c2d6d96eb19f0
perumahan,Komplek perumahan,Kampung Beriambeker,"8874+4VX, Jl. Poros, Udapi Hilir, Mubarni / Arfu, Kabupaten Manokwari, Papua Bar.","Kabupaten Manokwari, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.687142,133.3072294,https://maps.google.com/?cid=0x0:0x5cd20a671d205ec6
perumahan,Perhimpunan Pengembang Perumahan,RumahSita mahu,"96MP+7X, Mangganek / Arupi, Distrik Amberbaken, Kabupaten Manokwari, Papua Bar.","Kabupaten Manokwari, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.6162709,133.237491,https://maps.google.com/?cid=0x0:0xaf97c1392dae593d
perumahan,Pembangunan Perumahan,Kampung Serayo,"96X8+P88, Kampung Wekari, Distrik Mpur, Kab.Tambrauw, Papua Bar.","Kab.Tambrauw, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.6007223,133.215818,https://maps.google.com/?cid=0x0:0xa0bb6f2aa419a1d9
perumahan,Komplek perumahan,Chya Kuning,"882C+JX, Bereambeker / Meriambeker, Kabupaten Manokwari, Papua Bar.","Kabupaten Manokwari, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.6984795,133.322411,https://maps.google.com/?cid=0x0:0xd90ada53c836289c
perumahan,Komplek perumahan,Mangganek,"96MR+3C, Mangganek / Arupi, DistrikMpur, Kabupaten Manokwari, Papua Bar.","Kabupaten Manokwari, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.6173125,133.2410625,https://maps.google.com/?cid=0x0:0xbcbff5068bf6446d
perumahan,perumahan,Papua Bar. 98372,"Kabupaten Manokwari, Papua Bar.","Kabupaten Manokwari, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.9989582,133.0194897,https://maps.google.com/?cid=0x0:0xd3aecb81246ce306
perumahan,Balai masyarakat,Site Inambuari,"542W+24, Kebar Tengah, Kebar, Kabupaten Manokwari, Papua Bar. 98372","Kebar Tengah, Kebar, Kabupaten Manokwari",PAPUA BARAT,98372.0,Indonesia,,-0.84998,133.14526,https://maps.google.com/?cid=0x0:0xf93e0a553355c4bb
perumahan,Komplek perumahan,Kampung Barona,"557M+9RX, Kebar Tengah, Kebar, Kabupaten Tambrauw, Papua Bar.","Kabupaten Tambrauw, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.8365006,133.1846072,https://maps.google.com/?cid=0x0:0x1e61487534e976db
perumahan,perumahan,sanger home,"5W7H+3V6, Wausin, Senopi, Kabupaten Manokwari, Papua Bar. 98372","Wausin, Senopi, Kabupaten Manokwari",PAPUA BARAT,98372.0,Indonesia,,-0.8371279,132.9296454,https://maps.google.com/?cid=0x0:0xa00ca14d77fb1809
perumahan,Pembangunan Perumahan,Kampung naranati,"X35H+V46, Atay, Kebar, Kabupaten Manokwari, Papua Bar. 98372","Atay, Kebar, Kabupaten Manokwari",PAPUA BARAT,98372.0,Indonesia,,-1.0403328,133.0777555,https://maps.google.com/?cid=0x0:0x7de1bba357dcdcc2
perumahan,Komplek perumahan,Kampung Ruf,"2MCG+J8, Kebar Bar. / Senopi, Senopi, Kabupaten Manokwari, Papua Bar.","Kabupaten Manokwari, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.9784997,132.6756673,https://maps.google.com/?cid=0x0:0xc668bcc0411f930c
perumahan,Pembangunan Perumahan,Kampung Aritowi,"342V+47, Atay, Kebar, Kabupaten Manokwari, Papua Bar.","Kabupaten Manokwari, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.9496962,133.1432036,https://maps.google.com/?cid=0x0:0x25eb742434118822
perumahan,perumahan,Wufmana Ireres,"4WR6+JJ, Wausin, Senopi, Kabupaten Manokwari, Papua Bar.","Kabupaten Manokwari, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.8584163,132.9115905,https://maps.google.com/?cid=0x0:0xcaf4229f9a6eaa76
perumahan,Komplek perumahan,Kampung Amnan,"3527+FRQ Kampung Amnan, Selatan, Atay, Kebar, Kab Tambrauw, Papua Bar.","Kab Tambrauw, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.9487961,133.164609,https://maps.google.com/?cid=0x0:0x76e87caf225d4a6
perumahan,Pembangunan Perumahan,Esyak Sicor,"5H45+QG, Yabouw, Miyah, Kabupaten Tambrauw, Papua Bar.","Kabupaten Tambrauw, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.8430625,132.5588125,https://maps.google.com/?cid=0x0:0x4402219fce4033f0
perumahan,Pembangunan Perumahan,Kampung Arapi,"5W6Q+92, Afrawi, Senopi, Kabupaten Manokwari, Papua Bar.","Kabupaten Manokwari, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.8391125,132.9375207,https://maps.google.com/?cid=0x0:0xa9aa1d6fb8f5e3a4
perumahan,perumahan,Kampung Esyum II,"5H4G+X9, Yabouw, Miyah, Kabupaten Tambrauw, Papua Bar. 98473","Yabouw, Miyah, Kabupaten Tambrauw",PAPUA BARAT,98473.0,Indonesia,,-0.8428289,132.575921,https://maps.google.com/?cid=0x0:0xbe2a715c2324499c
perumahan,Pembangunan Perumahan,Kampung Atafrumek,"3MQW+3QJ, Ayapokiar, Miyah, Kabupaten Tambrauw, Papua Bar.","Kabupaten Tambrauw, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.9122764,132.6968918,https://maps.google.com/?cid=0x0:0x7cf98e83adb2378d
