Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"perumahan";"Abun";"Kabupaten Tambrauw, Papua Bar.";"Kabupaten Tambrauw, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-0.4695379";"132.7466993";"https://maps.google.com/?cid=0x0:0x6bbce6bcca6e4a28"
"perumahan";"Balai masyarakat";"Resye Abun Kab_Tambrauw";"JCV5+WW6, Saubeba, Abun, Kabupaten Tambrauw, Papua Bar. 98473";"Saubeba, Abun, Kabupaten Tambrauw";"PAPUA BARAT";"98473";"Indonesia";"";"-0.3552157";"132.4097777";"https://maps.google.com/?cid=0x0:0xbe2eb106604dbd43"
"perumahan";"Komplek perumahan";"Kampung Syukwo";"JJJW+9J7, Warmandi, Abun, Kabupaten Tambrauw, Papua Bar.";"Kabupaten Tambrauw, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-0.3690842";"132.6465455";"https://maps.google.com/?cid=0x0:0xd82a3c93e058416c"
"perumahan";"Perhimpunan Pengembang Perumahan";"Kampung Weyaf";"HV2P+5M8, Weyaf, Abun, Kabupaten Tambrauw, Papua Bar. 98371";"Weyaf, Abun, Kabupaten Tambrauw";"PAPUA BARAT";"98371";"Indonesia";"";"-0.4495953";"132.8866985";"https://maps.google.com/?cid=0x0:0xed9e22c52c911586"
"perumahan";"perumahan";"Pastori GKI Imanuel Wau";"FV9V+H6R, Weyaf, Abun, Kabupaten Tambrauw, Papua Bar. 98371";"Weyaf, Abun, Kabupaten Tambrauw";"PAPUA BARAT";"98371";"Indonesia";"";"-0.5310006";"132.8930179";"https://maps.google.com/?cid=0x0:0xba1c2d6d96eb19f0"
"perumahan";"Komplek perumahan";"Teras Abi";"JJJW+GFW, Warmandi, Abun, Kabupaten Tambrauw, Papua Bar.";"Kabupaten Tambrauw, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-0.3686473";"132.6461933";"https://maps.google.com/?cid=0x0:0x7b32bfd47af0fef3"
"perumahan";"Komplek perumahan";"Kantor Kampung Resye";"JCV5+WVF, Saubeba, Abun, Kabupaten Tambrauw, Papua Bar. 98473";"Saubeba, Abun, Kabupaten Tambrauw";"PAPUA BARAT";"98473";"Indonesia";"";"-0.3551812";"132.40966";"https://maps.google.com/?cid=0x0:0x5fd162fe58496385"
"perumahan";"perumahan";"Papua Bar. 98371";"Papua Bar.";"Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-0.6071799";"132.941698";"https://maps.google.com/?cid=0x0:0xccfddd95cd14e2b2"
"perumahan";"Komplek perumahan";"Kampung Sabon";"F3JH+3HV, Saukorem, Distrik Amberbaken, Kabupaten Tambrauw, Papua Bar. 98371";"Saukorem, Distrik Amberbaken, Kabupaten Tambrauw";"PAPUA BARAT";"98371";"Indonesia";"";"-0.5197698";"133.0789375";"https://maps.google.com/?cid=0x0:0x4870fb4b5ca641f5"
"perumahan";"Komplek perumahan";"Kampung Wefiani";"F43Q+C2, Serayo, Distrik Amberbaken, Kabupaten Manokwari, Papua Bar.";"Kabupaten Manokwari, Papua Bar.";"PAPUA BARAT";"";"Indonesia";"";"-0.5464871";"133.1375693";"https://maps.google.com/?cid=0x0:0xf8c7ae4d45f615a4"
