Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
perumahan,perumahan,Papua Bar. 98413,"Klabala, Distrik Sorong Barat, Kota Sorong, Papua Bar.","Kota Sorong, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.8669518,131.254029,https://maps.google.com/?cid=0x0:0x352e1f254d39ea2b
perumahan,Perumahan,Perumahan Grand Efata Malibela,"Jl. Malibela, Klawalu, Kecamatan Sorong Manoi, Kota Sorong, Papua Bar. 98413","Klawalu, Kecamatan Sorong Manoi, Kota Sorong",PAPUA BARAT,98413.0,Indonesia,82268235322.0,-0.90423,131.3118479,https://maps.google.com/?cid=0x0:0x600613eae3023432
perumahan,Komplek perumahan,PERUMAHAN SITORUS,"Klasabi, Kecamatan Sorong Manoi, Kota Sorong, Papua Bar.","Kota Sorong, Papua Bar.",PAPUA BARAT,,Indonesia,81217162873.0,-0.9038213,131.3002949,https://maps.google.com/?cid=0x0:0xd4ebf1635061dc83
perumahan,Pembangunan Perumahan,Kadar Malibela Residence,"Klawalu, Distrik Sorong Timur, Kota Sorong, Papua Bar.","Kota Sorong, Papua Bar.",PAPUA BARAT,,Indonesia,85279735292.0,-0.9054871,131.3096366,https://maps.google.com/?cid=0x0:0x81cdbed7e8767cf
perumahan,perumahan,CEMARA FAMILLY,"47J4+V33, Unnamed Road, Klabala, Distrik Sorong Barat, Kota Sorong, Papua Bar. 98411","Unnamed Road, Klabala, Distrik Sorong Barat, Kota Sorong",PAPUA BARAT,98411.0,Indonesia,,-0.8679732,131.2551719,https://maps.google.com/?cid=0x0:0xe6780a6dad3142be
perumahan,Komplek perumahan,Kios dhea al,"Jl. Kalimantan No.204, Klabala, Distrik Sorong Barat, Kota Sorong, Papua Bar. 98413","Klabala, Distrik Sorong Barat, Kota Sorong",PAPUA BARAT,98413.0,Indonesia,,-0.8667697,131.2538837,https://maps.google.com/?cid=0x0:0xa7f63becf22a6cb3
perumahan,Komplek perumahan,Kota Sorong,"Jl. Kalimantan No.54, RT.002/RW.03, kelrahan, Klabala, Distrik Sorong Barat, kota, Papua Bar. 98411","RT.002/RW.03, kelrahan, Klabala, Distrik Sorong Barat, kota",PAPUA BARAT,98411.0,Indonesia,,-0.8678626,131.2535437,https://maps.google.com/?cid=0x0:0xebc996fab748f75f
perumahan,Otoritas Perumahan,KPR Cendrawasih Green Park II,"KPR Cendrawasih Jl. Intimpura No.2, Klasuluk, Distrik Mariat, Kabupaten Sorong, Papua Bar. 98414","Klasuluk, Distrik Mariat, Kabupaten Sorong",PAPUA BARAT,98414.0,Indonesia,85344136166.0,-0.9956074,131.3226158,https://maps.google.com/?cid=0x0:0x35ba1499df7d40fd
perumahan,Komplek perumahan,Rumah Fadly blesia,"47M4+46R, Jl. Puncak Rafidim, Klabala, Distrik Sorong Barat, Kota Sorong, Papua Bar. 98411","Jl. Puncak Rafidim, Klabala, Distrik Sorong Barat, Kota Sorong",PAPUA BARAT,98411.0,Indonesia,,-0.8671465,131.2555214,https://maps.google.com/?cid=0x0:0xcbb4a8eef93a4246
perumahan,Komplek perumahan,keluarga banjar,"Jl. Kalimantan No.214, Klabala, Distrik Sorong Barat, Kota Sorong, Papua Bar. 98411","Klabala, Distrik Sorong Barat, Kota Sorong",PAPUA BARAT,98411.0,Indonesia,,-0.8670343,131.2540567,https://maps.google.com/?cid=0x0:0xf6a2f29aecc7a775
perumahan,Komplek perumahan,KPR CENRAWASIH GREEN PARK 1,"28PH+XP3, Malawili, Kec. Aimas, Kabupaten Sorong, Papua Bar. 98414","Malawili, Kec. Aimas, Kabupaten Sorong",PAPUA BARAT,98414.0,Indonesia,,-0.9626208,131.329288,https://maps.google.com/?cid=0x0:0x32bc2269675a6936
perumahan,Penginapan,AQWA D' WARMASEN,"Jl. Warmasen No.km. 13, Klamana, Distrik Sorong Timur, Kota Sorong, Papua Bar. 98416","Klamana, Distrik Sorong Timur, Kota Sorong",PAPUA BARAT,98416.0,Indonesia,,-0.9164321,131.3271369,https://maps.google.com/?cid=0x0:0x230398eb29e953eb
perumahan,Pembangunan Perumahan,PERUMAHAN GRAND EFATA MALIBELA SORONG,"Klawalu, Distrik Sorong Timur, Kota Sorong, Papua Bar.","Kota Sorong, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.9033693,131.3111473,https://maps.google.com/?cid=0x0:0x66bc0b68afac7328
perumahan,Komplek perumahan,Kel. Djahri Banjar,"Jl. Kalimantan No.214, Klabala, Distrik Sorong Barat, Kota Sorong, Papua Bar. 98411","Klabala, Distrik Sorong Barat, Kota Sorong",PAPUA BARAT,98411.0,Indonesia,,-0.8671717,131.2543055,https://maps.google.com/?cid=0x0:0x7965f291f4a553ed
perumahan,perumahan,Sorong,"Kota Sorong, Papua Bar.","Kota Sorong, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.8761629,131.255828,https://maps.google.com/?cid=0x0:0xe32b512ec6c6786
perumahan,Perumahan,Perumahan PRIMAVERA,"4868+VMF, Sawagumu, Kec. Sorong Utara, Kota Sorong, Papua Bar. 98416","Sawagumu, Kec. Sorong Utara, Kota Sorong",PAPUA BARAT,98416.0,Indonesia,,-0.8878074,131.3166657,https://maps.google.com/?cid=0x0:0x2462e3a5b347c433
perumahan,Perumahan,Perumahan Grand Efata Malibela,"Jl. Malibela, Klawalu, Kecamatan Sorong Manoi, Kota Sorong, Papua Bar. 98413","Klawalu, Kecamatan Sorong Manoi, Kota Sorong",PAPUA BARAT,98413.0,Indonesia,82268235322.0,-0.90423,131.3118479,https://maps.google.com/?cid=0x0:0x600613eae3023432
perumahan,Komplek perumahan,Perumahan jupiter,"nomor 3, Jl. Sungai Maruni No.km 10 blok b2","Kota Sorong, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.8871871,131.3215211,https://maps.google.com/?cid=0x0:0x121e521340c347d3
perumahan,Komplek perumahan,PERUMAHAN SITORUS,"Klasabi, Kecamatan Sorong Manoi, Kota Sorong, Papua Bar.","Kota Sorong, Papua Bar.",PAPUA BARAT,,Indonesia,81217162873.0,-0.9038213,131.3002949,https://maps.google.com/?cid=0x0:0xd4ebf1635061dc83
perumahan,Apartemen sewa liburan,Perumahan residence,"Q2, Jl. Tanjung Medan, Malaingkedi, Kec. Sorong Utara, Kota Sorong, Papua Bar. 98412","Jl. Tanjung Medan, Malaingkedi, Kec. Sorong Utara, Kota Sorong",PAPUA BARAT,98412.0,Indonesia,,-0.888833,131.2948243,https://maps.google.com/?cid=0x0:0x9766ab086a7f50df
perumahan,Komplek perumahan,Perumahan Pengadilan Sorong,"4798+P6P, Bar., Klaligi, Kecamatan Sorong Manoi, Kota Sorong, Papua Bar. 98412","Bar., Klaligi, Kecamatan Sorong Manoi, Kota Sorong",PAPUA BARAT,98412.0,Indonesia,,-0.8806576,131.2655785,https://maps.google.com/?cid=0x0:0xba6b417b0aebbcd9
perumahan,Kantor Pemerintah,Kompleks Perumahan Dinas Perikanan,"4787+FJ7, Klaligi, Distrik Sorong, Kota Sorong, Papua Bar. 98412","Klaligi, Distrik Sorong, Kota Sorong",PAPUA BARAT,98412.0,Indonesia,85254185300.0,-0.8838393,131.2640476,https://maps.google.com/?cid=0x0:0x2a6979b6dc8456b8
perumahan,Komplek perumahan,Perumahan Aqwa Permai Residence II,"38PC+GJX, Klamana, Distrik Sorong Timur, Kota Sorong, Papua Bar. 98416","Klamana, Distrik Sorong Timur, Kota Sorong",PAPUA BARAT,98416.0,Indonesia,,-0.9136431,131.3216024,https://maps.google.com/?cid=0x0:0x69be66f3d7ee55d6
perumahan,Pembangunan Perumahan,PERUMAHAN GRAND EFATA MALIBELA SORONG,"Klawalu, Distrik Sorong Timur, Kota Sorong, Papua Bar.","Kota Sorong, Papua Bar.",PAPUA BARAT,,Indonesia,,-0.9033693,131.3111473,https://maps.google.com/?cid=0x0:0x66bc0b68afac7328
perumahan,Penginapan,AQWA D' WARMASEN,"Jl. Warmasen No.km. 13, Klamana, Distrik Sorong Timur, Kota Sorong, Papua Bar. 98416","Klamana, Distrik Sorong Timur, Kota Sorong",PAPUA BARAT,98416.0,Indonesia,,-0.9164321,131.3271369,https://maps.google.com/?cid=0x0:0x230398eb29e953eb
perumahan,perumahan,Perumahan KPR,"Jl. Celebes No.37, Klamana, Distrik Sorong Timur, Kota Sorong, Papua Bar. 98419","Klamana, Distrik Sorong Timur, Kota Sorong",PAPUA BARAT,98419.0,Indonesia,,-0.9150189,131.3221006,https://maps.google.com/?cid=0x0:0x3e3b54edc7bb4b38
