Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
komplek housing;komplek housing;Riau 28882;Kabupaten Bengkalis, Riau;Kabupaten Bengkalis, Riau;RIAU;;Indonesia;;;;13.957.784;1.014.566.299;https://maps.google.com/?cid=0x0:0x181d250f026b1cf;
komplek housing;Pembangunan Perumahan;Perumahan Cempaka Bukit Kapur;Jl. Suka Ramai, Bukit Kayu Kapur, Kec. Bukit Kapur, Kota Dumai, Riau 28826;Bukit Kayu Kapur, Kec. Bukit Kapur, Kota Dumai;RIAU;28826;Indonesia;;;;15.186.321;1.013.438.114;https://maps.google.com/?cid=0x0:0x35eda84ba791af3a;
komplek housing;Perhimpunan Pengembang Perumahan;Rumah edi eka;C9XV+3X6, Bukit Kayu Kapur, Kec. Bukit Kapur, Kota Dumai, Riau 28826;Bukit Kayu Kapur, Kec. Bukit Kapur, Kota Dumai;RIAU;28826;Indonesia;;;;14.476.531;1.013.948.963;https://maps.google.com/?cid=0x0:0x3f82d904cfe6198;
komplek housing;Pembangunan Perumahan;Bukit kapur;Bagan Besar, Kec. Bukit Kapur, Kota Dumai, Riau 28826;Kec. Bukit Kapur, Kota Dumai;RIAU;28826;Indonesia;;;;15.829.758;1.013.872.283;https://maps.google.com/?cid=0x0:0x3105b24861264cf1;
komplek housing;komplek housing;Kec. Bukit Kapur;Kota Dumai, Riau;Kota Dumai, Riau;RIAU;;Indonesia;;;;15.829.758;1.013.872.283;https://maps.google.com/?cid=0x0:0xb309e06bd0f86960;
komplek housing;Komplek perumahan;Rumah pak torus;GF9J+9H, Gurun Panjang, Kec. Bukit Kapur, Kota Dumai, Riau;Kota Dumai, Riau;RIAU;;Indonesia;;;;15.184.244;10.148.144;https://maps.google.com/?cid=0x0:0xa25c2c452ac87389;
komplek housing;Kantor Perusahaan;Perumahan Karyawan PT Sis;9CWJ+7J, Bumbung, Kec. Mandau, Kabupaten Bengkalis, Riau;Kabupaten Bengkalis, Riau;RIAU;;Indonesia;;;;13.957.271;1.014.315.913;https://maps.google.com/?cid=0x0:0xd7086fb84c33a048;
komplek housing;Pembangunan Perumahan;Boru Siahaan;Jl Utama No.64, RT.05, Gurun Panjang, Bukit Kapur, Dumai City, Riau;Kota Dumai, Riau;RIAU;;Indonesia;;;;15.159.179;1.014.800.829;https://maps.google.com/?cid=0x0:0x82e6b34f6afb027c;
komplek housing;Perhimpunan Pengembang Perumahan;rumah imam;F9C8+8R4, Jl. Simpang Panam, Bukit Kayu Kapur, Kec. Bukit Kapur, Kota Dumai, Riau 28826;Jl. Simpang Panam, Bukit Kayu Kapur, Kec. Bukit Kapur, Kota Dumai;RIAU;28826;Indonesia;;;;14.709.187;1.013.679.592;https://maps.google.com/?cid=0x0:0xa9713716939c7a23;
komplek housing;Pembangunan Perumahan;Rumah Riski;F9F6+85M, Bukit Kayu Kapur, Kec. Bukit Kapur, Kota Dumai, Riau;Kota Dumai, Riau;RIAU;;Indonesia;;;;14.733.466;1.013.604.134;https://maps.google.com/?cid=0x0:0x4ae18963d659a5ed;
komplek housing;Komplek perumahan;Kost Cinta Homestay;CG26+FJJ, Jalan protokol, Bukit Kerikil, Kec. Bukit Batu, Kabupaten Bengkalis, Riau 28882;Jalan protokol, Bukit Kerikil, Kec. Bukit Batu, Kabupaten Bengkalis;RIAU;28882;Indonesia;85271760946;;;14.009.907;1.015.116.572;https://maps.google.com/?cid=0x0:0xe4aa867c22000b92;
komplek housing;Komplek perumahan;Mbahti Alfaruq;F9G7+GF, Bukit Kayu Kapur, Kec. Bukit Kapur, Kota Dumai, Riau;Kota Dumai, Riau;RIAU;;Indonesia;;;;14.763.361;1.013.637.481;https://maps.google.com/?cid=0x0:0x15f79c44ea0edb22;
komplek housing;komplek housing;Dumai Bukit kerikil;CGMX+72M, Bukit Kerikil, Kec. Bukit Batu, Kabupaten Bengkalis, Riau;Kabupaten Bengkalis, Riau;RIAU;;Indonesia;;;;1.433.208;1.015.475.409;https://maps.google.com/?cid=0x0:0x622a1f90a7f9c0f;
komplek housing;Pembangunan Perumahan;Ladang amrul;F947+39, Bukit Kayu Kapur, Kec. Bukit Kapur, Kota Dumai, Riau;Kota Dumai, Riau;RIAU;;Indonesia;;;;14.551.845;1.013.634.081;https://maps.google.com/?cid=0x0:0x1337c0985064b8a7;
komplek housing;Komplek perumahan;Gg murni;F9F5+V66, Jl. Simpang Panam, Bukit Kayu Kapur, Kec. Bukit Kapur, Kota Dumai, Riau;Kota Dumai, Riau;RIAU;;Indonesia;;;;14.746.688;1.013.580.043;https://maps.google.com/?cid=0x0:0x89b0207213bfa0fc;
