Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
komplek housing;komplek housing;Riau 29566;Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau;Kabupaten Kuantan Singingi, Riau;RIAU;;Indonesia;;;;-0.5984072;1.016.271.544;https://maps.google.com/?cid=0x0:0x713c21d5a0caca60;
komplek housing;Komplek perumahan;Perumahan Griya Utama Harapan;FG7V+5Q8, Jl. Kuantan, Koto Kari, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566;Jl. Kuantan, Koto Kari, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi;RIAU;29566;Indonesia;82282946089;;;-0.5370871;1.015.444.591;https://maps.google.com/?cid=0x0:0x2c94912225c354ed;
komplek housing;Komplek perumahan;Perumahan Seminai Regency;Koto Kari, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566;Kec. Kuantan Tengah, Kabupaten Kuantan Singingi;RIAU;29566;Indonesia;;;;-0.5338731;1.015.364.579;https://maps.google.com/?cid=0x0:0x7b3768a6d8a47c1e;
komplek housing;Komplek perumahan;Perumahan AMAZONA;FHC8+WVP, Gg. Amazona, Tobek panjang, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566;Gg. Amazona, Tobek panjang, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi;RIAU;29566;Indonesia;;;;-0.5276683;1.015.672.141;https://maps.google.com/?cid=0x0:0x435a343718cd231f;
komplek housing;Perhimpunan Pengembang Perumahan;Perumahan joglo;FGCW+H9G, Unnamed Road, Sungai Jering, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566;Unnamed Road, Sungai Jering, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi;RIAU;29566;Indonesia;;;;-0.5285704;1.015.459.684;https://maps.google.com/?cid=0x0:0xdb5e4edfe104c245;
komplek housing;Komplek perumahan;Zias house;FJG5+HG2, Kopah, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566;Kopah, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi;RIAU;29566;Indonesia;;;;-0.522746;101.609.173;https://maps.google.com/?cid=0x0:0x4cc1ebdeac5b8bfa;
komplek housing;Pembangunan Perumahan;Bumi Kuantan Residence;Koto Kari, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566;Kec. Kuantan Tengah, Kabupaten Kuantan Singingi;RIAU;29566;Indonesia;81378380838;;;-0.5356308;1.015.366.516;https://maps.google.com/?cid=0x0:0x8dab510757799b6c;
komplek housing;Pembangunan Perumahan;Perumahan graha kuantan cemerlang blok f no.8;FG9P+RQ6, Jl. Rustams Abrus, Koto Kari, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566;Jl. Rustams Abrus, Koto Kari, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi;RIAU;29566;Indonesia;;;;-0.5304646;101.536.876;https://maps.google.com/?cid=0x0:0x3c1acf82bf79322c;
komplek housing;Komplek perumahan;Maselri's home;FGFR+VR9, Jl. Rustams Abrus, Koto Kari, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566;Jl. Rustams Abrus, Koto Kari, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi;RIAU;29566;Indonesia;;;;-0.5253063;1.015.422.151;https://maps.google.com/?cid=0x0:0x34ab99c2005e3508;
komplek housing;Pembangunan Perumahan;Perumahan  Ruko Tanjakan Kompe;FJWR+Q2F, Banjar Benai, Kec. Benai, Kabupaten Kuantan Singingi, Riau;Kabupaten Kuantan Singingi, Riau;RIAU;;Indonesia;;;;-0.5030514;1.016.400.348;https://maps.google.com/?cid=0x0:0xcc4adc820f23e497;
