Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
komplek housing;komplek housing;Riau 28992;Kabupaten Rokan Hilir, Riau;Kabupaten Rokan Hilir, Riau;RIAU;;Indonesia;;;;16.089.504;1.006.647.101;https://maps.google.com/?cid=0x0:0x2b7f1924f159497b;
komplek housing;Komplek perumahan;Perumahan;PCF6+G43, Jl. Sidomulyo, Bagan Sinembah, Kec. Bagan Sinembah, Kabupaten Rokan Hilir, Riau 28992;Jl. Sidomulyo, Bagan Sinembah, Kec. Bagan Sinembah, Kabupaten Rokan Hilir;RIAU;28992;Indonesia;;;;17.237.738;1.004.103.095;https://maps.google.com/?cid=0x0:0xd1dfc4d10818375e;
komplek housing;Pembangunan Perumahan;Komplek Grand Arowana City;MCFV+VF4, Unnamed Road, Bahtera Makmur, Bagan Sinembah, Rokan Hilir Regency, Riau 28992;Unnamed Road, Bahtera Makmur, Bagan Sinembah, Rokan Hilir Regency;RIAU;28992;Indonesia;811759175;;;16.746.287;1.004.436.943;https://maps.google.com/?cid=0x0:0x9cc8108642c401e9;
komplek housing;Sekolah;Simpang Pujud Bagan Sinembah;MCCW+7MR, Simpang Pujud, Bahtera Makmur, Bagan Sinembah, Rokan Hilir Regency, Riau 28992;Simpang Pujud, Bahtera Makmur, Bagan Sinembah, Rokan Hilir Regency;RIAU;28992;Indonesia;;;;16.707.289;1.004.466.495;https://maps.google.com/?cid=0x0:0xd8414c043489c31;
komplek housing;Otoritas Perumahan;Yono paket g;PCH9+FRG, Jln sultan syarif kasim, Harapan Makmur, Kec. Bagan Sinembah, Kabupaten Rokan Hilir, Riau 28992;Jln sultan syarif kasim, Harapan Makmur, Kec. Bagan Sinembah, Kabupaten Rokan Hilir;RIAU;28992;Indonesia;;;;17.286.755;100.419.574;https://maps.google.com/?cid=0x0:0x9fc9a3e62a8f808d;
komplek housing;Penginapan;Perumahan Staf SRE-2;Jl. Lintas Sumatra No.Km. 31, Balam Sempurna, Kec. Bagan Sinembah, Kabupaten Rokan Hilir, Riau;Kabupaten Rokan Hilir, Riau;RIAU;;Indonesia;;;;16.994.865;1.005.708.633;https://maps.google.com/?cid=0x0:0xe8d82925b57e7339;
komplek housing;Perumahan;Perumahan Keluarga Besar Kevin Manurung;Balam Km2, Jalan Kh Daud Jalil No.2, Bangko Permata, Bangko Pusaka (pusako, Kabupaten Rokan Hilir, Riau 28992;Jalan Kh Daud Jalil No.2, Bangko Permata, Bangko Pusaka (pusako, Kabupaten Rokan Hilir;RIAU;28992;Indonesia;81275631788;;;16.812.925;1.008.477.592;https://maps.google.com/?cid=0x0:0xf681a0360f97602;
komplek housing;Otoritas Perumahan;Paket c;MFRH+FJ6, Pelita, Kec. Bagan Sinembah, Kabupaten Rokan Hilir, Riau 28992;Pelita, Kec. Bagan Sinembah, Kabupaten Rokan Hilir;RIAU;28992;Indonesia;;;;16.911.545;1.004.790.006;https://maps.google.com/?cid=0x0:0x51074a1585f68951;
komplek housing;Komplek perumahan;RUMAH HANAN;MFM4+6WH, Gelora, Kec. Bagan Sinembah, Kabupaten Rokan Hilir, Riau 28992;Gelora, Kec. Bagan Sinembah, Kabupaten Rokan Hilir;RIAU;28992;Indonesia;;;;16.833.342;1.004.567.166;https://maps.google.com/?cid=0x0:0xc1276d92bf36a4c6;
komplek housing;Komplek perumahan;Vescommunity Rohil;PC34+6MP, Jl. Pierre Tendean, Bagan Batu, Kec. Bagan Sinembah, Kabupaten Rokan Hilir, Riau 28992;Jl. Pierre Tendean, Bagan Batu, Kec. Bagan Sinembah, Kabupaten Rokan Hilir;RIAU;28992;Indonesia;81397027666;;;17.030.977;1.004.066.893;https://maps.google.com/?cid=0x0:0x504e98af7c716b30;
komplek housing;Toko Elektronik;Dsp Service Elektronik;Balam Sempurna, Kec. Bagan Sinembah, Kabupaten Rokan Hilir, Riau 28992;Kec. Bagan Sinembah, Kabupaten Rokan Hilir;RIAU;28992;Indonesia;81536387890;;;16.702.874;1.005.890.938;https://maps.google.com/?cid=0x0:0x68aca02a897d0c77;
komplek housing;Komplek perumahan;Herman House`s;Jl. Mangga No.70, Bagan Bhakti, Kec. Bagan Sinembah, Kabupaten Rokan Hilir, Riau 28992;Bagan Bhakti, Kec. Bagan Sinembah, Kabupaten Rokan Hilir;RIAU;28992;Indonesia;;;;17.046.933;1.004.840.503;https://maps.google.com/?cid=0x0:0x88fced07439f07a0;
komplek housing;Komplek perumahan;RUMAH FAKHRI DAN ZUL;MF9J+QJR, Bahtera Makmur, Kec. Bagan Sinembah, Kabupaten Rokan Hilir, Riau 28992;Bahtera Makmur, Kec. Bagan Sinembah, Kabupaten Rokan Hilir;RIAU;28992;Indonesia;;;;16.694.825;1.004.815.005;https://maps.google.com/?cid=0x0:0x2ddedb73f2aa43a9;
komplek housing;Komplek perumahan;Sahyono,lazuardi,iswadi;MGHF+P6, Pasir Putih, Kec. Bagan Sinembah, Kabupaten Rokan Hilir, Riau 28992;Pasir Putih, Kec. Bagan Sinembah, Kabupaten Rokan Hilir;RIAU;28992;Indonesia;;;;16.792.894;1.005.230.077;https://maps.google.com/?cid=0x0:0x3adb95d8c7118f30;
komplek housing;Perhimpunan Pengembang Perumahan;Prap setianto;MGVX+J39, Balai Jaya, Kec. Bagan Sinembah, Kabupaten Rokan Hilir, Riau 28992;Balai Jaya, Kec. Bagan Sinembah, Kabupaten Rokan Hilir;RIAU;28992;Indonesia;;;;16.940.471;1.005.477.311;https://maps.google.com/?cid=0x0:0x1f61fd2a2a174ac;
