Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"Pembangunan Perumahan";"Mersam";"74MF+7JJ, Jl. Lintas Muaro Bungo, Sukaramai, Kec. Muara Tembesi, Kabupaten Batang Hari, Jambi 36653";"Jl. Lintas Muaro Bungo, Sukaramai, Kec. Muara Tembesi, Kabupaten Batang Hari";"JAMBI";"36653";"Indonesia";"";"";"";"-1.7167934";"103.1240157";"https://maps.google.com/?cid=0x0:0xe0a0af6ab3a3c292";""
"komplek housing";"Komplek perumahan";"Mersam";"47J3+HW7, Pompa Air, Kec. Bajubang, Kabupaten Batang Hari, Jambi 36611";"Pompa Air, Kec. Bajubang, Kabupaten Batang Hari";"JAMBI";"36611";"Indonesia";"";"";"";"-1.868591";"103.254805";"https://maps.google.com/?cid=0x0:0x20c543875e083598";""
"komplek housing";"Komplek perumahan";"Bentoel's family";"8X9W+48, Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.68215";"102.9957983";"https://maps.google.com/?cid=0x0:0xb80133263e8f2a2f";""
"komplek housing";"Komplek perumahan";"Rumah nabila";"7XGW+P49, RT.16, Mersam, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"RT.16, Mersam, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.7232206";"102.995374";"https://maps.google.com/?cid=0x0:0x95a1a2d1d28d60c6";""
"komplek housing";"Komplek perumahan";"Rumah Nisaibnuzhea";"82H6+8PF, Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.6716789";"103.0118016";"https://maps.google.com/?cid=0x0:0x239d6769c57308f0";""
"komplek housing";"Pembangunan Perumahan";"Herman / Dilla";"8XCX+XP8, Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.6781768";"102.9992241";"https://maps.google.com/?cid=0x0:0x87c506bf0be44223";""
"komplek housing";"Pembangunan Perumahan";"rumah makuzur";"829M+M3V, Jl. Muara Bungo - Jambi, Benteng Rendah, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Jl. Muara Bungo - Jambi, Benteng Rendah, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.6806386";"103.0326492";"https://maps.google.com/?cid=0x0:0xbd14dfe725429e78";""
"komplek housing";"Pembangunan Perumahan";"Toko Dedi SD 168 simpang mersam";"82G5+W2F, RT.09/RW.02, Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"RT.09/RW.02, Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.672698";"103.0075392";"https://maps.google.com/?cid=0x0:0xb46cfc5f5f209eb0";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"rumah Saipul yagesyak";"829M+M3V, Jl. Muara Bungo - Jambi, Benteng Rendah, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Jl. Muara Bungo - Jambi, Benteng Rendah, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.6821155";"103.0324086";"https://maps.google.com/?cid=0x0:0x5a04c4ab42c307f7";""
"komplek housing";"Pembangunan Perumahan";"Rumah Merry Taher";"Jl. Muara Bungo - Jambi, Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.6722284";"103.0077524";"https://maps.google.com/?cid=0x0:0x479eba09b9a53370";""
"komplek housing";"komplek housing";"Kec. Mersam";"Kabupaten Batang Hari, Jambi";"Kabupaten Batang Hari, Jambi";"JAMBI";"";"Indonesia";"";"";"";"-1.5848199";"102.9221709";"https://maps.google.com/?cid=0x0:0x4039d80b220f380";""
"komplek housing";"Pembangunan Perumahan";"Rumah Shanum";"9X38+7VP, Jl. Muara Bungo - Jambi, Sengkati Baru, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Jl. Muara Bungo - Jambi, Sengkati Baru, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.6463867";"102.9683483";"https://maps.google.com/?cid=0x0:0x2e1ecf6dc1f233fc";""
"komplek housing";"Komplek perumahan";"Rumah sulthon";"82M5+R76, Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.6644628";"103.0080318";"https://maps.google.com/?cid=0x0:0x49eea7d431e7798";""
"komplek housing";"Komplek perumahan";"Jaya mandiri";"83Q2+4GP, Benteng Rendah, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Benteng Rendah, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.6621725";"103.0513253";"https://maps.google.com/?cid=0x0:0x3644e732677ee45";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Rumah Mbah Kabil Lis";"CW8C+29P, Tapah Sari, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Tapah Sari, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.5847913";"102.921215";"https://maps.google.com/?cid=0x0:0xf88029e70a6cc0af";""
"komplek housing";"Komplek perumahan";"Rumah Riska Marlinda";"FVQP+JCJ, RT.06, Tapah Sari, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"RT.06, Tapah Sari, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.5109058";"102.8860016";"https://maps.google.com/?cid=0x0:0x74e812e7af675259";""
"komplek housing";"Perusahaan Konstruksi";"Ram sawit";"83J3+FW, Benteng Rendah, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Benteng Rendah, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.669241";"103.054232";"https://maps.google.com/?cid=0x0:0x3b5f8ad5d3e4d6c4";""
"komplek housing";"Komplek perumahan";"Gibran Homey";"92JR+GHP, RT.15, Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"RT.15, Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.618663";"103.041455";"https://maps.google.com/?cid=0x0:0x8b9f2b44afe2f253";""
"komplek housing";"Komplek perumahan";"Rumah Ibrohim Buhori";"8XPP+Q6, Pematang Gadung, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Pematang Gadung, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.6656875";"102.9845625";"https://maps.google.com/?cid=0x0:0x2e2d2482487ed457";""
"komplek housing";"Komplek perumahan";"Rumah Asikaarkan";"92JR+GHP, RT.15, Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"RT.15, Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.618663";"103.041455";"https://maps.google.com/?cid=0x0:0x5960011b473d958c";""
"komplek housing";"Komplek perumahan";"Rumah adi waluyo";"CW99+FQC, Tapah Sari, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Tapah Sari, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.5816239";"102.9201372";"https://maps.google.com/?cid=0x0:0xade33ead6f1b56d9";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"RUMAH PIPOT";"8X6V+CC5, Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari, Jambi 36654";"Kembang Paseban, Kec. Mersam, Kabupaten Batang Hari";"JAMBI";"36654";"Indonesia";"";"";"";"-1.6889767";"102.9936083";"https://maps.google.com/?cid=0x0:0xb6de0e64c5540d20";""
"komplek housing";"komplek housing";"Jambi 36655";"Kabupaten Batang Hari, Jambi";"Kabupaten Batang Hari, Jambi";"JAMBI";"";"Indonesia";"";"";"";"-1.7485952";"102.7594847";"https://maps.google.com/?cid=0x0:0xea69ed493aee47ed";""
"komplek housing";"Komplek perumahan";"Rumah Devipranata";"baru, Kembang Seri, Kec. Maro Sebo Ulu, Kabupaten Batang Hari, Jambi 36655";"Kembang Seri, Kec. Maro Sebo Ulu, Kabupaten Batang Hari";"JAMBI";"36655";"Indonesia";"";"";"";"-1.5892571";"102.8273739";"https://maps.google.com/?cid=0x0:0x1e915cdbc2955d26";""
"komplek housing";"komplek housing";"Praktek bidan hartati";"7WV3+H73, RT.05, Sungai Ruan Ulu, Kec. Maro Sebo Ulu, Kabupaten Batang Hari, Jambi 36655";"RT.05, Sungai Ruan Ulu, Kec. Maro Sebo Ulu, Kabupaten Batang Hari";"JAMBI";"36655";"Indonesia";"";"";"";"-1.7061112";"102.9031842";"https://maps.google.com/?cid=0x0:0x46160ec92668ed34";""
"komplek housing";"Komplek perumahan";"THE BIG FAMILY ,M.ZET";"8RX2+QV8, Kp. Baru, Kec. Maro Sebo Ulu, Kabupaten Batang Hari, Jambi";"Kabupaten Batang Hari, Jambi";"JAMBI";"";"Indonesia";"";"";"";"-1.6505951";"102.8021882";"https://maps.google.com/?cid=0x0:0xeac95899a97fa6dc";""
