Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"Perumahan";"Perumahan Griya Madinah Asri";"W76Q+9H6, Dusun Bangko, Kec. Bangko, Kabupaten Merangin, Jambi 37311";"Dusun Bangko, Kec. Bangko, Kabupaten Merangin";"JAMBI";"37311";"Indonesia";" 085379557055";"";"";"-2.08908";"102.288896";"https://maps.google.com/?cid=0x0:0xe2474d8cb1b3a5fa";""
"komplek housing";"komplek housing";"Bangko";"Pematang Kandis, Kec. Bangko, Kabupaten Merangin, Jambi";"Kabupaten Merangin, Jambi";"JAMBI";"";"Indonesia";"";"";"";"-2.0735579";"102.275002";"https://maps.google.com/?cid=0x0:0x8d8e0d5197aa04af";""
"komplek housing";"Komplek perumahan";"Perumahan";"W7RM+RVX, Pematang Kandis, Kec. Bangko, Kabupaten Merangin, Jambi";"Kabupaten Merangin, Jambi";"JAMBI";"";"Indonesia";"";"";"";"-2.0578967";"102.2847459";"https://maps.google.com/?cid=0x0:0x766e6b00a6b35fd0";""
"komplek housing";"Kantor Perusahaan";"Kandis regency";"W7XV+3QV, Pematang Kandis, Kec. Bangko, Kabupaten Merangin, Jambi";"Kabupaten Merangin, Jambi";"JAMBI";"";"Indonesia";"";"";"";"-2.0522707";"102.2944083";"https://maps.google.com/?cid=0x0:0x172a815fd31d21aa";""
"komplek housing";"Pasar";"sungai tebal";"W7GG+H2C, Pematang Kandis, Kec. Bangko, Kabupaten Merangin, Jambi";"Kabupaten Merangin, Jambi";"JAMBI";"";"Indonesia";"";"";"";"-2.0735579";"102.275002";"https://maps.google.com/?cid=0x0:0x94680ca72acb2ed6";""
"komplek housing";"Dapur Umum";"Perumahan Bumi Mutiara";"Jl. Bumi Mutiara No.4, Bojong Kulur, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat 16969";"Bojong Kulur, Kec. Gn. Putri, Kabupaten Bogor";"JAMBI";"16969";"Indonesia";"";"";"";"-6.3333957";"106.9733036";"https://maps.google.com/?cid=0x0:0xadb863e05362bf6e";""
"komplek housing";"komplek housing";"Bangko";"Pematang Kandis, Kec. Bangko, Kabupaten Merangin, Jambi";"Kabupaten Merangin, Jambi";"JAMBI";"";"Indonesia";"";"";"";"-2.0735579";"102.275002";"https://maps.google.com/?cid=0x0:0x8d8e0d5197aa04af";""
"komplek housing";"Perumahan";"Perumahan Griya Madinah Asri";"W76Q+9H6, Dusun Bangko, Kec. Bangko, Kabupaten Merangin, Jambi 37311";"Dusun Bangko, Kec. Bangko, Kabupaten Merangin";"JAMBI";"37311";"Indonesia";" 085379557055";"";"";"-2.08908";"102.288896";"https://maps.google.com/?cid=0x0:0xe2474d8cb1b3a5fa";""
"komplek housing";"Perumahan";"Villa Citra Khalana";"W73Q+P4, Dusun Bangko, Kec. Bangko, Kabupaten Merangin, Jambi 37311";"Dusun Bangko, Kec. Bangko, Kabupaten Merangin";"JAMBI";"37311";"Indonesia";"";"";"";"-2.0957405";"102.2877767";"https://maps.google.com/?cid=0x0:0xfbc207516d46be6c";""
"komplek housing";"Pasar";"sungai tebal";"W7GG+H2C, Pematang Kandis, Kec. Bangko, Kabupaten Merangin, Jambi";"Kabupaten Merangin, Jambi";"JAMBI";"";"Indonesia";"";"";"";"-2.0735579";"102.275002";"https://maps.google.com/?cid=0x0:0x94680ca72acb2ed6";""
"komplek housing";"Kantor Perusahaan";"Kandis regency";"W7XV+3QV, Pematang Kandis, Kec. Bangko, Kabupaten Merangin, Jambi";"Kabupaten Merangin, Jambi";"JAMBI";"";"Indonesia";"";"";"";"-2.0522707";"102.2944083";"https://maps.google.com/?cid=0x0:0x172a815fd31d21aa";""
"komplek housing";"komplek housing";"Kec. Bangko";"Kabupaten Rokan Hilir, Riau";"Kabupaten Rokan Hilir, Riau";"JAMBI";"";"Indonesia";"";"";"";"2.1609905";"100.8099946";"https://maps.google.com/?cid=0x0:0x968ee819267c37e4";""
"komplek housing";"Komplek perumahan";"Rumah naufal";"5Q6V+4VP, Jl. Utama, Bagan Bar., Kec. Bangko, Kabupaten Rokan Hilir, Riau 28912";"Jl. Utama, Bagan Bar., Kec. Bangko, Kabupaten Rokan Hilir";"JAMBI";"28912";"Indonesia";"";"";"";"2.1592279";"100.7950816";"https://maps.google.com/?cid=0x0:0x5f4cc5acaab8c9fd";""
"komplek housing";"komplek housing";"Opung Marsha's Home";"Jl. Utama No.85, Bagan Bar., Kec. Bangko, Kabupaten Rokan Hilir, Riau 28912";"Bagan Bar., Kec. Bangko, Kabupaten Rokan Hilir";"JAMBI";"28912";"Indonesia";"";"";"";"2.1600471";"100.7872365";"https://maps.google.com/?cid=0x0:0x167160a39934d5ec";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Rumah Afkar Budak Melayue";"Jl. Pulau Baru, Bagan Jawa Pesisir, Kec. Bangko, Kabupaten Rokan Hilir, Riau 28912";"Bagan Jawa Pesisir, Kec. Bangko, Kabupaten Rokan Hilir";"JAMBI";"28912";"Indonesia";"";"";"";"2.1670909";"100.8002804";"https://maps.google.com/?cid=0x0:0x5b048b0c8bb5fb5d";""
"komplek housing";"Komplek perumahan";"Rumah M. Nur";"4RR6+RX4, Jl. Lintas Bagansiapiapi - Ujung Tj., Bagan Punak, Kec. Bangko, Kabupaten Rokan Hilir, Riau 28912";"Jl. Lintas Bagansiapiapi - Ujung Tj., Bagan Punak, Kec. Bangko, Kabupaten Rokan Hilir";"JAMBI";"28912";"Indonesia";"";"";"";"2.1416633";"100.81194";"https://maps.google.com/?cid=0x0:0x5aa358b745e6f6b6";""
"komplek housing";"Komplek perumahan";"Rumah Pak Toni( Buyung )";"2WJ6+W23, Labuhan Tangga Baru, Kec. Bangko, Kabupaten Rokan Hilir, Riau 28912";"Labuhan Tangga Baru, Kec. Bangko, Kabupaten Rokan Hilir";"JAMBI";"28912";"Indonesia";"";"";"";"2.033057";"100.909424";"https://maps.google.com/?cid=0x0:0xf5b0fd3fc0cc19eb";""
"komplek housing";"Komplek perumahan";"MALAU HOME";"4RX3+64G, Jl. Perniagaan Gang SD 03, Bagan Hulu, Kec. Bangko, Kabupaten Rokan Hilir, Riau 28912";"Jl. Perniagaan Gang SD 03, Bagan Hulu, Kec. Bangko, Kabupaten Rokan Hilir";"JAMBI";"28912";"Indonesia";"";"";"";"2.1480685";"100.8028258";"https://maps.google.com/?cid=0x0:0x632ae253d64965e2";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Mess Perumahan Pltd 2 Bagansiapiapi";"5R72+Q4Q, Jl. Pulau Baru, Bagan Bar., Kec. Bangko, Kabupaten Rokan Hilir, Riau 28912";"Jl. Pulau Baru, Bagan Bar., Kec. Bangko, Kabupaten Rokan Hilir";"JAMBI";"28912";"Indonesia";"";"";"";"2.1643881";"100.8004702";"https://maps.google.com/?cid=0x0:0xdcb7140e3a3e8ccb";""
"komplek housing";"Pembangunan Perumahan";"Home karno";"5Q8X+6MR, Bagan Bar., Kec. Bangko, Kabupaten Rokan Hilir, Riau 28912";"Bagan Bar., Kec. Bangko, Kabupaten Rokan Hilir";"JAMBI";"28912";"Indonesia";"";"";"";"2.1656235";"100.7991552";"https://maps.google.com/?cid=0x0:0x36d051532d206a4f";""
"komplek housing";"Komplek perumahan";"Mia";"5VH2+J8V, Bagan Jawa, Kec. Bangko, Kabupaten Rokan Hilir, Riau 28912";"Bagan Jawa, Kec. Bangko, Kabupaten Rokan Hilir";"JAMBI";"28912";"Indonesia";"";"";"";"2.1791166";"100.850791";"https://maps.google.com/?cid=0x0:0xf8306ce72ed9a5e3";""
"komplek housing";"Komplek perumahan";"Rumah wahyu";"4RR6+2RC, Bagan Punak, Kec. Bangko, Kabupaten Rokan Hilir, Riau 28912";"Bagan Punak, Kec. Bangko, Kabupaten Rokan Hilir";"JAMBI";"28912";"Indonesia";"";"";"";"2.1400723";"100.8120154";"https://maps.google.com/?cid=0x0:0xe5950e5424c8795a";""
"komplek housing";"Komplek perumahan";"Rumah q";"4RQ5+XCC, Jl. Rintis, Bagan Punak Pesisir, Kec. Bangko, Kabupaten Rokan Hilir, Riau 28912";"Jl. Rintis, Bagan Punak Pesisir, Kec. Bangko, Kabupaten Rokan Hilir";"JAMBI";"28912";"Indonesia";"";"";"";"2.1399259";"100.8085191";"https://maps.google.com/?cid=0x0:0x67669df4eea1d4f3";""
