Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"building materials";"Sumatera Selatan 32121";"Kabupaten Ogan Komering Ulu, Sumatera Selatan";"Kabupaten Ogan Komering Ulu, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-4.0749487";"104.1814686";"https://maps.google.com/?cid=0x0:0x32ebd2af015c4d71";""
"building materials";"Toko Bahan Bangunan";"TOKO SUMBER BANGUNAN";"Jl. Akmal, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";" 0735322610";"";"";"-4.1280111";"104.1648717";"https://maps.google.com/?cid=0x0:0x83d8be0bdc7cfad3";""
"building materials";"Toko Perlengkapan Rumah";"MR DIY CITIMALL BATURAJA";"Lt. 1, Citimall Baturaja, Jl. Jenderal Ahmad Yani, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Citimall Baturaja, Jl. Jenderal Ahmad Yani, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";" 02130022789";"";"";"-4.1340002";"104.1776691";"https://maps.google.com/?cid=0x0:0xf783b151a4b6bd19";""
"building materials";"Toko Bahan Bangunan";"Bisma Cabang Baturaja";"Jl. Garuda Lintas Sumatera No.10, Baturaja, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Baturaja, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";" 081278840300";"";"";"-4.1284016";"104.187059";"https://maps.google.com/?cid=0x0:0x104731e80950051d";""
"building materials";"Pemasok Bahan Bangunan";"TB. Berkah Bangunan - Semen Baturaja";"V5V8+G9M Simpang 3 PT, Jl. Lintas Utama Sumatera, Semen, Baturaja, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 34876";"Jl. Lintas Utama Sumatera, Semen, Baturaja, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"34876";"Indonesia";" 081284808643";"";"";"-4.1061543";"104.1659298";"https://maps.google.com/?cid=0x0:0xd86ac5f2b0def8cd";""
"building materials";"Pemasok Bahan Bangunan";"Toko Bangunan Mitra Bangsa";"Jl. Jenderal Ahmad Yani No.104A, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";"";"";"";"-4.1331083";"104.1785603";"https://maps.google.com/?cid=0x0:0x5782f8fbbbc44df1";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan Theta Material - Semen Baturaja";"Jl. Padat Karya, RT.003/RW.002, Sekar Jaya, Kec. Baturaja Timur, Baturaja, Sumatera Selatan 32111";"RT.003/RW.002, Sekar Jaya, Kec. Baturaja Timur, Baturaja";"SUMATERA SELATAN";"32111";"Indonesia";" 082214754716";"";"";"-4.1094425";"104.1923989";"https://maps.google.com/?cid=0x0:0x9e41d15d24f1b1b0";""
"building materials";"Toko Bahan Bangunan";"Tb. Pedoman Baturaja";"V5C8+R8P, Jl. Akmal, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Jl. Akmal, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";"";"";"";"-4.1279029";"104.1658147";"https://maps.google.com/?cid=0x0:0x7b8ccb1b58460136";""
"building materials";"Toko Bahan Bangunan";"DEPOT MATERIAL NEGO";"V5RX+Q89, Jl. Kolonel Wahab Sarobu, Sekar Jaya, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32122";"Jl. Kolonel Wahab Sarobu, Sekar Jaya, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32122";"Indonesia";" 082183032903";"";"";"-4.1080889";"104.1983584";"https://maps.google.com/?cid=0x0:0x80ceaba3812605f7";""
"building materials";"Toko Bahan Bangunan";"Toko Jaya Logam";"Jl. Akmal, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";" 0735320567";"";"";"-4.1280946";"104.1652495";"https://maps.google.com/?cid=0x0:0x919e24e8b5cd410e";""
