Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"mall";"Sumatera Selatan 32121";"Kabupaten Ogan Komering Ulu, Sumatera Selatan";"Kabupaten Ogan Komering Ulu, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-4.0749487";"104.1814686";"https://maps.google.com/?cid=0x0:0x32ebd2af015c4d71";""
"mall";"Toko Swalayan";"Citimall Baturaja";"V58H+C7V, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";"";"";"";"-4.1338831";"104.1781776";"https://maps.google.com/?cid=0x0:0x43cc0fe943b6192f";""
"mall";"Pusat Perbelanjaan";"RAMAYANA Baturaja";"Jl. Jenderal Ahmad Yani, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";" 0735324333";"";"";"-4.1256594";"104.1708026";"https://maps.google.com/?cid=0x0:0x86192da25c296edf";""
"mall";"";"Mall EX Kanio";"Jl. Jenderal Ahmad Yani No.2, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";"";"";"";"-4.1270171";"104.1764177";"https://maps.google.com/?cid=0x0:0x9bf8fe654ca660a4";""
"mall";"Pusat Perbelanjaan";"UNMAHA Baturaja";"V58H+C7V, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";" 088275290058";"";"";"-4.1338831";"104.1781776";"https://maps.google.com/?cid=0x0:0x7bf83e2035683085";""
"mall";"Pusat Perbelanjaan";"Hypermart - Citimall Baturaja";"JL. AHMAD YANI KEL. TANJUNG BARU KEC, BATURAJA, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32111";"BATURAJA, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32111";"Indonesia";" 07353740149";"";"";"-4.1335603";"104.1779668";"https://maps.google.com/?cid=0x0:0x1f191b42093c678";""
"mall";"Toko Perlengkapan Rumah";"MR DIY CITIMALL BATURAJA";"Lt. 1, Citimall Baturaja, Jl. Jenderal Ahmad Yani, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Citimall Baturaja, Jl. Jenderal Ahmad Yani, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";" 02130022789";"";"";"-4.1340002";"104.1776691";"https://maps.google.com/?cid=0x0:0xf783b151a4b6bd19";""
"mall";"Park and ride";"Taman Ahmad Yani Baturaja";"V5G9+23H, Jl. Jenderal Ahmad Yani, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Jl. Jenderal Ahmad Yani, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";"";"";"";"-4.1249395";"104.1677311";"https://maps.google.com/?cid=0x0:0xc91aa074d6915625";""
"mall";"Pasar";"Pasar Pucok";"V5C8+MFX, pasar atas, Batu Raja Timur, Ogan Komering Ulu, Sumatera Selatan, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"pasar atas, Batu Raja Timur, Ogan Komering Ulu, Sumatera Selatan, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";"";"";"";"-4.1282688";"104.1662207";"https://maps.google.com/?cid=0x0:0xfba5faebf8a086aa";""
"mall";"Toko Pakaian";"Arei Outdoor Gear Baturaja";"V5CH+64F, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";"";"";"";"-4.1294279";"104.1777894";"https://maps.google.com/?cid=0x0:0x3435fe95af9e5051";""
