Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Sumatera Selatan 32121";"Kabupaten Ogan Komering Ulu, Sumatera Selatan";"Kabupaten Ogan Komering Ulu, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-4.0749487";"104.1814686";"https://maps.google.com/?cid=0x0:0x32ebd2af015c4d71";""
"komplek housing";"Pembangunan Perumahan";"Perumahan Baturaja Residence";"Jl. Lintas Utama Sumatera No.desa, batukuning kec, Kec. Baturaja Barat, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32125";"batukuning kec, Kec. Baturaja Barat, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32125";"Indonesia";" 08127142676";"";"";"-4.1018682";"104.1494648";"https://maps.google.com/?cid=0x0:0x6705589f2d71a61d";""
"komplek housing";"Komplek perumahan";"Perumahan Griya Indah Lestari";"W587+C74, Terusan, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Terusan, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";"";"";"";"-4.0839889";"104.1631952";"https://maps.google.com/?cid=0x0:0x9a17cd1e5af46b26";""
"komplek housing";"Pembangunan Perumahan";"Rumah";"V5W8+XQP, Sukajadi, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Sukajadi, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";"";"";"";"-4.102795";"104.1674796";"https://maps.google.com/?cid=0x0:0xbb7e9d8ca63a1cf4";""
"komplek housing";"Pembangunan Perumahan";"Perumahan baturaja gemilang estate";"V52Q+PWP, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32111";"Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32111";"Indonesia";"";"";"";"-4.148162";"104.189824";"https://maps.google.com/?cid=0x0:0x7edb7df89f4c38a6";""
"komplek housing";"Perumahan";"Izzi baturaja ogan";"V5CC+RRW, Jl. Dusun Baturaja, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Jl. Dusun Baturaja, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";"";"";"";"-4.1279809";"104.1720987";"https://maps.google.com/?cid=0x0:0x896216be7d15f6b1";""
"komplek housing";"Kantor Perusahaan";"Perumahan kemiling center point";"V57V+975, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan";"Kabupaten Ogan Komering Ulu, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-4.1366176";"104.1932258";"https://maps.google.com/?cid=0x0:0x98fe14c8e0f2202e";""
"komplek housing";"Komplek perumahan";"Golden Residence (Komersil)";"V5W8+XQP, Sukajadi, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"Sukajadi, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";"";"";"";"-4.1037407";"104.1667135";"https://maps.google.com/?cid=0x0:0xff4d860a2924b746";""
"komplek housing";"Komplek perumahan";"Rumah rico";"V5RP+4VJ, Jl. Ulu Danau, Kemala Raja, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32123";"Jl. Ulu Danau, Kemala Raja, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32123";"Indonesia";"";"";"";"-4.108662";"104.1877568";"https://maps.google.com/?cid=0x0:0x67dd453de02b3acb";""
"komplek housing";"Komplek perumahan";"Rumah Suryadi Vyel Shop";"Pasar Induk Batu Kuning, jalan cor beton, Batu Kuning, Kec. Baturaja Barat, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121";"jalan cor beton, Batu Kuning, Kec. Baturaja Barat, Kabupaten Ogan Komering Ulu";"SUMATERA SELATAN";"32121";"Indonesia";"";"";"";"-4.0794092";"104.1567454";"https://maps.google.com/?cid=0x0:0xfae97d9203ec90dd";""
