Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"mall";"Sumatera Selatan 30151";"Karya Baru, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan";"Kota Palembang, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-2.9277729";"104.7139378";"https://maps.google.com/?cid=0x0:0x28fb1fb44e104b41";""
"mall";"Pusat Perbelanjaan";"Palembang Indah Mall";"Jl. Letkol Iskandar No.18, 24 Ilir, Kec. Bukit Kecil, Kota Palembang, Sumatera Selatan 30134";"24 Ilir, Kec. Bukit Kecil, Kota Palembang";"SUMATERA SELATAN";"30134";"Indonesia";" 0711350999";"";"";"-2.9851559";"104.7537026";"https://maps.google.com/?cid=0x0:0xdb7489509d864093";""
"mall";"Pusat Perbelanjaan";"Palembang Square";"Jl. Angkatan 45, Lorok Pakjo, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30137";"Lorok Pakjo, Kec. Ilir Bar. I, Kota Palembang";"SUMATERA SELATAN";"30137";"Indonesia";" 0711380001";"";"";"-2.9761223";"104.7417611";"https://maps.google.com/?cid=0x0:0xa673f79fd841a344";""
"mall";"Pusat Perbelanjaan";"PTC Mall Palembang";"Jl. R. Sukamto No.8A, 8 Ilir, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30114";"8 Ilir, Kec. Ilir Tim. II, Kota Palembang";"SUMATERA SELATAN";"30114";"Indonesia";" 0711822388";"";"";"-2.9513689";"104.7614562";"https://maps.google.com/?cid=0x0:0xa8b8c4c7c242a1e4";""
"mall";"Bioskop";"OPI MALL";"Jakabaring Sport City, Jl. Gubernur H. A Bastari, Sungai Kedukan, Kec. Rambutan, Kab. Banyuasin, Sumatera Selatan 30257";"Jl. Gubernur H. A Bastari, Sungai Kedukan, Kec. Rambutan, Kab. Banyuasin";"SUMATERA SELATAN";"30257";"Indonesia";" 07115620477";"";"";"-3.0361406";"104.791564";"https://maps.google.com/?cid=0x0:0x179a245e68ec1ef";""
"mall";"Pusat Perbelanjaan";"Transmart Palembang City Center";"Jl. Radial, 26 Ilir, Kec. Bukit Kecil, Kota Palembang, Sumatera Selatan 30127";"26 Ilir, Kec. Bukit Kecil, Kota Palembang";"SUMATERA SELATAN";"30127";"Indonesia";" 082208255341";"";"";"-2.9816363";"104.7470679";"https://maps.google.com/?cid=0x0:0x9ea31cdb8dae0f44";""
"mall";"Minimarket";"Mutiara Indah Mart";"3PF7+FGR, Jl. Kolonel H. Barlian, Karya Baru, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30961";"Jl. Kolonel H. Barlian, Karya Baru, Kec. Alang-Alang Lebar, Kota Palembang";"SUMATERA SELATAN";"30961";"Indonesia";" 07115612590";"";"";"-2.9262626";"104.7137792";"https://maps.google.com/?cid=0x0:0x33ab043be6f9a900";""
"mall";"Toko Perlengkapan Rumah";"Living Plaza Palembang";"24 Ilir, Kec. Bukit Kecil, Kota Palembang, Sumatera Selatan";"Kota Palembang, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";" 08588588328";"";"";"-2.9834654";"104.751074";"https://maps.google.com/?cid=0x0:0x38e6bfc210ca72de";""
"mall";"Pusat Perbelanjaan";"PALEMBANG CELLULAR";"Jln. Jenderal Sudirman Kel :18 Ilir Kecamatan:, 18 Ilir, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30114";"18 Ilir, Kec. Ilir Tim. I, Kota Palembang";"SUMATERA SELATAN";"30114";"Indonesia";" 081366795577";"";"";"-2.983677";"104.757643";"https://maps.google.com/?cid=0x0:0x695b6a4625f29453";""
"mall";"Toko Aksesori Ponsel";"IP International Plaza Palembang";"Internasional Plaza, 18 Ilir, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30114";"18 Ilir, Kec. Ilir Tim. I, Kota Palembang";"SUMATERA SELATAN";"30114";"Indonesia";"";"";"";"-2.9838711";"104.7574989";"https://maps.google.com/?cid=0x0:0x77272d176c19353c";""
