Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"building materials";"Sumatera Selatan 31593";"Kabupaten Empat Lawang, Sumatera Selatan";"Kabupaten Empat Lawang, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.9251867";"103.035694";"https://maps.google.com/?cid=0x0:0xd521867e3c3cc9b8";""
"building materials";"Kompleks Kondominium";"Toko BANGUNAN MENANTI 2";"428F+WP3, Lesung Batu, Kec. Lintang Kanan, Kabupaten Empat Lawang, Sumatera Selatan 31593";"Lesung Batu, Kec. Lintang Kanan, Kabupaten Empat Lawang";"SUMATERA SELATAN";"31593";"Indonesia";"";"";"";"-3.8827287";"103.0242994";"https://maps.google.com/?cid=0x0:0x1cf86c65f354ff9f";""
"building materials";"Toko Bahan Bangunan";"TOKO BANGUNAN BERSAMA";"Pagar tenggah, Jl. Kepahiang - Pagar Alam No.39, Kec. Pendopo, Kabupaten Empat Lawang, Sumatera Selatan 31593";"Jl. Kepahiang - Pagar Alam No.39, Kec. Pendopo, Kabupaten Empat Lawang";"SUMATERA SELATAN";"31593";"Indonesia";" 082378994499";"";"";"-3.788068";"102.9656901";"https://maps.google.com/?cid=0x0:0x9f0a3330080fc867";""
"building materials";"Toko bahan makanan";"Toko Bangunan";"6X76+7M4, Jl. Kepahiang - Pagar Alam, Beruge Ilir, Kec. Pendopo, Kabupaten Empat Lawang, Sumatera Selatan 31593";"Jl. Kepahiang - Pagar Alam, Beruge Ilir, Kec. Pendopo, Kabupaten Empat Lawang";"SUMATERA SELATAN";"31593";"Indonesia";" 081273745599";"";"";"-3.7868648";"102.9616913";"https://maps.google.com/?cid=0x0:0x30ce9d72d2a3170f";""
"building materials";"Toko Bahan Bangunan";"Toko Makmur Jaya Teladan";"6X76+7MJ, Beruge Ilir, Kec. Pendopo, Kabupaten Empat Lawang, Sumatera Selatan";"Kabupaten Empat Lawang, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.786798";"102.961644";"https://maps.google.com/?cid=0x0:0x67137cbde3b08d9c";""
"building materials";"Pemasok Bahan Bangunan";"Shunda Plavon Empat Lawang";"Desa, Ujung Alih, Kec. Tebing Tinggi, Kabupaten Empat Lawang, Sumatera Selatan 31453";"Ujung Alih, Kec. Tebing Tinggi, Kabupaten Empat Lawang";"SUMATERA SELATAN";"31453";"Indonesia";" 082180364464";"";"";"-3.6811349";"103.0033055";"https://maps.google.com/?cid=0x0:0x3b706af4e5c6797f";""
"building materials";"Toko Bahan Bangunan";"TB.Faey Ghava (FGsteel)";"6X77+29X, Pendopo, Kec. Pendopo, Kabupaten Empat Lawang, Sumatera Selatan";"Kabupaten Empat Lawang, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.7873912";"102.9634977";"https://maps.google.com/?cid=0x0:0x771dd38107f02184";""
"building materials";"Pembangunan Perumahan";"toko material bahan bangunan";"42MF+7VG, Jl. Puyang Ketib, Babatan, Kec. Lintang Kanan, Kabupaten Empat Lawang, Sumatera Selatan 31593";"Jl. Puyang Ketib, Babatan, Kec. Lintang Kanan, Kabupaten Empat Lawang";"SUMATERA SELATAN";"31593";"Indonesia";" 082282232468";"";"";"-3.8668129";"103.0246932";"https://maps.google.com/?cid=0x0:0xe04a26dead287c40";""
"building materials";"Toko Perlengkapan Rumah";"Shunda Plafon Pendopo";"52V7+9JG, Jl. Kepahiang - Pagar Alam, Landur, Kec. Pendopo, Kabupaten Empat Lawang, Sumatera Selatan 31593";"Jl. Kepahiang - Pagar Alam, Landur, Kec. Pendopo, Kabupaten Empat Lawang";"SUMATERA SELATAN";"31593";"Indonesia";" 081385144800";"";"";"-3.8065746";"103.0140722";"https://maps.google.com/?cid=0x0:0xf3cb2c4950832a82";""
"building materials";"Kantor Perusahaan";"Bengkel Las Vetrian (Tralis ,Pagar dll)";"Babatan, Kec. Lintang Kanan, Kabupaten Empat Lawang, Sumatera Selatan 31593";"Kec. Lintang Kanan, Kabupaten Empat Lawang";"SUMATERA SELATAN";"31593";"Indonesia";" 082279365002";"";"";"-3.8667644";"103.0247583";"https://maps.google.com/?cid=0x0:0x8b9f9b2235bb652a";""
"building materials";"Toko Perlengkapan Rumah";"TB. TIGA SAUDARA";"526P+2XW, Muara Pinang Baru, Kec. Muara Pinang, Kabupaten Empat Lawang, Sumatera Selatan 31592";"Muara Pinang Baru, Kec. Muara Pinang, Kabupaten Empat Lawang";"SUMATERA SELATAN";"31592";"Indonesia";" 082377872288";"";"";"-3.8398791";"103.0374574";"https://maps.google.com/?cid=0x0:0xd8f23d22ad0a2ea0";""
"building materials";"Toko Bahan Bangunan";"Tb. Panca Logam - Empat Lawang (Pasar)";"Ps. Tebing Tinggi, Kec. Tebing Tinggi, Kabupaten Empat Lawang, Sumatera Selatan 31453";"Kec. Tebing Tinggi, Kabupaten Empat Lawang";"SUMATERA SELATAN";"31453";"Indonesia";" 070221052";"";"";"-3.5876897";"103.0830013";"https://maps.google.com/?cid=0x0:0xef4a39fb60b2bd5a";""
"building materials";"Toko";"Mega Bangunan Jaya";"Jl. Trans Sumatera Lahat - Lubuk Linggau No.34, Ps. Tebing Tinggi, Kec. Tebing Tinggi, Kabupaten Empat Lawang, Sumatera Selatan 31453";"Ps. Tebing Tinggi, Kec. Tebing Tinggi, Kabupaten Empat Lawang";"SUMATERA SELATAN";"31453";"Indonesia";"";"";"";"-3.5924215";"103.0865917";"https://maps.google.com/?cid=0x0:0xe601cade084aea09";""
"building materials";"Toko Batu";"Yan pembuat loster tiang propil";"6X62+8WG, Beruge Ilir, Kec. Pendopo, Kabupaten Empat Lawang, Sumatera Selatan 31593";"Beruge Ilir, Kec. Pendopo, Kabupaten Empat Lawang";"SUMATERA SELATAN";"31593";"Indonesia";" 085368720836";"";"";"-3.7888927";"102.9525409";"https://maps.google.com/?cid=0x0:0x3cc3c2672cf5e72f";""
