Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"Toko Bahan Bangunan";"Toko Alat Bangunan BINTANG JAYA";"WCHP+WFF, Karang Agung, Kec. Kota Agung, Kabupaten Lahat, Sumatera Selatan 31471";"Karang Agung, Kec. Kota Agung, Kabupaten Lahat";"SUMATERA SELATAN";"31471";"Indonesia";"";"";"";"-4.0701971";"103.4361784";"https://maps.google.com/?cid=0x0:0xd423cc865d09faf2";""
"building materials";"building materials";"Sumatera Selatan 31419";"Kabupaten Lahat, Sumatera Selatan";"Kabupaten Lahat, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.8196267";"103.4280586";"https://maps.google.com/?cid=0x0:0x4b5d19828dbaf559";""
"building materials";"building materials";"toko bangunan "Orlando";"6FQ8+7JW, Sukarami, Kec. Gumay Talang, Kabupaten Lahat, Sumatera Selatan";"Kabupaten Lahat, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.7617635";"103.4665814";"https://maps.google.com/?cid=0x0:0x87fddd83bb2a418a";""
"building materials";"Jasa Konstruksi dan Bangunan";"Mutiara Gypsum";"6G9X+C67, Jl. Lkr. Luar Lahat, Ps. Lama, Kec. Lahat, Kabupaten Lahat, Sumatera Selatan 32149";"Jl. Lkr. Luar Lahat, Ps. Lama, Kec. Lahat, Kabupaten Lahat";"SUMATERA SELATAN";"32149";"Indonesia";" 081367905256";"";"";"-3.7814728";"103.5480359";"https://maps.google.com/?cid=0x0:0xc3ce7e5b2c3ba974";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan Sumber Bahagia";"Jl. Mayor Ruslan III No.125, Ps. Lama, Kec. Lahat, Kabupaten Lahat, Sumatera Selatan 31413";"Ps. Lama, Kec. Lahat, Kabupaten Lahat";"SUMATERA SELATAN";"31413";"Indonesia";" 0731325807";"";"";"-3.7884079";"103.5399889";"https://maps.google.com/?cid=0x0:0x674b8c674ad80ace";""
"building materials";"Toko Bahan Bangunan";"TB RENY JAYA";"6GQ2+CJ6, Jln Merdeka, Pagar Agung, Kec. Lahat, Kabupaten Lahat, Sumatera Selatan 31419";"Jln Merdeka, Pagar Agung, Kec. Lahat, Kabupaten Lahat";"SUMATERA SELATAN";"31419";"Indonesia";" 081271333430";"";"";"-3.7614741";"103.5015079";"https://maps.google.com/?cid=0x0:0xd71da7bdf70f3e4e";""
"building materials";"Toko Bahan Bangunan";"MR.DIY";"Citimall, Jl. Kol Barlian Lt. GF, Manggul, Lahat, Lahat Regency, South Sumatra 31419";"Jl. Kol Barlian Lt. GF, Manggul, Lahat, Lahat Regency";"SUMATERA SELATAN";"31419";"Indonesia";" 02130022789";"";"";"-3.7818271";"103.564958";"https://maps.google.com/?cid=0x0:0x43758acf0ede04ed";""
"building materials";"Toko Bahan Bangunan";"Depot Material Haider Ali";"5GWH+342, Jalan Taman Ayek Lematang, Lahat Tengah, Kec. Lahat, Kabupaten Lahat, Sumatera Selatan";"Kabupaten Lahat, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";" 081367767187";"";"";"-3.8048603";"103.5277782";"https://maps.google.com/?cid=0x0:0x9b5b6bc6d811f9d0";""
"building materials";"Toko Bahan Bangunan";"Aneka Baja Lahat";"6GCF+JQ4, Jl. Lintas Utama Sumatera, Pagar Agung, Kec. Lahat, Kabupaten Lahat, Sumatera Selatan 31419";"Jl. Lintas Utama Sumatera, Pagar Agung, Kec. Lahat, Kabupaten Lahat";"SUMATERA SELATAN";"31419";"Indonesia";" 0731322433";"";"";"-3.7784848";"103.5244445";"https://maps.google.com/?cid=0x0:0xf702ae1960f50f50";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan E Bersaudara";"6H9M+GQH, Jl. Lahat-Muara Enim, Kota Raya, Kec. Lahat, Kabupaten Lahat, Sumatera Selatan 31419";"Jl. Lahat-Muara Enim, Kota Raya, Kec. Lahat, Kabupaten Lahat";"SUMATERA SELATAN";"31419";"Indonesia";" 081272360953";"";"";"-3.7811751";"103.5844711";"https://maps.google.com/?cid=0x0:0x3777459ef21d61f1";""
