Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"Komplek perumahan";"Dedi";"JRPX+C8, Pagar Jati, Kec. Benakat, Kabupaten Muara Enim, Sumatera Selatan";"Kabupaten Muara Enim, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.3639531";"103.8482835";"https://maps.google.com/?cid=0x0:0x7bc020b892a7e781";""
"komplek housing";"komplek housing";"Sumatera Selatan 31626";"Sumatera Selatan";"Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.3915908";"103.6710059";"https://maps.google.com/?cid=0x0:0x3a3f467a1283fb76";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Esta/Zesta Zali";"Jl. Raya Desa No.1, Padang Bindu, Kec. Benakat, Kabupaten Muara Enim, Sumatera Selatan 31352";"Padang Bindu, Kec. Benakat, Kabupaten Muara Enim";"SUMATERA SELATAN";"31352";"Indonesia";"";"";"";"-3.4256844";"103.818666";"https://maps.google.com/?cid=0x0:0x22d13ae802a2f33d";""
"komplek housing";"Komplek perumahan";"My sweet home";"PR7F+RQW, Jl. Beringin, Talang Ubi Sel., Kec. Talang Ubi, Kabupaten Muara Enim, Sumatera Selatan 31211";"Jl. Beringin, Talang Ubi Sel., Kec. Talang Ubi, Kabupaten Muara Enim";"SUMATERA SELATAN";"31211";"Indonesia";"";"";"";"-3.2845972";"103.8234703";"https://maps.google.com/?cid=0x0:0xc7a75147a929c5d";""
"komplek housing";"Pembangunan Perumahan";"Home";"PR7H+4XJ, Jl. Pahlawan, Talang Ubi Sel., Kec. Talang Ubi, Kabupaten Muara Enim, Sumatera Selatan 31212";"Jl. Pahlawan, Talang Ubi Sel., Kec. Talang Ubi, Kabupaten Muara Enim";"SUMATERA SELATAN";"31212";"Indonesia";"";"";"";"-3.2871734";"103.8298756";"https://maps.google.com/?cid=0x0:0xfc9ff06732c8c205";""
"komplek housing";"Komplek perumahan";"Rumah Septedi Ramanda";"HR8R+JG3, Pagar Jati, Kec. Benakat, Kabupaten Muara Enim, Sumatera Selatan 31626";"Pagar Jati, Kec. Benakat, Kabupaten Muara Enim";"SUMATERA SELATAN";"31626";"Indonesia";"";"";"";"-3.4334905";"103.8412848";"https://maps.google.com/?cid=0x0:0x589adab7c67e2489";""
"komplek housing";"Pembangunan Perumahan";"Rumah Novin/Novian/Sukian";"HRCH+P8G, Jl. Raya Desa Pagar Dewa, Pagar Dewa, Kec. Benakat, Kabupaten Muara Enim, Sumatera Selatan 31352";"Jl. Raya Desa Pagar Dewa, Pagar Dewa, Kec. Benakat, Kabupaten Muara Enim";"SUMATERA SELATAN";"31352";"Indonesia";"";"";"";"-3.4281872";"103.8283214";"https://maps.google.com/?cid=0x0:0x7ff3a29c1fef3793";""
"komplek housing";"Perumahan";"Rumah kania";"HRG9+2JX RUMAH DAVA ALAP, Padang Bindu, Kec. Benakat, Kabupaten Muara Enim, Sumatera Selatan 31352";"Padang Bindu, Kec. Benakat, Kabupaten Muara Enim";"SUMATERA SELATAN";"31352";"Indonesia";"";"";"";"-3.4253716";"103.819338";"https://maps.google.com/?cid=0x0:0x5aa4b9bf709c2d42";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Teamkacau";"HR6M+J63, Rami Pasai, Kec. Benakat, Kabupaten Muara Enim, Sumatera Selatan";"Kabupaten Muara Enim, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.4384995";"103.833038";"https://maps.google.com/?cid=0x0:0x9efe5d8d82202d07";""
"komplek housing";"Komplek perumahan";"Lokasi Lamaran Anak Habi";"HRFC+VF7, Jl. Raya Desa Betung, Padang Bindu, Kec. Benakat, Kabupaten Muara Enim, Sumatera Selatan";"Kabupaten Muara Enim, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.4252662";"103.8207221";"https://maps.google.com/?cid=0x0:0xd44223b44379096d";""
"komplek housing";"Pembangunan Perumahan";"Perumahan Griya Taza Blok A Nomor 1";"PV43+3G, Handayani Mulya, Kec. Talang Ubi, Kabupaten Muara Enim, Sumatera Selatan";"Kabupaten Muara Enim, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.294773";"103.8538448";"https://maps.google.com/?cid=0x0:0xf718426a30df7a37";""
"komplek housing";"Gedung Apartemen";"Nistriani";"HRFC+MPR, Padang Bindu, Kec. Benakat, Kabupaten Muara Enim, Sumatera Selatan";"Kabupaten Muara Enim, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.4257501";"103.821766";"https://maps.google.com/?cid=0x0:0x8f27f39f4cc15f17";""
"komplek housing";"Asosiasi/organisasi";"PSHT Rayon Benakat minyak pusat madiun";"PM4F+72, Benakat Minyak, Kec. Talang Ubi, Kab. Penukal Abab Lematang Ilir, Sumatera Selatan";"Kab. Penukal Abab Lematang Ilir, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.2940876";"103.6728894";"https://maps.google.com/?cid=0x0:0xdc16335b25f4d685";""
"komplek housing";"Kantor Perusahaan";"Guest House Kab. PALI";"PRRG+FV, Talang Ubi Utara, Kec. Talang Ubi, Kabupaten Muara Enim, Sumatera Selatan 31211";"Talang Ubi Utara, Kec. Talang Ubi, Kabupaten Muara Enim";"SUMATERA SELATAN";"31211";"Indonesia";"";"";"";"-3.2588125";"103.8271875";"https://maps.google.com/?cid=0x0:0x59ced4c5c371ab51";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Faihana Eshal";"Jl. Rantau, Handayani Mulya, Talang Ubi, Penukal Abab Lematang Ilir Regency, South Sumatra 31212";"Handayani Mulya, Talang Ubi, Penukal Abab Lematang Ilir Regency";"SUMATERA SELATAN";"31212";"Indonesia";" 081929340777";"";"";"-3.2926466";"103.8497596";"https://maps.google.com/?cid=0x0:0x878f7b286488825b";""
"komplek housing";"Kompleks Apartemen";"Rumah WALDI DESTIANSYA PUTRA";"PP6G+Q3, Sungai Baung, Kec. Talang Ubi, Kabupaten Muara Enim, Sumatera Selatan";"Kabupaten Muara Enim, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.287626";"103.725313";"https://maps.google.com/?cid=0x0:0x15367336a333b138";""
