Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"mall";"Kec. Babat Supat";"Kabupaten Musi Banyuasin, Sumatera Selatan";"Kabupaten Musi Banyuasin, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-2.793522";"104.1371652";"https://maps.google.com/?cid=0x0:0x998cbac5921b4df7";""
"mall";"Toko";"Simp. 4 babat Banyuasin";"Jl. Raya Palembang - Jambi, Babat Banyuasin, Sungai Lilin, Kabupaten Musi Banyuasin, Sumatera Selatan 30755";"Babat Banyuasin, Sungai Lilin, Kabupaten Musi Banyuasin";"SUMATERA SELATAN";"30755";"Indonesia";"";"";"";"-2.7790418";"104.0894574";"https://maps.google.com/?cid=0x0:0x25ad9159a177e90a";""
"mall";"Toko";"Pasar Babat Banyuasin";"63GR+MVM, Babat Banyuasin, Kec. Babat Supat, Kabupaten Musi Banyuasin, Sumatera Selatan 30755";"Babat Banyuasin, Kec. Babat Supat, Kabupaten Musi Banyuasin";"SUMATERA SELATAN";"30755";"Indonesia";" 083836220315";"";"";"-2.7732847";"104.0921643";"https://maps.google.com/?cid=0x0:0xe2b259d8d9d0526e";""
"mall";"Pusat Perbelanjaan";"Sakban Valentine";"63GV+324, Babat Banyuasin, Kec. Sungai Lilin, Kabupaten Musi Banyuasin, Sumatera Selatan 30755";"Babat Banyuasin, Kec. Sungai Lilin, Kabupaten Musi Banyuasin";"SUMATERA SELATAN";"30755";"Indonesia";" 08538136999";"";"";"-2.7748664";"104.0925905";"https://maps.google.com/?cid=0x0:0x68e09cf47d4a4619";""
"mall";"Sekolah Dasar";"SMA Negeri 1 Babat Supat";"63GJ+GG7, Babat Banyuasin, Kec. Sungai Lilin, Kabupaten Musi Banyuasin, Sumatera Selatan 30755";"Babat Banyuasin, Kec. Sungai Lilin, Kabupaten Musi Banyuasin";"SUMATERA SELATAN";"30755";"Indonesia";"";"";"";"-2.7737103";"104.0812841";"https://maps.google.com/?cid=0x0:0x50f1d198cddfc937";""
"mall";"Toko";"RAM ADS";"6468+8P5, plp14, Kec. Babat Supat, Kabupaten Musi Banyuasin, Sumatera Selatan 30755";"plp14, Kec. Babat Supat, Kabupaten Musi Banyuasin";"SUMATERA SELATAN";"30755";"Indonesia";" 081277486312";"";"";"-2.7892346";"104.1168543";"https://maps.google.com/?cid=0x0:0xc11b5fb079ee8dc7";""
"mall";"Toko Ponsel";"E  N barokah cell";"Jl. Raya Palembang - Jambi Desa seratus lapan No.km 108, Babat Banyuasin, Kec. Babat Supat, Kabupaten Musi Banyuasin, Sumatera Selatan 30755";"Babat Banyuasin, Kec. Babat Supat, Kabupaten Musi Banyuasin";"SUMATERA SELATAN";"30755";"Indonesia";"";"";"";"-2.758645";"104.0734783";"https://maps.google.com/?cid=0x0:0xdc38667acb35a516";""
"mall";"Toko Alat Tulis Kantor";"ATK_Fc.yudiMS";"64RP+M9W, Jl. Raya Palembang - Jambi, Babat Banyuasin, Kec. Sungai Lilin, Kabupaten Musi Banyuasin, Sumatera Selatan 30755";"Jl. Raya Palembang - Jambi, Babat Banyuasin, Kec. Sungai Lilin, Kabupaten Musi Banyuasin";"SUMATERA SELATAN";"30755";"Indonesia";" 081291157082";"";"";"-2.7582633";"104.1359455";"https://maps.google.com/?cid=0x0:0x9093ef8f5268f58d";""
"mall";"Pusat Perbelanjaan";"Pameran Muba Expo";"4V42+9CH, Kayu Ara, Kec. Sekayu, Kabupaten Musi Banyuasin, Sumatera Selatan 30711";"Kayu Ara, Kec. Sekayu, Kabupaten Musi Banyuasin";"SUMATERA SELATAN";"30711";"Indonesia";"";"";"";"-2.8940731";"103.8511211";"https://maps.google.com/?cid=0x0:0x808dbff451d244e5";""
"mall";"Toko";"TOKO ALAMSYAH";"8345+CQ, Suka Maju, Kec. Babat Supat, Kabupaten Musi Banyuasin, Sumatera Selatan 30755";"Suka Maju, Kec. Babat Supat, Kabupaten Musi Banyuasin";"SUMATERA SELATAN";"30755";"Indonesia";"";"";"";"-2.6940458";"104.0593984";"https://maps.google.com/?cid=0x0:0x1f54d8ee92763ad4";""
