Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"building materials";"Jayaloka";"Ciptodadi, Kec. Suka Karya, Kabupaten Musi Rawas, Sumatera Selatan";"Kabupaten Musi Rawas, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.233333";"103.2";"https://maps.google.com/?cid=0x0:0x4039d80b220f080";""
"building materials";"Jasa Konstruksi dan Bangunan";"Sulton Batako 01";"Sukowarno, Kec. Suka Karya, Kabupaten Musi Rawas, Sumatera Selatan 31664";"Kec. Suka Karya, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31664";"Indonesia";" 081390460512";"";"";"-3.2481912";"103.1547243";"https://maps.google.com/?cid=0x0:0xac03b275b0ec4066";""
"building materials";"Pemasok Semen Ready-mix";"TOKO MEGA MAKMUR  YONO WALET";"Q5GG+JGW, Ciptodadi, Kec. Suka Karya, Kabupaten Musi Rawas, Sumatera Selatan 31665";"Ciptodadi, Kec. Suka Karya, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31665";"Indonesia";" 081367744023";"";"";"-3.2233333";"103.176336";"https://maps.google.com/?cid=0x0:0xd2f12ac3cf348e12";""
"building materials";"Toko Bahan Bangunan";"Cahaya Prathama";"Q67C+53F, Jl. Raya Suka Karya, Ciptodadi, Kec. Suka Karya, Kabupaten Musi Rawas, Sumatera Selatan 31665";"Jl. Raya Suka Karya, Ciptodadi, Kec. Suka Karya, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31665";"Indonesia";"";"";"";"-3.2370559";"103.2201778";"https://maps.google.com/?cid=0x0:0xde0425d72250816f";""
"building materials";"Toko Perlengkapan Rumah";"TOKO HASTERA JAYA";"Q24Q+3W5, Jl. Trans Sumatera Lahat - Lubuk Linggau, Ps. Muara Beliti, Kec. Muara Beliti, Kabupaten Musi Rawas, Sumatera Selatan 31661";"Jl. Trans Sumatera Lahat - Lubuk Linggau, Ps. Muara Beliti, Kec. Muara Beliti, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31661";"Indonesia";" 081367937518";"";"";"-3.2448729";"103.0398624";"https://maps.google.com/?cid=0x0:0x63f23fd68fe73929";""
"building materials";"Toko Bahan Bangunan";"Tb karya loka";"Jl. Komp. Bsd Sektor 14 No.11 Blok H8, RT.5/RW.5, Rw. Mekar Jaya, Kec. Serpong, Kota Tangerang Selatan, Banten 15310";"RT.5/RW.5, Rw. Mekar Jaya, Kec. Serpong, Kota Tangerang Selatan";"SUMATERA SELATAN";"15310";"Indonesia";"";"";"";"-6.303983";"106.692393";"https://maps.google.com/?cid=0x0:0xa352e70c4184bfd";""
"building materials";"Pemasok Bahan Bangunan";"TB Nusa Loka";"Blok D1 No 19, Jl. Kalimantan Komplek Nusa Loka BSD No.Sektor 14, RT.4/RW.2, Rw. Mekar Jaya, Kec. Serpong, Kota Tangerang Selatan, Banten 15310";"Jl. Kalimantan Komplek Nusa Loka BSD No.Sektor 14, RT.4/RW.2, Rw. Mekar Jaya, Kec. Serpong, Kota Tangerang Selatan";"SUMATERA SELATAN";"15310";"Indonesia";" 087808678993";"";"";"-6.3005442";"106.6881185";"https://maps.google.com/?cid=0x0:0x8c5a1e6b180aae03";""
"building materials";"building materials";"Kec. Megang Sakti";"Kabupaten Musi Rawas, Sumatera Selatan";"Kabupaten Musi Rawas, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.0366223";"103.0220781";"https://maps.google.com/?cid=0x0:0xccff6d0edad6cb73";""
"building materials";"Toko Bahan Bangunan";"TB YUDA";"Jl. Syahri Wahab No.13, Megang Sakti I, Kec. Megang Sakti, Kabupaten Musi Rawas, Sumatera Selatan 31661";"Megang Sakti I, Kec. Megang Sakti, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31661";"Indonesia";"";"";"";"-3.0244799";"103.0206026";"https://maps.google.com/?cid=0x0:0xa102865b16295970";""
"building materials";"Toko Bahan Bangunan";"Toko Bintara Bangunan";"Unnamed Road, Megang Sakti I, Kec. Megang Sakti, Kabupaten Musi Rawas, Sumatera Selatan 31661";"Megang Sakti I, Kec. Megang Sakti, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31661";"Indonesia";" 082175418687";"";"";"-3.040453";"103.020987";"https://maps.google.com/?cid=0x0:0x768898a668dc9d23";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan Makmur (TB. MAKMUR)";"Kelurahan Talangubi, Kec. Megang Sakti, Kabupaten Musi Rawas, Sumatera Selatan 31663";"Kec. Megang Sakti, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31663";"Indonesia";" 081278888596";"";"";"-3.0392961";"103.0322734";"https://maps.google.com/?cid=0x0:0x58e462927237cd32";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan Saudi";"3XQQ+3PW, Unnamed Road, Jajaran Baru II, Kec. Megang Sakti, Kabupaten Musi Rawas, Sumatera Selatan 31657";"Unnamed Road, Jajaran Baru II, Kec. Megang Sakti, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31657";"Indonesia";"";"";"";"-2.9122683";"102.9893403";"https://maps.google.com/?cid=0x0:0x45afd3572fc1e885";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan Bpk Belalang";"22R5+8X, Jajaran Baru II, Kec. Megang Sakti, Kabupaten Musi Rawas, Sumatera Selatan";"Kabupaten Musi Rawas, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-2.9592293";"103.0098865";"https://maps.google.com/?cid=0x0:0x70d254ea7f7024a7";""
"building materials";"Toko Bahan Bangunan";"LAMBANGSARI GRUP";"54VC+8CX, Marga Baru, Kec. Muara Lakitan, Kabupaten Musi Rawas, Sumatera Selatan 31657";"Marga Baru, Kec. Muara Lakitan, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31657";"Indonesia";"";"";"";"-2.8066284";"103.1211114";"https://maps.google.com/?cid=0x0:0x7d2b7cc998bde861";""
"building materials";"Toko Bahan Bangunan";"Toko Besi Prima Jaya";"X24C+Q28, Unnamed Road,, Megang Sakti II, Kec. Megang Sakti, Kabupaten Musi Rawas, Sumatera Selatan 31661";"Unnamed Road,, Megang Sakti II, Kec. Megang Sakti, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31661";"Indonesia";" 085382223004";"";"";"-3.0430992";"103.020068";"https://maps.google.com/?cid=0x0:0xf6ce52ca546029af";""
"building materials";"Toko Bahan Bangunan";"Toko bangunan nabila";"X34G+R7R, Jl. Tri Tunggal, Megang Sakti III, Kec. Megang Sakti, Kabupaten Musi Rawas, Sumatera Selatan 31663";"Jl. Tri Tunggal, Megang Sakti III, Kec. Megang Sakti, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31663";"Indonesia";"";"";"";"-3.0428872";"103.0756329";"https://maps.google.com/?cid=0x0:0xd87b23cb3dd57212";""
"building materials";"building materials";"BINTANG PLAPON";"X25C+XH9, Megang Sakti I, Kec. Megang Sakti, Kabupaten Musi Rawas, Sumatera Selatan 31661";"Megang Sakti I, Kec. Megang Sakti, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31661";"Indonesia";"";"";"";"-3.0401445";"103.021395";"https://maps.google.com/?cid=0x0:0x6bfbec1d47f2f4b6";""
"building materials";"Toko Bahan Bangunan";"IDEAL GRUP";"Jl. Poros sp3 marga baru blok A2 KAB, Marga Baru, Kec. Muara Lakitan, Kabupaten Musi Rawas, Sumatera Selatan 31666";"Marga Baru, Kec. Muara Lakitan, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31666";"Indonesia";"";"";"";"-2.8062524";"103.1235832";"https://maps.google.com/?cid=0x0:0x96101a4c6493338a";""
"building materials";"Toko Bahan Bangunan";"Musi Rawas Lestari Makmur";"R4W3+CX8, JL. Lintas Sumatera, Tuah Negeri, Musi Rawas, Petunang, Kec. Tuah Negeri, Kabupaten Musi Rawas, Sumatera Selatan 31663";"JL. Lintas Sumatera, Tuah Negeri, Musi Rawas, Petunang, Kec. Tuah Negeri, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31663";"Indonesia";" 081366393029";"";"";"-3.153971";"103.10496";"https://maps.google.com/?cid=0x0:0xc5b88aff6e0a6405";""
"building materials";"building materials";"Kec. Muara Beliti";"Kabupaten Musi Rawas, Sumatera Selatan";"Kabupaten Musi Rawas, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-3.2434064";"103.0112045";"https://maps.google.com/?cid=0x0:0x1c0e5868c2ce73be";""
"building materials";"Toko Bahan Bangunan";"TB.MURA BANGUNAN";"Jl.Raya Tugumulyo No.517, Tanah Periuk I, Kec. Muara Beliti, Kabupaten Musi Rawas, Sumatera Selatan 31661";"Tanah Periuk I, Kec. Muara Beliti, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31661";"Indonesia";" 085215231699";"";"";"-3.262838";"102.9368035";"https://maps.google.com/?cid=0x0:0xdcc766ad82d2a0cc";""
"building materials";"Toko Bahan Bangunan";"Musi Rawas Lestari Makmur";"R4W3+CX8, JL. Lintas Sumatera, Tuah Negeri, Musi Rawas, Petunang, Kec. Tuah Negeri, Kabupaten Musi Rawas, Sumatera Selatan 31663";"JL. Lintas Sumatera, Tuah Negeri, Musi Rawas, Petunang, Kec. Tuah Negeri, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31663";"Indonesia";" 081366393029";"";"";"-3.153971";"103.10496";"https://maps.google.com/?cid=0x0:0xc5b88aff6e0a6405";""
"building materials";"Toko Perlengkapan Rumah";"TOKO HASTERA JAYA";"Q24Q+3W5, Jl. Trans Sumatera Lahat - Lubuk Linggau, Ps. Muara Beliti, Kec. Muara Beliti, Kabupaten Musi Rawas, Sumatera Selatan 31661";"Jl. Trans Sumatera Lahat - Lubuk Linggau, Ps. Muara Beliti, Kec. Muara Beliti, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31661";"Indonesia";" 081367937518";"";"";"-3.2448729";"103.0398624";"https://maps.google.com/?cid=0x0:0x63f23fd68fe73929";""
"building materials";"Toko Bahan Bangunan";"Tb.sumber Arto Moro";"Unnamed Road, 31626, Trikoyo, Kec. Tugumulyo, Kabupaten Musi Rawas, Sumatera Selatan 31626";"31626, Trikoyo, Kec. Tugumulyo, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31626";"Indonesia";" 081328879628";"";"";"-3.1909448";"102.9464986";"https://maps.google.com/?cid=0x0:0xf9e62388fcccb005";""
"building materials";"Toko Bahan Bangunan";"TB. SENTRAL GYPSUM";"QWHR+3JH, Jl. Jend. Sudirman, D .Triwikaton, Kec. Tugumulyo, Kabupaten Musi Rawas, Sumatera Selatan 31661";"Jl. Jend. Sudirman, D .Triwikaton, Kec. Tugumulyo, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31661";"Indonesia";" 085789811432";"";"";"-3.2223067";"102.9416093";"https://maps.google.com/?cid=0x0:0xcd5e8dd7c336b284";""
"building materials";"Toko Bahan Bangunan";"Toko 988";"RXC9+9W9, Jl. H. Zainal Abidin Ning, Sidoharjo, Kec. Tugumulyo, Kabupaten Musi Rawas, Sumatera Selatan 31661";"Jl. H. Zainal Abidin Ning, Sidoharjo, Kec. Tugumulyo, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31661";"Indonesia";" 085266259995";"";"";"-3.1790989";"102.96987";"https://maps.google.com/?cid=0x0:0x2f33701898e1306b";""
