Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"building materials";"Sumatera Selatan 31658";"Karang Dapo, Kabupaten Musi Rawas, Sumatera Selatan";"Kabupaten Musi Rawas, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-2.7453255";"103.035694";"https://maps.google.com/?cid=0x0:0xe72620e1eb13dcdf";""
"building materials";"Toko Bahan Bangunan";"LAMBANGSARI GRUP";"54VC+8CX, Marga Baru, Kec. Muara Lakitan, Kabupaten Musi Rawas, Sumatera Selatan 31657";"Marga Baru, Kec. Muara Lakitan, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31657";"Indonesia";"";"";"";"-2.8066284";"103.1211114";"https://maps.google.com/?cid=0x0:0x7d2b7cc998bde861";""
"building materials";"Toko Bahan Bangunan";"TB. Berkah Jaya";"72X8+956, Jalan, Biaro Baru, Bingin Teluk, Kab. Musi Rawas Utara, Sumatera Selatan 31658";"Jalan, Biaro Baru, Bingin Teluk, Kab. Musi Rawas Utara";"SUMATERA SELATAN";"31658";"Indonesia";" 081271848191";"";"";"-2.701598";"103.015396";"https://maps.google.com/?cid=0x0:0x5a863eeb25bcfdb8";""
"building materials";"Toko Perlengkapan Rumah";"Depo Material Bangunan AA Lubuk Kemang";"9R2F+542, Lubuk Kemang, Kec. Rawas Ulu, Kab. Musi Rawas Utara, Sumatera Selatan 31654";"Lubuk Kemang, Kec. Rawas Ulu, Kab. Musi Rawas Utara";"SUMATERA SELATAN";"31654";"Indonesia";" 081221998585";"";"";"-2.6496124";"102.8227621";"https://maps.google.com/?cid=0x0:0x1c404e7cec72b7d3";""
"building materials";"Kantor Perusahaan";"Batu Bata Percetakan";"4XVW+VPW, Karang Dapo I, Karang Dapo, Kab. Musi Rawas Utara, Sumatera Selatan 31657";"Karang Dapo I, Karang Dapo, Kab. Musi Rawas Utara";"SUMATERA SELATAN";"31657";"Indonesia";" 082177393266";"";"";"-2.855263";"102.996826";"https://maps.google.com/?cid=0x0:0x4c72715fe759e79";""
"building materials";"Toko Bahan Bangunan";"Toko Istana Bangunan";"94V7+9G7, Unnamed Road, Beringin Makmur II, Kec. Rawas Ilir, Kab. Musi Rawas Utara, Sumatera Selatan 31655";"Unnamed Road, Beringin Makmur II, Kec. Rawas Ilir, Kab. Musi Rawas Utara";"SUMATERA SELATAN";"31655";"Indonesia";"";"";"";"-2.6065788";"103.1137877";"https://maps.google.com/?cid=0x0:0xe87952670048eed5";""
"building materials";"Toko Bahan Bangunan";"TOKO BANGUNAN TIWA";"Jalan Nangka Belanda, Dusun V, Lawang Agung, Kec. Rupit, Kab. Musi Rawas Utara, Sumatera Selatan 31654";"Dusun V, Lawang Agung, Kec. Rupit, Kab. Musi Rawas Utara";"SUMATERA SELATAN";"31654";"Indonesia";" 081274406225";"";"";"-2.7140813";"102.9116705";"https://maps.google.com/?cid=0x0:0xf297bdc22ec84b7d";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan Soember Redjeki";"Lawang Agung, Kec. Rupit, Kab. Musi Rawas Utara, Sumatera Selatan";"Kab. Musi Rawas Utara, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-2.7122776";"102.9109964";"https://maps.google.com/?cid=0x0:0x9247b6346ab8484";""
"building materials";"Toko Bahan Bangunan";"Toko bangunan Amira jaya";"83MC+69H, Mandi Angin, Kec. Rawas Ilir, Kab. Musi Rawas Utara, Sumatera Selatan 31658";"Mandi Angin, Kec. Rawas Ilir, Kab. Musi Rawas Utara";"SUMATERA SELATAN";"31658";"Indonesia";" 082180069268";"";"";"-2.6667497";"103.0704008";"https://maps.google.com/?cid=0x0:0x15cc47edcc180824";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan Darman LD";"Lawang Agung, Kec. Rupit, Kab. Musi Rawas Utara, Sumatera Selatan 31654";"Kec. Rupit, Kab. Musi Rawas Utara";"SUMATERA SELATAN";"31654";"Indonesia";"";"";"";"-2.7155175";"102.910601";"https://maps.google.com/?cid=0x0:0x21a83d122e8115ad";""
"building materials";"Toko Bahan Bangunan";"TOKO KONTRUKSI";"7WG4+PWG, Muara Rupit, Kec. Rupit, Kab. Musi Rawas Utara, Sumatera Selatan 31654";"Muara Rupit, Kec. Rupit, Kab. Musi Rawas Utara";"SUMATERA SELATAN";"31654";"Indonesia";" 081298797827";"";"";"-2.7231911";"102.907313";"https://maps.google.com/?cid=0x0:0x250dfbcefde1508e";""
"building materials";"Toko Bahan Bangunan";"Tb sampurna";"94P6+VV7, Beringin Makmur II, Kec. Rawas Ilir, Kabupaten Musi Rawas, Sumatera Selatan 31655";"Beringin Makmur II, Kec. Rawas Ilir, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31655";"Indonesia";"";"";"";"-2.6128251";"103.1121568";"https://maps.google.com/?cid=0x0:0x5817759f27e1d4aa";""
"building materials";"Toko Batu";"BATU ALAM HIAS, BONGKAHAN EMAS, BIJI BESI, GALENA, BATU BARA KOMPUTER ATK CV. JMC GROUPS";"samping BNI, Jl. Lintas Utama Sumatera No.KM 01, Lawang Agung, Kec. Rupit, Kabupaten Musi Rawas, Sumatera Selatan 31654";"Jl. Lintas Utama Sumatera No.KM 01, Lawang Agung, Kec. Rupit, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31654";"Indonesia";" 08117188899";"";"";"-2.7110636";"102.9108914";"https://maps.google.com/?cid=0x0:0x279bfbe950df9fb9";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan Saudi";"3XQQ+3PW, Unnamed Road, Jajaran Baru II, Kec. Megang Sakti, Kabupaten Musi Rawas, Sumatera Selatan 31657";"Unnamed Road, Jajaran Baru II, Kec. Megang Sakti, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31657";"Indonesia";"";"";"";"-2.9122683";"102.9893403";"https://maps.google.com/?cid=0x0:0x45afd3572fc1e885";""
"building materials";"building materials";"Toko Sam Material";"Dusun II, 31672, Karang Dapo I, Karang Dapo, Kabupaten Musi Rawas, Sumatera Selatan 31657";"31672, Karang Dapo I, Karang Dapo, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31657";"Indonesia";" 082182345771";"";"";"-2.855263";"102.996826";"https://maps.google.com/?cid=0x0:0x72dbf43a8ab80e4";""
"building materials";"building materials";"Toko salam";"62VP+QMR, Karang Dapo II, Karang Dapo, Kabupaten Musi Rawas, Sumatera Selatan 31658";"Karang Dapo II, Karang Dapo, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31658";"Indonesia";"";"";"";"-2.7555068";"103.0366325";"https://maps.google.com/?cid=0x0:0xc1968df3f117a028";""
"building materials";"building materials";"Karang Dapo";"Kab. Musi Rawas Utara, Sumatera Selatan";"Kab. Musi Rawas Utara, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-2.7453255";"103.035694";"https://maps.google.com/?cid=0x0:0x4dbc37f5ff4fa4a5";""
"building materials";"Toko Perlengkapan Rumah";"ADIGUNA TILE by permata group";"7W94+577, Muara Rupit, Kec. Rupit, Kabupaten Musi Rawas, Sumatera Selatan 31654";"Muara Rupit, Kec. Rupit, Kabupaten Musi Rawas";"SUMATERA SELATAN";"31654";"Indonesia";" 081367125790";"";"";"-2.7320805";"102.905676";"https://maps.google.com/?cid=0x0:0x14d6bb6c87ba26de";""
"building materials";"Toko Bahan Bangunan";"TB. CAHAYA SUKSES BAJA";"Jl. Lintas Utama Sumatera, Embacang Baru, Kec. Karang Jaya, Kab. Musi Rawas Utara, Sumatera Selatan 31654";"Embacang Baru, Kec. Karang Jaya, Kab. Musi Rawas Utara";"SUMATERA SELATAN";"31654";"Indonesia";" 082181323699";"";"";"-2.8469847";"102.8154202";"https://maps.google.com/?cid=0x0:0xac59cfb10448f0e2";""
"building materials";"Toko";"Toko asyer";"5R9M+WM9, Tj. Beringin, Kec. Rupit, Kab. Musi Rawas Utara, Sumatera Selatan 31654";"Tj. Beringin, Kec. Rupit, Kab. Musi Rawas Utara";"SUMATERA SELATAN";"31654";"Indonesia";"";"";"";"-2.83022";"102.8342284";"https://maps.google.com/?cid=0x0:0x1e79f7ce7fab34e7";""
