Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Sumatera Selatan 30656";"Sungai Batang, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir, Sumatera Selatan";"Kabupaten Ogan Komering Ilir, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-2.717332";"105.3599568";"https://maps.google.com/?cid=0x0:0xfbd3b7ff39d8c681";""
"komplek housing";"Komplek perumahan";"Ladusing tekhnik";"9864+JGW, Banyu Biru, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir, Sumatera Selatan 30656";"Banyu Biru, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir";"SUMATERA SELATAN";"30656";"Indonesia";"";"";"";"-2.6391023";"105.307214";"https://maps.google.com/?cid=0x0:0x6d03e23ee46f1ce0";""
"komplek housing";"Komplek perumahan";"Marvel snakhead";"F9C3+MQV, Mukti Jaya, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir, Sumatera Selatan 30656";"Mukti Jaya, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir";"SUMATERA SELATAN";"30656";"Indonesia";"";"";"";"-2.5290071";"105.3546039";"https://maps.google.com/?cid=0x0:0xe8f5b2b219471790";""
"komplek housing";"Komplek perumahan";"Home stay fikri_al";"87M9+8P, Simpang Heran, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir, Sumatera Selatan";"Kabupaten Ogan Komering Ilir, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-2.6666803";"105.2692892";"https://maps.google.com/?cid=0x0:0x42bae847b1908ccd";""
"komplek housing";"Perumahan";"NADIA";"87G5+68, Simpang Heran, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir, Sumatera Selatan 30656";"Simpang Heran, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir";"SUMATERA SELATAN";"30656";"Indonesia";"";"";"";"-2.6743924";"105.2583836";"https://maps.google.com/?cid=0x0:0x2ce16e2b7865b0d";""
"komplek housing";"Komplek perumahan";"KHAFID";"865M+39, Rengas Abang, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir, Sumatera Selatan 30654";"Rengas Abang, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir";"SUMATERA SELATAN";"30654";"Indonesia";"";"";"";"-2.6923321";"105.2334381";"https://maps.google.com/?cid=0x0:0x2c0266dfb15e68d3";""
"komplek housing";"Pembangunan Perumahan";"Zidan _Aufa";"F928+784, Serijaya Baru, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir, Sumatera Selatan 30656";"Serijaya Baru, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir";"SUMATERA SELATAN";"30656";"Indonesia";"";"";"";"-2.5493667";"105.3658125";"https://maps.google.com/?cid=0x0:0x1162b2f2f81c9322";""
"komplek housing";"Komplek perumahan";"Family C19";"Sungai Batang, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir, Sumatera Selatan";"Kabupaten Ogan Komering Ilir, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";" 082281117261";"";"";"-2.7380114";"105.2932578";"https://maps.google.com/?cid=0x0:0x29dcf937e6b98fb5";""
"komplek housing";"Kompleks Apartemen";"Tempat tinggal";"F9JC+42W, Mukti Jaya, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir, Sumatera Selatan";"Kabupaten Ogan Komering Ilir, Sumatera Selatan";"SUMATERA SELATAN";"";"Indonesia";"";"";"";"-2.5196335";"105.3700886";"https://maps.google.com/?cid=0x0:0xed3d5ceb1a27fc84";""
"komplek housing";"Pembangunan Perumahan";"M RIDWAN";"976F+VF6, Pangkalan Sakti, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir, Sumatera Selatan 30656";"Pangkalan Sakti, Kec. Air Sugihan, Kabupaten Ogan Komering Ilir";"SUMATERA SELATAN";"30656";"Indonesia";"";"";"";"-2.6373799";"105.2729884";"https://maps.google.com/?cid=0x0:0xe36cb4d0ef82f1fb";""
