Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Kec. Air Naningan";"Kabupaten Tanggamus, Lampung";"Kabupaten Tanggamus, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.2448841";"104.7078421";"https://maps.google.com/?cid=0x0:0x4328127a0872f43c";""
"komplek housing";"komplek housing";"Lampung 35679";"Kabupaten Tanggamus, Lampung";"Kabupaten Tanggamus, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.1996506";"104.6354631";"https://maps.google.com/?cid=0x0:0x8fa949b20f9b6394";""
"komplek housing";"Kantor Pemerintah";"Kantor sekretariat PPK kec. Air Naningan";"Jl smp No.n 1, Sinar Jawa, Kec. Air Naningan, Kabupaten Tanggamus, Lampung 35679";"Sinar Jawa, Kec. Air Naningan, Kabupaten Tanggamus";"LAMPUNG";"35679";"Indonesia";"";"";"";"-5.2477831";"104.7115926";"https://maps.google.com/?cid=0x0:0xec37ecba77ceb132";""
"komplek housing";"Komplek perumahan";"RUMAH MULYONO";"QM3R+C6, Sinar Jawa, Kec. Air Naningan, Kabupaten Tanggamus, Lampung 35679";"Sinar Jawa, Kec. Air Naningan, Kabupaten Tanggamus";"LAMPUNG";"35679";"Indonesia";"";"";"";"-5.2463999";"104.690621";"https://maps.google.com/?cid=0x0:0x838593075729083";""
"komplek housing";"Komplek perumahan";"Yoga Home";"PQGG+P8F, Batu Tegi, Kec. Air Naningan, Kabupaten Tanggamus, Lampung";"Kabupaten Tanggamus, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.2731967";"104.7757813";"https://maps.google.com/?cid=0x0:0xa61f49e88518d329";""
"komplek housing";"Komplek perumahan";"Gang tempel";"QP46+83P, Sinar Jawa, Kec. Air Naningan, Kabupaten Tanggamus, Lampung 35679";"Sinar Jawa, Kec. Air Naningan, Kabupaten Tanggamus";"LAMPUNG";"35679";"Indonesia";"";"";"";"-5.2441428";"104.7101783";"https://maps.google.com/?cid=0x0:0x2f6a59c906cf884d";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Prima";"QMHM+C2, Air Naningan, Kec. Air Naningan, Kabupaten Tanggamus, Lampung";"Kabupaten Tanggamus, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.2213788";"104.6825413";"https://maps.google.com/?cid=0x0:0x826120abe39648e3";""
"komplek housing";"Komplek perumahan";"R.ARIE";"QMJ7+2M, Air Naningan, Kec. Air Naningan, Kabupaten Tanggamus, Lampung";"Kabupaten Tanggamus, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.2199174";"104.6642323";"https://maps.google.com/?cid=0x0:0xd2c18845cab99f46";""
"komplek housing";"Komplek perumahan";"Fathir_m066";"Jalan Bangun rejo rt/rw 002/002, Karang Sari, Kec. Air Naningan, Kabupaten Tanggamus, Lampung 35679";"Karang Sari, Kec. Air Naningan, Kabupaten Tanggamus";"LAMPUNG";"35679";"Indonesia";"";"";"";"-5.2761327";"104.7070811";"https://maps.google.com/?cid=0x0:0xcd6edfc92aeedd8e";""
"komplek housing";"Minimarket";"rumah Nabila";"PP87+52, Karang Sari, Kec. Air Naningan, Kabupaten Tanggamus, Lampung";"Kabupaten Tanggamus, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.2846571";"104.7121338";"https://maps.google.com/?cid=0x0:0x68e72d394ca85a90";""
