Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Pusat Perbelanjaan";"Mall Boemi Kedaton";"Jl. Teuku Umar No.1, Labuhan Ratu, Kec. Kedaton, Kota Bandar Lampung, Lampung 35132";"Labuhan Ratu, Kec. Kedaton, Kota Bandar Lampung";"LAMPUNG";"35132";"Indonesia";"";"";"";"-5.382631";"105.259337";"https://maps.google.com/?cid=0x0:0x5e4953a0072877f3";""
"mall";"mall";"Lampung 35513";"Kec. Anak Ratu Aji, Kabupaten Lampung Tengah, Lampung";"Kabupaten Lampung Tengah, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-4.9495708";"104.9622498";"https://maps.google.com/?cid=0x0:0xcf0dbe4964d08dff";""
"mall";"Pasar";"Pasar Transrimulyo";"2WH8+2JC, transrimulyo, Sri Mulyo, Kec. Anak Ratu Aji, Kabupaten Lampung Tengah, Lampung 35513";"transrimulyo, Sri Mulyo, Kec. Anak Ratu Aji, Kabupaten Lampung Tengah";"LAMPUNG";"35513";"Indonesia";"";"";"";"-4.9724279";"104.9165043";"https://maps.google.com/?cid=0x0:0xa9c3ba05e901cba";""
"mall";"Toko Swalayan";"Toko sujatno";"3XGG+8CG, RT.001/rw007, Karang Jawa, Kec. Anak Ratu Aji, Kabupaten Lampung Tengah, Lampung 35513";"RT.001/rw007, Karang Jawa, Kec. Anak Ratu Aji, Kabupaten Lampung Tengah";"LAMPUNG";"35513";"Indonesia";" 082181307515";"";"";"-4.9241965";"104.9760765";"https://maps.google.com/?cid=0x0:0xaeb967a7854fc1e0";""
"mall";"Pasar";"Pasar Desa Suka Jaya";"2XPF+VQV, Unnamed Road, Sukajaya, Kec. Anak Ratu Aji, Kabupaten Lampung Tengah, Lampung 35513";"Unnamed Road, Sukajaya, Kec. Anak Ratu Aji, Kabupaten Lampung Tengah";"LAMPUNG";"35513";"Indonesia";"";"";"";"-4.9627749";"104.9744361";"https://maps.google.com/?cid=0x0:0x7439877d151605f7";""
"mall";"Kantor Perusahaan";"Agam Gypsun";"3X8J+FR2, jl. Reso Adi Pawiro, Karang Jawa, Kec. Anak Ratu Aji, Kabupaten Lampung Tengah, Lampung 35513";"jl. Reso Adi Pawiro, Karang Jawa, Kec. Anak Ratu Aji, Kabupaten Lampung Tengah";"LAMPUNG";"35513";"Indonesia";"";"";"";"-4.93387";"104.982003";"https://maps.google.com/?cid=0x0:0x6553821020181e2e";""
"mall";"Apotek";"Stholics_Lampung Tengah";"2XXF+RR2, Unnamed Road, Sukajaya, Kec. Anak Ratu Aji, Kabupaten Lampung Tengah, Lampung 35513";"Unnamed Road, Sukajaya, Kec. Anak Ratu Aji, Kabupaten Lampung Tengah";"LAMPUNG";"35513";"Indonesia";"";"";"";"-4.9504919";"104.9745238";"https://maps.google.com/?cid=0x0:0x61ca0abd5d26450b";""
"mall";"Toko";"Toko lumbung berkah H.Johan";"2XPF+QWG, Sukajaya, Kec. Anak Ratu Aji, Kabupaten Lampung Tengah, Lampung 35513";"Sukajaya, Kec. Anak Ratu Aji, Kabupaten Lampung Tengah";"LAMPUNG";"35513";"Indonesia";"";"";"";"-4.9630638";"104.9748306";"https://maps.google.com/?cid=0x0:0xc7d2302a51e2eefa";""
"mall";"Pusat Perbelanjaan";"Mall Kartini";"Jl. Kartini No.49, Palapa, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35116";"Palapa, Kec. Tj. Karang Pusat, Kota Bandar Lampung";"LAMPUNG";"35116";"Indonesia";" 0721269888";"";"";"-5.4165769";"105.253308";"https://maps.google.com/?cid=0x0:0x5b39a0b965da6238";""
"mall";"Pusat Perbelanjaan";"Pasar Trimodadi";"3WQW+43X, Trimodadi, Kec. Abung Sel., Kabupaten Lampung Utara, Lampung 34581";"Trimodadi, Kec. Abung Sel., Kabupaten Lampung Utara";"LAMPUNG";"34581";"Indonesia";"";"";"";"-4.9121494";"104.9452207";"https://maps.google.com/?cid=0x0:0xe2d801218e522558";""
