Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Lampung 34878";"Kec. Karya Penggawa, Kabupaten Lampung Barat, Lampung";"Kabupaten Lampung Barat, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.0845025";"103.902799";"https://maps.google.com/?cid=0x0:0x2ddf74ceeaa9efe0";""
"komplek housing";"Komplek perumahan";"Hometown";"VW9Q+JX4, Penengahan, Kec. Karya Penggawa, Kabupaten Pesisir Barat, Lampung";"Kabupaten Pesisir Barat, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.1309838";"103.9399318";"https://maps.google.com/?cid=0x0:0x3f6b73ea994dc2d";""
"komplek housing";"Komplek perumahan";"Caca";"VW89+HF8, Way Nukak, Kec. Karya Penggawa, Kabupaten Pesisir Barat, Lampung";"Kabupaten Pesisir Barat, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.1335825";"103.918715";"https://maps.google.com/?cid=0x0:0x4ad5676a89428678";""
"komplek housing";"Komplek perumahan";"Lamban Tuha Lada Handop";"VW9Q+FC3, Penggawa Lima Ulu, Kec. Karya Penggawa, Kabupaten Pesisir Barat, Lampung 34874";"Penggawa Lima Ulu, Kec. Karya Penggawa, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.1315607";"103.9383996";"https://maps.google.com/?cid=0x0:0x279e4b011ece446b";""
"komplek housing";"komplek housing";"Gilingan_supardi";"VW9F+623, Jl. Krui - Bintuhan, Kebuayan, Kec. Karya Penggawa, Kabupaten Pesisir Barat, Lampung 34874";"Jl. Krui - Bintuhan, Kebuayan, Kec. Karya Penggawa, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.1319943";"103.922536";"https://maps.google.com/?cid=0x0:0x89d4d845cc821292";""
"komplek housing";"komplek housing";"Rumah Maryah (Eka, Fery, Mery)";"Jl. Krui - Bintuhan No.123, Kebuayan, Kec. Karya Penggawa, Kabupaten Pesisir Barat, Lampung 34874";"Kebuayan, Kec. Karya Penggawa, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.1315064";"103.9216606";"https://maps.google.com/?cid=0x0:0x5c8fc2da4cd8f5f0";""
"komplek housing";"Komplek perumahan";"boncell house";"Jl. Krui - Bintuhan No.120, Kebuayan, Kec. Karya Penggawa, Kabupaten Pesisir Barat, Lampung 34874";"Kebuayan, Kec. Karya Penggawa, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.1296385";"103.9193495";"https://maps.google.com/?cid=0x0:0xc6875c0e1ce80fa2";""
"komplek housing";"komplek housing";"Kec. Karya Penggawa";"Kabupaten Pesisir Barat, Lampung";"Kabupaten Pesisir Barat, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.1241659";"103.911614";"https://maps.google.com/?cid=0x0:0x1e212b055cf1e2c7";""
"komplek housing";"komplek housing";"Kec. Krui Sel.";"Kabupaten Pesisir Barat, Lampung";"Kabupaten Pesisir Barat, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.2250943";"103.9724141";"https://maps.google.com/?cid=0x0:0x50e0a4be5262b7a2";""
"komplek housing";"Komplek perumahan";"PERUMAHAN GRAND PARAWAL";"QWQC+R5R, Pemerihan, Kec. Krui Sel., Kabupaten Lampung Barat, Lampung 34874";"Pemerihan, Kec. Krui Sel., Kabupaten Lampung Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.209578";"103.919565";"https://maps.google.com/?cid=0x0:0x23e71b04ede2076d";""
"komplek housing";"Komplek perumahan";"Libunto Residence";"QWVR+J4J, Unnamed Road, Seray, Pesisir Tengah, West Pesisir Regency, Lampung 34874";"Unnamed Road, Seray, Pesisir Tengah, West Pesisir Regency";"LAMPUNG";"34874";"Indonesia";" 085269699425";"";"";"-5.2059217";"103.9402596";"https://maps.google.com/?cid=0x0:0x45edc00c974e9970";""
"komplek housing";"Komplek perumahan";"Kubu Sikuk Bah Pekhing";"QWVR+W22, Blk. D - E, Seray, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34874";"Blk. D - E, Seray, Kec. Pesisir Tengah, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.2052441";"103.9400056";"https://maps.google.com/?cid=0x0:0x38c323f1507a278";""
"komplek housing";"Komplek perumahan";"Celine Na7's House";"QWVQ+QXF, Seray, Kec. Pesisir Tengah, Kabupaten Lampung Barat, Lampung 34874";"Seray, Kec. Pesisir Tengah, Kabupaten Lampung Barat";"LAMPUNG";"34874";"Indonesia";" 081373924763";"";"";"-5.2055586";"103.9399252";"https://maps.google.com/?cid=0x0:0x62bf4e6ea14db2e";""
"komplek housing";"Komplek perumahan";"Rumah Zhafran Akara";"RW4J+C4P, Asrama Polres Pesisir Barat, Labuhan Jukung, Kp. Jawa, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung";"Kabupaten Pesisir Barat, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.1939245";"103.9303244";"https://maps.google.com/?cid=0x0:0x6488540d84826a2a";""
"komplek housing";"Komplek perumahan";"KONTRAKAN ZAKARIA";"Jl. Abdul Hamid No.218, Rawas, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34874";"Rawas, Kec. Pesisir Tengah, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.1955152";"103.9385847";"https://maps.google.com/?cid=0x0:0x227ee23189346679";""
"komplek housing";"Penginapan";"Kosan Bapak Sahrul";"RW3X+42M, Jl. Abdul Hamid, Rawas, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34874";"Jl. Abdul Hamid, Rawas, Kec. Pesisir Tengah, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.1971569";"103.9475368";"https://maps.google.com/?cid=0x0:0xffba9ab27b88b841";""
"komplek housing";"Komplek perumahan";"Kontrakan bais Rawas depan PLTD lama";"QWWV+PR2, QWWV+PPR, sumber sari, Rawas, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34874";"QWWV+PPR, sumber sari, Rawas, Kec. Pesisir Tengah, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";" 081369183771";"";"";"-5.2032269";"103.9445124";"https://maps.google.com/?cid=0x0:0xeffd4e4398396b70";""
"komplek housing";"Jasa Kepailitan";"mandiri sejati";"QX28+G66, mandiri, sejatiKrui Selatan, Kabupaten Pesisir Barat, Lampung";"Kabupaten Pesisir Barat, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.248712";"103.965508";"https://maps.google.com/?cid=0x0:0xba2b8ff7d4b93aa4";""
"komplek housing";"Hostel";"Kontrakan Khazairin";"RW2W+3RJ, Rawas, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34874";"Rawas, Kec. Pesisir Tengah, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.199517";"103.947076";"https://maps.google.com/?cid=0x0:0xaef0aebf7bcc1e53";""
"komplek housing";"Pembangunan Perumahan";"Syazila Rawas";"QWXR+6X9, Sumber Sari, Rawas, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34874";"Sumber Sari, Rawas, Kec. Pesisir Tengah, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.2020304";"103.9424873";"https://maps.google.com/?cid=0x0:0x2bec1f5982588c5b";""
"komplek housing";"Pusat Kesenian";"Lamban ilaruddin";"PXQV+9FH, Jl. Bengkunat - Krui, Negeri Ratu Tenumbang, Kec. Pesisir Sel., Kabupaten Pesisir Barat, Lampung 35131";"Jl. Bengkunat - Krui, Negeri Ratu Tenumbang, Kec. Pesisir Sel., Kabupaten Pesisir Barat";"LAMPUNG";"35131";"Indonesia";"";"";"";"-5.2613258";"103.9936396";"https://maps.google.com/?cid=0x0:0xfe2f0bb744658445";""
"komplek housing";"Komplek perumahan";"Marie  Robi's house";"RWFP+PWP, Jl. Merdeka Pasar Ulu, Kel. Pasar Kota, Ps. Krui, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34874";"Jl. Merdeka Pasar Ulu, Kel. Pasar Kota, Ps. Krui, Kec. Pesisir Tengah, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.1756601";"103.9373193";"https://maps.google.com/?cid=0x0:0x91e6247d2853f006";""
"komplek housing";"Komplek perumahan";"Kontrakan lambara";"QWXQ+6V9, Jl. Raden Anom, Seray, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34874";"Jl. Raden Anom, Seray, Kec. Pesisir Tengah, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.2019715";"103.9397234";"https://maps.google.com/?cid=0x0:0xe149d5699ccb4e55";""
"komplek housing";"Komplek perumahan";"boncell house";"Jl. Krui - Bintuhan No.120, Kebuayan, Kec. Karya Penggawa, Kabupaten Pesisir Barat, Lampung 34874";"Kebuayan, Kec. Karya Penggawa, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.1296385";"103.9193495";"https://maps.google.com/?cid=0x0:0xc6875c0e1ce80fa2";""
"komplek housing";"komplek housing";"Rumah Maryah (Eka, Fery, Mery)";"Jl. Krui - Bintuhan No.123, Kebuayan, Kec. Karya Penggawa, Kabupaten Pesisir Barat, Lampung 34874";"Kebuayan, Kec. Karya Penggawa, Kabupaten Pesisir Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.1315064";"103.9216606";"https://maps.google.com/?cid=0x0:0x5c8fc2da4cd8f5f0";""
"komplek housing";"Komplek perumahan";"Home Nopri";"X3H2+PMP, Gg. Beringin, Way Mengaku, Kec. Balik Bukit, Kabupaten Lampung Barat, Lampung 34874";"Gg. Beringin, Way Mengaku, Kec. Balik Bukit, Kabupaten Lampung Barat";"LAMPUNG";"34874";"Indonesia";"";"";"";"-5.0206744";"104.0516982";"https://maps.google.com/?cid=0x0:0x3c04edcadae92c99";""
"komplek housing";"Komplek perumahan";"Tanah Uncu meli dan Minan ria";"M2J3+FWQ, Krui - Biha, Biha, Kec. Pesisir Sel., Kabupaten Pesisir Barat, Lampung";"Kabupaten Pesisir Barat, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.3187806";"104.0048567";"https://maps.google.com/?cid=0x0:0x2620dc844c7b4360";""
"komplek housing";"Komplek perumahan";"Rumah Anggota Dewan";"J3H5+9F6, Marang, Kec. Pesisir Sel., Kabupaten Pesisir Barat, Lampung";"Kabupaten Pesisir Barat, Lampung";"LAMPUNG";"";"Indonesia";"";"";"";"-5.3715787";"104.05865";"https://maps.google.com/?cid=0x0:0x97bb83e6c4517e22";""
